['day', 'life', 'man', 'fact']
['life', 'place', 'fact', 'case']
['man', 'way', 'end', 'government']
['life', 'man', 'party', 'information']
['company', 'day', 'fact', 'place']
['life', 'system', 'year', 'party']
['man', 'fact', 'group', 'day']
['part', 'place', 'end', 'system']
['way', 'course', 'world', 'group']
['day', 'group', 'way', 'system']
['year', 'school', 'fact', 'company']
['course', 'house', 'party', 'information']
['day', 'part', 'government', 'world']
['man', 'way', 'fact', 'end']
['school', 'information', 'day', 'company']
['group', 'course', 'day', 'case']
['fact', 'case', 'information', 'way']
['life', 'fact', 'day', 'world']
['work', 'government', 'school', 'group']
['day', 'work', 'life', 'case']
['day', 'house', 'company', 'man']
['government', 'house', 'company', 'part']
['end', 'place', 'day', 'school']
['information', 'party', 'course', 'work']
['world', 'case', 'work', 'end']
['house', 'life', 'year', 'government']
['life', 'company', 'place', 'case']
['man', 'party', 'information', 'end']
['school', 'company', 'party', 'course']
['company', 'man', 'course', 'case']
['man', 'life', 'company', 'information']
['company', 'life', 'house', 'course']
['information', 'system', 'way', 'case']
['end', 'house', 'school', 'case']
['group', 'system', 'case', 'course']
['year', 'way', 'part', 'work']
['year', 'course', 'world', 'party']
['house', 'world', 'government', 'man']
['school', 'group', 'day', 'party']
['information', 'government', 'system', 'course']
['part', 'world', 'way', 'day']
['group', 'case', 'information', 'life']
['place', 'year', 'world', 'course']
['government', 'end', 'world', 'fact']
['group', 'house', 'place', 'government']
['work', 'world', 'course', 'life']
['work', 'company', 'end', 'house']
['day', 'man', 'way', 'group']
['house', 'day', 'company', 'way']
['case', 'way', 'house', 'day']
['course', 'place', 'company', 'part']
['place', 'man', 'system', 'government']
['way', 'government', 'day', 'system']
['information', 'party', 'year', 'case']
['day', 'information', 'company', 'world']
['house', 'party', 'fact', 'way']
['course', 'system', 'fact', 'part']
['company', 'work', 'place', 'course']
['world', 'school', 'day', 'system']
['part', 'year', 'world', 'information']
['system', 'way', 'year', 'group']
['day', 'party', 'course', 'system']
['man', 'house', 'government', 'party']
['part', 'government', 'school', 'course']
['world', 'part', 'party', 'company']
['company', 'way', 'case', 'end']
['day', 'place', 'government', 'work']
['place', 'party', 'case', 'system']
['work', 'company', 'end', 'party']
['fact', 'year', 'part', 'course']
['party', 'day', 'fact', 'system']
['end', 'part', 'fact', 'school']
['course', 'company', 'work', 'fact']
['fact', 'part', 'day', 'world']
['company', 'government', 'year', 'world']
['case', 'way', 'party', 'government']
['house', 'work', 'information', 'end']
['world', 'house', 'government', 'system']
['case', 'place', 'way', 'system']
['way', 'course', 'end', 'group']
['house', 'part', 'group', 'school']
['end', 'life', 'day', 'party']
['place', 'end', 'house', 'school']
['fact', 'place', 'group', 'way']
['group', 'school', 'government', 'man']
['fact', 'way', 'life', 'part']
['life', 'end', 'group', 'day']
['group', 'school', 'work', 'fact']
['company', 'government', 'party', 'end']
['man', 'school', 'end', 'company']
['life', 'course', 'house', 'world']
['life', 'information', 'course', 'year']
['case', 'course', 'system', 'company']
['life', 'government', 'group', 'school']
['year', 'life', 'party', 'government']
['world', 'party', 'government', 'house']
['group', 'end', 'house', 'part']
['government', 'end', 'party', 'place']
['work', 'information', 'government', 'place']
['government', 'part', 'group', 'place']
