['work', 'man', 'information', 'house']
['course', 'work', 'government', 'end']
['government', 'place', 'school', 'life']
['place', 'end', 'system', 'year']
['school', 'company', 'life', 'party']
['world', 'group', 'party', 'company']
['year', 'life', 'world', 'man']
['place', 'work', 'way', 'part']
['year', 'way', 'system', 'school']
['life', 'course', 'case', 'part']
['group', 'world', 'part', 'school']
['way', 'case', 'world', 'life']
['party', 'man', 'case', 'day']
['course', 'group', 'system', 'information']
['party', 'day', 'place', 'case']
['end', 'part', 'company', 'system']
['day', 'course', 'place', 'end']
['work', 'party', 'system', 'case']
['company', 'course', 'life', 'school']
['place', 'house', 'work', 'fact']
['government', 'group', 'life', 'system']
['end', 'year', 'company', 'day']
['way', 'system', 'company', 'course']
['information', 'house', 'place', 'work']
['party', 'work', 'way', 'place']
['information', 'end', 'life', 'world']
['company', 'house', 'man', 'day']
['government', 'case', 'man', 'company']
['way', 'day', 'information', 'case']
['way', 'man', 'group', 'life']
['part', 'government', 'system', 'case']
['work', 'man', 'course', 'life']
['day', 'case', 'work', 'way']
['school', 'part', 'fact', 'end']
['government', 'life', 'world', 'end']
['man', 'end', 'work', 'fact']
['fact', 'work', 'life', 'government']
['company', 'case', 'government', 'course']
['information', 'company', 'government', 'life']
['case', 'part', 'party', 'government']
['government', 'school', 'course', 'system']
['end', 'day', 'year', 'house']
['world', 'school', 'end', 'system']
['party', 'work', 'part', 'government']
['man', 'information', 'fact', 'system']
['world', 'year', 'end', 'part']
['end', 'system', 'day', 'course']
['course', 'life', 'government', 'end']
['system', 'man', 'government', 'day']
['information', 'part', 'house', 'government']
['party', 'part', 'group', 'way']
['case', 'party', 'way', 'group']
['school', 'year', 'place', 'course']
['year', 'place', 'world', 'fact']
['fact', 'system', 'house', 'information']
['house', 'information', 'system', 'case']
['part', 'information', 'course', 'case']
['case', 'part', 'day', 'place']
['school', 'company', 'course', 'day']
['school', 'company', 'government', 'day']
['place', 'year', 'life', 'way']
['group', 'man', 'part', 'way']
['house', 'fact', 'year', 'school']
['work', 'place', 'house', 'world']
['course', 'end', 'case', 'party']
['government', 'company', 'party', 'year']
['course', 'day', 'end', 'part']
['case', 'government', 'end', 'man']
['part', 'world', 'system', 'house']
['end', 'place', 'life', 'case']
['information', 'part', 'day', 'life']
['part', 'course', 'year', 'man']
['world', 'course', 'place', 'part']
['end', 'government', 'year', 'party']
['company', 'course', 'life', 'system']
['company', 'place', 'end', 'system']
['place', 'government', 'party', 'work']
['information', 'company', 'year', 'school']
['work', 'government', 'house', 'world']
['work', 'fact', 'world', 'day']
['party', 'man', 'work', 'government']
['year', 'school', 'government', 'part']
['day', 'system', 'place', 'life']
['part', 'information', 'year', 'place']
['end', 'day', 'school', 'company']
['life', 'group', 'house', 'part']
['end', 'course', 'day', 'life']
['company', 'place', 'system', 'house']
['group', 'man', 'way', 'fact']
['company', 'man', 'day', 'house']
['course', 'life', 'fact', 'place']
['end', 'year', 'company', 'work']
['way', 'man', 'world', 'group']
['part', 'group', 'work', 'house']
['place', 'party', 'school', 'fact']
['house', 'work', 'course', 'information']
['end', 'place', 'part', 'world']
['case', 'fact', 'part', 'way']
['system', 'work', 'man', 'life']
