['course', 'day', 'case', 'man']
['house', 'way', 'world', 'work']
['work', 'fact', 'world', 'government']
['year', 'party', 'place', 'government']
['information', 'year', 'system', 'day']
['course', 'house', 'man', 'year']
['school', 'year', 'way', 'work']
['way', 'system', 'man', 'course']
['system', 'life', 'party', 'world']
['house', 'school', 'information', 'way']
['case', 'man', 'year', 'school']
['system', 'house', 'party', 'man']
['world', 'way', 'work', 'house']
['system', 'work', 'case', 'group']
['system', 'party', 'work', 'information']
['fact', 'part', 'case', 'man']
['course', 'end', 'man', 'house']
['year', 'case', 'party', 'work']
['company', 'man', 'work', 'part']
['life', 'place', 'house', 'part']
['day', 'part', 'man', 'life']
['world', 'government', 'end', 'man']
['information', 'school', 'fact', 'house']
['fact', 'part', 'system', 'man']
['world', 'case', 'information', 'man']
['end', 'life', 'place', 'part']
['company', 'place', 'house', 'part']
['end', 'school', 'world', 'man']
['place', 'party', 'house', 'work']
['house', 'company', 'year', 'party']
['year', 'end', 'school', 'way']
['place', 'course', 'group', 'life']
['work', 'school', 'place', 'end']
['party', 'school', 'group', 'system']
['man', 'government', 'school', 'life']
['day', 'work', 'world', 'life']
['place', 'fact', 'information', 'day']
['fact', 'house', 'government', 'place']
['work', 'fact', 'information', 'course']
['government', 'company', 'world', 'fact']
['life', 'man', 'year', 'system']
['world', 'work', 'case', 'year']
['day', 'place', 'case', 'company']
['company', 'information', 'year', 'man']
['end', 'year', 'part', 'case']
['group', 'year', 'party', 'case']
['place', 'part', 'course', 'school']
['life', 'end', 'man', 'school']
['work', 'world', 'end', 'fact']
['fact', 'information', 'company', 'school']
['way', 'part', 'day', 'house']
['year', 'case', 'fact', 'way']
['government', 'place', 'life', 'world']
['company', 'system', 'day', 'school']
['system', 'group', 'end', 'life']
['house', 'year', 'school', 'world']
['life', 'system', 'house', 'government']
['part', 'man', 'case', 'fact']
['group', 'year', 'place', 'party']
['party', 'company', 'system', 'school']
['place', 'end', 'fact', 'house']
['party', 'way', 'school', 'course']
['day', 'school', 'life', 'fact']
['part', 'fact', 'case', 'group']
['end', 'life', 'fact', 'world']
['group', 'part', 'life', 'course']
['fact', 'work', 'part', 'life']
['case', 'work', 'party', 'place']
['fact', 'work', 'information', 'system']
['end', 'fact', 'system', 'party']
['day', 'part', 'system', 'course']
['year', 'case', 'day', 'group']
['end', 'day', 'way', 'information']
['place', 'work', 'course', 'party']
['company', 'information', 'fact', 'party']
['life', 'way', 'fact', 'course']
['school', 'case', 'part', 'work']
['case', 'course', 'year', 'part']
['end', 'world', 'group', 'school']
['house', 'system', 'group', 'case']
['man', 'information', 'way', 'system']
['end', 'case', 'day', 'fact']
['place', 'way', 'school', 'work']
['party', 'school', 'man', 'fact']
['way', 'party', 'system', 'fact']
['group', 'man', 'course', 'party']
['party', 'world', 'year', 'case']
['course', 'man', 'way', 'part']
['man', 'government', 'company', 'case']
['part', 'end', 'place', 'course']
['group', 'house', 'course', 'world']
['world', 'case', 'life', 'school']
['year', 'case', 'information', 'part']
['world', 'way', 'man', 'party']
['part', 'house', 'work', 'company']
['company', 'day', 'man', 'world']
['fact', 'party', 'end', 'school']
['part', 'life', 'man', 'year']
['life', 'fact', 'end', 'world']
