['information', 'world', 'house', 'school']
['group', 'life', 'world', 'house']
['party', 'information', 'work', 'company']
['part', 'course', 'world', 'place']
['fact', 'place', 'house', 'year']
['party', 'world', 'place', 'school']
['company', 'information', 'party', 'government']
['course', 'end', 'system', 'case']
['man', 'place', 'government', 'life']
['company', 'information', 'life', 'group']
['information', 'part', 'place', 'day']
['company', 'school', 'information', 'year']
['part', 'case', 'system', 'place']
['case', 'house', 'group', 'world']
['end', 'school', 'fact', 'company']
['way', 'fact', 'government', 'work']
['group', 'man', 'house', 'day']
['group', 'government', 'case', 'system']
['man', 'house', 'system', 'year']
['school', 'company', 'fact', 'way']
['course', 'group', 'case', 'place']
['life', 'day', 'group', 'end']
['house', 'case', 'information', 'end']
['school', 'place', 'information', 'work']
['work', 'world', 'house', 'man']
['man', 'course', 'part', 'party']
['school', 'government', 'case', 'year']
['system', 'world', 'day', 'part']
['house', 'case', 'system', 'information']
['government', 'house', 'man', 'end']
['man', 'day', 'information', 'company']
['fact', 'government', 'way', 'case']
['company', 'day', 'part', 'work']
['house', 'man', 'group', 'party']
['case', 'government', 'course', 'system']
['life', 'part', 'information', 'place']
['company', 'day', 'case', 'fact']
['government', 'work', 'day', 'part']
['day', 'year', 'man', 'work']
['way', 'group', 'year', 'end']
['party', 'house', 'day', 'case']
['course', 'party', 'information', 'world']
['work', 'government', 'year', 'house']
['system', 'man', 'case', 'fact']
['system', 'fact', 'end', 'course']
['man', 'part', 'end', 'system']
['world', 'day', 'way', 'house']
['day', 'fact', 'group', 'man']
['way', 'year', 'work', 'school']
['course', 'company', 'part', 'man']
['world', 'course', 'life', 'group']
['fact', 'case', 'government', 'course']
['course', 'part', 'way', 'school']
['party', 'man', 'company', 'system']
['year', 'group', 'man', 'way']
['year', 'course', 'man', 'company']
['fact', 'man', 'system', 'place']
['system', 'party', 'year', 'place']
['government', 'information', 'day', 'way']
['information', 'way', 'system', 'end']
['part', 'life', 'school', 'year']
['school', 'place', 'information', 'company']
['school', 'group', 'place', 'party']
['course', 'party', 'fact', 'day']
['end', 'life', 'system', 'work']
['case', 'life', 'year', 'group']
['way', 'course', 'work', 'case']
['school', 'party', 'case', 'way']
['place', 'man', 'company', 'government']
['party', 'world', 'house', 'place']
['company', 'world', 'school', 'information']
['work', 'company', 'group', 'course']
['fact', 'part', 'company', 'year']
['life', 'school', 'case', 'party']
['government', 'case', 'year', 'course']
['company', 'information', 'way', 'government']
['way', 'information', 'world', 'year']
['place', 'fact', 'day', 'information']
['year', 'party', 'system', 'case']
['life', 'end', 'work', 'part']
['world', 'school', 'course', 'fact']
['school', 'party', 'course', 'government']
['school', 'place', 'day', 'world']
['system', 'world', 'house', 'fact']
['information', 'course', 'party', 'day']
['company', 'man', 'work', 'information']
['course', 'house', 'group', 'fact']
['course', 'end', 'fact', 'house']
['course', 'way', 'company', 'party']
['end', 'fact', 'man', 'group']
['end', 'man', 'way', 'life']
['way', 'life', 'day', 'end']
['man', 'course', 'way', 'work']
['work', 'course', 'government', 'party']
['school', 'fact', 'work', 'life']
['course', 'house', 'work', 'group']
['group', 'case', 'information', 'government']
['work', 'party', 'government', 'place']
['man', 'year', 'course', 'company']
['way', 'government', 'house', 'system']
