['group', 'work', 'school', 'fact']
['house', 'part', 'year', 'way']
['system', 'party', 'end', 'day']
['group', 'part', 'man', 'case']
['end', 'system', 'part', 'fact']
['house', 'company', 'system', 'school']
['part', 'man', 'information', 'life']
['party', 'part', 'life', 'fact']
['year', 'work', 'way', 'fact']
['house', 'group', 'year', 'information']
['end', 'life', 'group', 'fact']
['year', 'man', 'part', 'course']
['company', 'work', 'life', 'way']
['end', 'government', 'part', 'life']
['man', 'school', 'world', 'party']
['way', 'place', 'fact', 'information']
['work', 'system', 'day', 'company']
['government', 'information', 'part', 'case']
['case', 'place', 'world', 'company']
['group', 'work', 'system', 'course']
['work', 'case', 'course', 'end']
['information', 'course', 'work', 'fact']
['company', 'part', 'world', 'way']
['day', 'way', 'company', 'party']
['company', 'government', 'world', 'life']
['work', 'fact', 'party', 'school']
['group', 'case', 'year', 'end']
['work', 'fact', 'house', 'year']
['way', 'house', 'work', 'course']
['system', 'day', 'part', 'end']
['case', 'work', 'fact', 'group']
['year', 'man', 'group', 'course']
['group', 'house', 'way', 'course']
['fact', 'system', 'company', 'party']
['day', 'end', 'life', 'case']
['year', 'house', 'party', 'fact']
['end', 'group', 'case', 'part']
['fact', 'work', 'man', 'government']
['way', 'man', 'party', 'work']
['day', 'system', 'company', 'place']
['place', 'world', 'work', 'group']
['fact', 'way', 'government', 'part']
['man', 'part', 'house', 'way']
['case', 'way', 'end', 'party']
['fact', 'day', 'place', 'work']
['fact', 'course', 'way', 'part']
['end', 'party', 'way', 'system']
['place', 'government', 'man', 'fact']
['system', 'course', 'fact', 'world']
['system', 'information', 'world', 'group']
['information', 'party', 'life', 'company']
['system', 'course', 'case', 'end']
['information', 'day', 'part', 'year']
['way', 'man', 'company', 'government']
['case', 'way', 'man', 'place']
['way', 'system', 'year', 'world']
['school', 'way', 'system', 'group']
['group', 'end', 'information', 'part']
['house', 'case', 'system', 'party']
['house', 'place', 'party', 'way']
['life', 'group', 'part', 'day']
['man', 'way', 'course', 'company']
['house', 'company', 'way', 'government']
['party', 'information', 'course', 'company']
['government', 'group', 'part', 'man']
['way', 'system', 'place', 'work']
['way', 'end', 'man', 'course']
['work', 'house', 'school', 'group']
['end', 'life', 'company', 'man']
['case', 'year', 'life', 'system']
['day', 'part', 'man', 'fact']
['day', 'information', 'work', 'world']
['group', 'part', 'fact', 'world']
['part', 'house', 'man', 'year']
['life', 'world', 'work', 'house']
['information', 'system', 'party', 'way']
['case', 'information', 'system', 'company']
['man', 'place', 'house', 'end']
['school', 'life', 'place', 'end']
['way', 'case', 'system', 'information']
['company', 'case', 'course', 'information']
['government', 'day', 'part', 'party']
['day', 'fact', 'case', 'system']
['system', 'day', 'part', 'case']
['information', 'government', 'course', 'man']
['day', 'year', 'house', 'work']
['work', 'school', 'end', 'world']
['part', 'fact', 'man', 'work']
['work', 'company', 'course', 'government']
['work', 'company', 'party', 'house']
['system', 'day', 'company', 'man']
['group', 'school', 'information', 'course']
['information', 'case', 'place', 'group']
['end', 'place', 'government', 'company']
['place', 'part', 'group', 'life']
['school', 'group', 'world', 'course']
['party', 'part', 'way', 'system']
['man', 'case', 'end', 'world']
['group', 'fact', 'school', 'house']
['group', 'house', 'man', 'case']
