['part', 'end', 'work', 'way']
['fact', 'work', 'day', 'world']
['course', 'place', 'company', 'way']
['house', 'group', 'man', 'party']
['course', 'man', 'way', 'year']
['house', 'world', 'day', 'fact']
['course', 'school', 'fact', 'house']
['place', 'information', 'system', 'course']
['end', 'way', 'system', 'information']
['company', 'group', 'information', 'part']
['house', 'world', 'system', 'man']
['group', 'life', 'company', 'case']
['information', 'party', 'system', 'part']
['day', 'school', 'year', 'case']
['information', 'fact', 'world', 'man']
['school', 'case', 'world', 'day']
['work', 'party', 'company', 'place']
['company', 'year', 'party', 'work']
['course', 'man', 'party', 'school']
['house', 'case', 'party', 'man']
['end', 'day', 'fact', 'man']
['work', 'house', 'day', 'case']
['fact', 'school', 'course', 'group']
['world', 'work', 'government', 'school']
['way', 'government', 'end', 'party']
['day', 'system', 'world', 'place']
['place', 'company', 'school', 'group']
['day', 'man', 'life', 'world']
['part', 'life', 'party', 'end']
['world', 'way', 'case', 'school']
['world', 'place', 'day', 'case']
['life', 'year', 'case', 'system']
['system', 'end', 'fact', 'party']
['course', 'house', 'part', 'company']
['place', 'world', 'work', 'information']
['government', 'house', 'company', 'school']
['government', 'life', 'year', 'man']
['work', 'life', 'system', 'way']
['government', 'part', 'school', 'work']
['house', 'place', 'case', 'world']
['life', 'company', 'year', 'information']
['year', 'school', 'case', 'party']
['case', 'party', 'system', 'work']
['place', 'year', 'life', 'information']
['course', 'school', 'group', 'man']
['work', 'government', 'system', 'world']
['school', 'part', 'day', 'work']
['course', 'end', 'year', 'day']
['end', 'school', 'man', 'system']
['man', 'party', 'day', 'government']
['information', 'case', 'man', 'part']
['system', 'fact', 'company', 'school']
['end', 'place', 'case', 'way']
['part', 'end', 'group', 'day']
['fact', 'man', 'world', 'end']
['world', 'party', 'school', 'course']
['world', 'part', 'company', 'fact']
['system', 'course', 'company', 'school']
['life', 'day', 'man', 'company']
['way', 'part', 'company', 'man']
['year', 'house', 'man', 'school']
['school', 'company', 'case', 'information']
['part', 'group', 'day', 'man']
['course', 'work', 'company', 'place']
['end', 'information', 'group', 'year']
['group', 'world', 'man', 'party']
['company', 'place', 'case', 'group']
['man', 'information', 'group', 'way']
['group', 'man', 'end', 'house']
['house', 'end', 'company', 'place']
['end', 'case', 'way', 'place']
['life', 'company', 'place', 'end']
['fact', 'work', 'system', 'part']
['work', 'school', 'course', 'year']
['year', 'course', 'case', 'party']
['end', 'company', 'system', 'day']
['part', 'work', 'information', 'way']
['world', 'school', 'course', 'house']
['man', 'group', 'house', 'information']
['world', 'place', 'information', 'government']
['course', 'information', 'school', 'fact']
['year', 'world', 'information', 'work']
['year', 'house', 'system', 'work']
['course', 'case', 'government', 'group']
['course', 'party', 'house', 'place']
['life', 'work', 'part', 'fact']
['fact', 'case', 'course', 'house']
['company', 'system', 'house', 'year']
['end', 'world', 'man', 'house']
['place', 'year', 'part', 'work']
['case', 'end', 'school', 'system']
['world', 'company', 'fact', 'government']
['day', 'system', 'year', 'way']
['party', 'course', 'year', 'work']
['case', 'end', 'part', 'school']
['house', 'party', 'school', 'work']
['part', 'company', 'way', 'course']
['part', 'day', 'course', 'government']
['system', 'end', 'part', 'school']
['company', 'course', 'world', 'part']
