['day', 'work', 'course', 'house']
['way', 'course', 'year', 'life']
['end', 'system', 'fact', 'case']
['school', 'course', 'part', 'place']
['group', 'work', 'world', 'information']
['system', 'party', 'part', 'man']
['life', 'group', 'work', 'year']
['information', 'year', 'end', 'party']
['man', 'company', 'year', 'group']
['information', 'work', 'life', 'fact']
['information', 'company', 'government', 'work']
['case', 'way', 'part', 'course']
['company', 'work', 'house', 'day']
['school', 'man', 'life', 'course']
['course', 'work', 'company', 'world']
['place', 'group', 'end', 'government']
['way', 'end', 'fact', 'life']
['government', 'life', 'information', 'company']
['part', 'life', 'year', 'case']
['part', 'way', 'world', 'end']
['company', 'government', 'world', 'house']
['system', 'part', 'place', 'life']
['year', 'way', 'party', 'fact']
['group', 'end', 'day', 'part']
['company', 'school', 'end', 'course']
['place', 'day', 'house', 'man']
['way', 'case', 'year', 'system']
['part', 'way', 'company', 'house']
['way', 'party', 'information', 'government']
['world', 'end', 'house', 'part']
['world', 'government', 'party', 'house']
['party', 'course', 'case', 'year']
['company', 'day', 'way', 'party']
['fact', 'party', 'company', 'world']
['system', 'end', 'fact', 'world']
['place', 'year', 'company', 'group']
['case', 'group', 'end', 'year']
['place', 'day', 'information', 'year']
['place', 'school', 'way', 'house']
['company', 'house', 'information', 'way']
['world', 'party', 'way', 'place']
['school', 'group', 'work', 'part']
['company', 'way', 'day', 'part']
['work', 'world', 'year', 'school']
['house', 'man', 'year', 'party']
['man', 'life', 'information', 'government']
['place', 'fact', 'government', 'work']
['man', 'company', 'life', 'way']
['fact', 'end', 'way', 'world']
['case', 'course', 'year', 'place']
['school', 'world', 'fact', 'government']
['party', 'day', 'case', 'school']
['work', 'information', 'end', 'house']
['party', 'place', 'life', 'case']
['work', 'life', 'company', 'school']
['party', 'day', 'case', 'course']
['case', 'life', 'day', 'man']
['information', 'case', 'part', 'life']
['house', 'way', 'part', 'course']
['government', 'life', 'end', 'school']
['party', 'system', 'company', 'part']
['way', 'fact', 'case', 'part']
['work', 'world', 'life', 'part']
['way', 'life', 'work', 'fact']
['day', 'course', 'party', 'house']
['part', 'way', 'information', 'world']
['party', 'end', 'school', 'information']
['case', 'company', 'place', 'information']
['system', 'fact', 'party', 'year']
['course', 'information', 'work', 'party']
['case', 'house', 'fact', 'company']
['system', 'place', 'company', 'house']
['place', 'work', 'day', 'house']
['system', 'life', 'company', 'party']
['world', 'course', 'man', 'place']
['government', 'system', 'school', 'fact']
['way', 'world', 'year', 'work']
['information', 'day', 'man', 'case']
['end', 'work', 'house', 'part']
['end', 'year', 'case', 'part']
['year', 'case', 'group', 'place']
['part', 'way', 'information', 'government']
['government', 'case', 'party', 'part']
['year', 'system', 'way', 'man']
['information', 'house', 'end', 'party']
['government', 'system', 'group', 'way']
['part', 'system', 'work', 'company']
['house', 'work', 'man', 'information']
['way', 'day', 'house', 'fact']
['world', 'place', 'work', 'school']
['fact', 'company', 'life', 'man']
['work', 'school', 'end', 'year']
['government', 'man', 'house', 'school']
['end', 'way', 'government', 'group']
['year', 'work', 'case', 'fact']
['school', 'party', 'company', 'day']
['course', 'work', 'life', 'way']
['place', 'work', 'fact', 'school']
['day', 'course', 'information', 'world']
['school', 'world', 'place', 'end']
