['day', 'school', 'man', 'house']
['case', 'information', 'party', 'day']
['work', 'day', 'world', 'party']
['work', 'information', 'course', 'man']
['work', 'world', 'case', 'party']
['group', 'party', 'information', 'end']
['information', 'course', 'way', 'school']
['world', 'year', 'information', 'part']
['year', 'fact', 'end', 'government']
['party', 'day', 'part', 'group']
['place', 'year', 'company', 'government']
['end', 'part', 'case', 'year']
['party', 'company', 'year', 'system']
['end', 'company', 'course', 'way']
['group', 'party', 'information', 'work']
['work', 'system', 'group', 'life']
['house', 'government', 'end', 'day']
['world', 'company', 'group', 'party']
['house', 'year', 'man', 'way']
['man', 'work', 'day', 'place']
['part', 'house', 'life', 'place']
['school', 'house', 'fact', 'information']
['course', 'life', 'end', 'work']
['way', 'house', 'company', 'group']
['man', 'school', 'work', 'information']
['work', 'day', 'party', 'school']
['man', 'case', 'house', 'company']
['course', 'party', 'world', 'part']
['man', 'way', 'system', 'work']
['company', 'year', 'day', 'fact']
['case', 'place', 'course', 'fact']
['company', 'place', 'part', 'man']
['way', 'place', 'day', 'group']
['company', 'place', 'end', 'party']
['end', 'part', 'party', 'year']
['company', 'government', 'world', 'part']
['system', 'world', 'party', 'year']
['year', 'company', 'place', 'way']
['company', 'part', 'course', 'day']
['end', 'course', 'group', 'man']
['way', 'man', 'place', 'work']
['part', 'school', 'company', 'life']
['information', 'system', 'man', 'world']
['information', 'man', 'day', 'fact']
['house', 'company', 'system', 'course']
['group', 'place', 'way', 'case']
['life', 'information', 'world', 'work']
['case', 'life', 'fact', 'day']
['school', 'fact', 'work', 'place']
['course', 'end', 'man', 'work']
['work', 'government', 'school', 'group']
['house', 'end', 'information', 'case']
['end', 'party', 'life', 'day']
['house', 'day', 'life', 'company']
['course', 'party', 'world', 'system']
['year', 'fact', 'government', 'day']
['house', 'system', 'end', 'man']
['information', 'case', 'place', 'course']
['day', 'company', 'part', 'system']
['school', 'case', 'year', 'course']
['fact', 'year', 'company', 'school']
['place', 'company', 'school', 'world']
['man', 'life', 'information', 'year']
['fact', 'case', 'day', 'life']
['case', 'year', 'system', 'course']
['way', 'government', 'day', 'house']
['part', 'school', 'system', 'house']
['place', 'year', 'group', 'system']
['fact', 'place', 'house', 'life']
['system', 'school', 'man', 'party']
['end', 'place', 'case', 'group']
['place', 'end', 'system', 'work']
['man', 'end', 'school', 'house']
['course', 'year', 'fact', 'end']
['case', 'information', 'fact', 'group']
['course', 'company', 'government', 'house']
['day', 'fact', 'government', 'house']
['end', 'part', 'house', 'day']
['end', 'fact', 'way', 'case']
['place', 'case', 'system', 'group']
['year', 'government', 'part', 'life']
['year', 'fact', 'information', 'part']
['school', 'work', 'life', 'part']
['man', 'school', 'case', 'course']
['course', 'day', 'house', 'group']
['work', 'man', 'government', 'year']
['government', 'system', 'group', 'information']
['way', 'place', 'world', 'work']
['work', 'information', 'course', 'case']
['company', 'way', 'fact', 'information']
['year', 'system', 'life', 'case']
['way', 'government', 'fact', 'work']
['system', 'man', 'information', 'group']
['world', 'party', 'day', 'school']
['part', 'world', 'government', 'group']
['course', 'government', 'house', 'end']
['year', 'way', 'life', 'company']
['work', 'system', 'school', 'information']
['day', 'world', 'man', 'school']
['information', 'world', 'fact', 'party']
