['case', 'end', 'place', 'course']
['case', 'house', 'information', 'end']
['end', 'part', 'year', 'party']
['day', 'house', 'way', 'work']
['day', 'group', 'life', 'course']
['system', 'work', 'man', 'year']
['company', 'fact', 'way', 'life']
['school', 'party', 'man', 'government']
['system', 'place', 'life', 'day']
['information', 'end', 'man', 'work']
['group', 'man', 'day', 'information']
['group', 'end', 'fact', 'school']
['system', 'fact', 'end', 'part']
['group', 'man', 'system', 'house']
['house', 'part', 'course', 'work']
['government', 'year', 'part', 'way']
['course', 'government', 'information', 'part']
['house', 'system', 'information', 'work']
['group', 'work', 'end', 'case']
['year', 'house', 'course', 'fact']
['group', 'party', 'life', 'house']
['way', 'information', 'life', 'day']
['life', 'party', 'man', 'year']
['company', 'work', 'information', 'year']
['year', 'way', 'house', 'company']
['end', 'government', 'system', 'work']
['party', 'world', 'house', 'day']
['course', 'case', 'end', 'company']
['day', 'government', 'man', 'life']
['fact', 'man', 'world', 'end']
['company', 'information', 'fact', 'group']
['party', 'life', 'man', 'school']
['fact', 'group', 'case', 'company']
['school', 'information', 'place', 'work']
['day', 'government', 'school', 'life']
['company', 'world', 'day', 'government']
['day', 'end', 'way', 'government']
['part', 'world', 'company', 'information']
['end', 'man', 'course', 'work']
['group', 'school', 'work', 'information']
['fact', 'day', 'company', 'house']
['group', 'year', 'man', 'information']
['way', 'system', 'company', 'case']
['end', 'course', 'party', 'group']
['way', 'company', 'day', 'case']
['life', 'school', 'case', 'system']
['school', 'course', 'company', 'case']
['company', 'system', 'school', 'course']
['information', 'day', 'course', 'year']
['day', 'man', 'government', 'end']
['end', 'company', 'man', 'information']
['place', 'day', 'company', 'life']
['course', 'company', 'world', 'house']
['information', 'place', 'course', 'company']
['year', 'party', 'government', 'work']
['information', 'end', 'course', 'group']
['company', 'school', 'government', 'work']
['work', 'party', 'school', 'company']
['government', 'world', 'house', 'life']
['school', 'company', 'course', 'end']
['case', 'work', 'school', 'day']
['school', 'system', 'case', 'way']
['government', 'course', 'day', 'place']
['day', 'company', 'information', 'part']
['school', 'company', 'party', 'work']
['life', 'system', 'world', 'school']
['company', 'end', 'house', 'man']
['house', 'group', 'government', 'course']
['information', 'world', 'end', 'party']
['place', 'world', 'fact', 'group']
['information', 'day', 'case', 'company']
['way', 'year', 'case', 'party']
['course', 'part', 'case', 'information']
['government', 'day', 'information', 'place']
['party', 'information', 'fact', 'way']
['system', 'group', 'government', 'day']
['company', 'course', 'man', 'group']
['information', 'government', 'end', 'company']
['world', 'fact', 'man', 'end']
['way', 'information', 'end', 'fact']
['end', 'government', 'group', 'course']
['fact', 'work', 'year', 'school']
['fact', 'day', 'course', 'world']
['government', 'house', 'fact', 'year']
['information', 'man', 'work', 'place']
['world', 'information', 'year', 'course']
['way', 'end', 'course', 'group']
['government', 'way', 'information', 'world']
['government', 'year', 'end', 'group']
['way', 'life', 'world', 'government']
['course', 'system', 'life', 'part']
['fact', 'company', 'work', 'house']
['school', 'case', 'party', 'group']
['party', 'way', 'work', 'life']
['part', 'party', 'school', 'day']
['house', 'government', 'life', 'school']
['place', 'day', 'group', 'course']
['place', 'information', 'government', 'year']
['school', 'fact', 'year', 'life']
['school', 'fact', 'company', 'place']
