['government', 'way', 'place', 'life']
['fact', 'group', 'part', 'work']
['life', 'end', 'year', 'government']
['part', 'life', 'house', 'case']
['party', 'government', 'system', 'place']
['life', 'government', 'system', 'group']
['party', 'man', 'company', 'way']
['man', 'fact', 'day', 'system']
['information', 'group', 'year', 'fact']
['case', 'system', 'house', 'way']
['case', 'course', 'year', 'life']
['day', 'school', 'life', 'information']
['end', 'year', 'party', 'part']
['part', 'information', 'course', 'world']
['system', 'school', 'way', 'year']
['year', 'part', 'information', 'school']
['company', 'party', 'information', 'group']
['way', 'man', 'house', 'case']
['place', 'fact', 'way', 'year']
['government', 'life', 'year', 'group']
['man', 'part', 'company', 'life']
['way', 'part', 'man', 'place']
['way', 'government', 'company', 'system']
['life', 'part', 'system', 'day']
['government', 'life', 'school', 'course']
['way', 'government', 'house', 'part']
['case', 'work', 'house', 'day']
['work', 'world', 'company', 'government']
['life', 'year', 'man', 'fact']
['school', 'way', 'world', 'life']
['life', 'way', 'man', 'case']
['work', 'school', 'course', 'place']
['way', 'part', 'work', 'world']
['company', 'house', 'fact', 'party']
['party', 'day', 'information', 'government']
['group', 'year', 'information', 'world']
['place', 'case', 'information', 'life']
['work', 'group', 'system', 'part']
['government', 'place', 'work', 'school']
['year', 'house', 'fact', 'part']
['fact', 'way', 'company', 'house']
['way', 'fact', 'system', 'part']
['system', 'fact', 'house', 'year']
['party', 'information', 'school', 'fact']
['life', 'place', 'year', 'case']
['party', 'fact', 'year', 'information']
['school', 'day', 'fact', 'way']
['world', 'house', 'system', 'end']
['school', 'system', 'company', 'party']
['world', 'day', 'case', 'school']
['end', 'government', 'course', 'work']
['end', 'man', 'house', 'fact']
['house', 'system', 'group', 'part']
['part', 'group', 'government', 'course']
['life', 'school', 'company', 'end']
['course', 'day', 'government', 'system']
['year', 'work', 'company', 'course']
['year', 'course', 'group', 'company']
['world', 'party', 'group', 'course']
['place', 'system', 'man', 'house']
['information', 'end', 'place', 'house']
['man', 'information', 'government', 'work']
['year', 'work', 'course', 'end']
['place', 'end', 'work', 'part']
['fact', 'work', 'company', 'information']
['information', 'year', 'day', 'work']
['case', 'work', 'world', 'part']
['system', 'house', 'end', 'world']
['world', 'part', 'information', 'course']
['government', 'work', 'year', 'end']
['life', 'party', 'day', 'school']
['life', 'man', 'case', 'government']
['fact', 'end', 'work', 'man']
['man', 'case', 'system', 'company']
['information', 'man', 'place', 'school']
['school', 'case', 'group', 'company']
['party', 'company', 'day', 'case']
['group', 'life', 'house', 'year']
['system', 'information', 'way', 'end']
['place', 'information', 'way', 'school']
['information', 'way', 'year', 'world']
['man', 'system', 'world', 'part']
['work', 'group', 'information', 'day']
['course', 'company', 'system', 'world']
['fact', 'information', 'house', 'life']
['school', 'company', 'group', 'end']
['day', 'group', 'man', 'school']
['part', 'place', 'year', 'way']
['company', 'day', 'life', 'party']
['man', 'life', 'place', 'end']
['party', 'world', 'house', 'system']
['day', 'information', 'world', 'end']
['year', 'information', 'end', 'day']
['case', 'way', 'world', 'fact']
['course', 'government', 'case', 'day']
['life', 'company', 'fact', 'man']
['information', 'part', 'government', 'school']
['world', 'government', 'party', 'day']
['fact', 'world', 'party', 'day']
['case', 'end', 'man', 'company']
