['way', 'case', 'house', 'man']
['life', 'government', 'world', 'company']
['day', 'part', 'house', 'government']
['group', 'end', 'course', 'system']
['life', 'company', 'place', 'end']
['system', 'school', 'information', 'end']
['year', 'life', 'fact', 'case']
['house', 'party', 'year', 'end']
['company', 'place', 'way', 'year']
['party', 'way', 'work', 'life']
['work', 'case', 'man', 'party']
['school', 'end', 'group', 'year']
['company', 'school', 'day', 'system']
['case', 'world', 'party', 'part']
['work', 'company', 'fact', 'party']
['system', 'life', 'world', 'way']
['company', 'house', 'case', 'party']
['year', 'man', 'course', 'place']
['man', 'group', 'world', 'government']
['year', 'man', 'fact', 'world']
['system', 'part', 'end', 'government']
['day', 'year', 'world', 'course']
['way', 'end', 'company', 'party']
['life', 'group', 'end', 'government']
['way', 'company', 'work', 'man']
['fact', 'world', 'end', 'way']
['man', 'group', 'information', 'end']
['end', 'government', 'company', 'part']
['world', 'course', 'day', 'case']
['work', 'party', 'place', 'world']
['course', 'part', 'world', 'life']
['man', 'world', 'party', 'way']
['course', 'day', 'company', 'government']
['place', 'year', 'company', 'system']
['man', 'party', 'end', 'house']
['place', 'company', 'fact', 'life']
['party', 'place', 'group', 'government']
['end', 'year', 'place', 'fact']
['day', 'work', 'information', 'life']
['place', 'end', 'group', 'information']
['information', 'house', 'course', 'case']
['year', 'way', 'part', 'system']
['world', 'government', 'work', 'company']
['life', 'fact', 'house', 'end']
['government', 'place', 'case', 'way']
['company', 'school', 'party', 'work']
['work', 'company', 'end', 'system']
['man', 'day', 'work', 'fact']
['company', 'party', 'man', 'government']
['part', 'world', 'system', 'government']
['part', 'work', 'man', 'school']
['world', 'school', 'system', 'fact']
['course', 'man', 'company', 'house']
['man', 'end', 'place', 'life']
['year', 'school', 'man', 'information']
['course', 'fact', 'place', 'case']
['school', 'government', 'system', 'end']
['case', 'life', 'place', 'world']
['work', 'house', 'way', 'school']
['end', 'party', 'part', 'life']
['school', 'life', 'government', 'information']
['way', 'end', 'case', 'man']
['course', 'system', 'man', 'way']
['course', 'company', 'fact', 'man']
['course', 'party', 'government', 'information']
['case', 'system', 'part', 'life']
['company', 'work', 'end', 'course']
['group', 'party', 'work', 'case']
['place', 'work', 'system', 'man']
['government', 'case', 'man', 'place']
['place', 'work', 'house', 'case']
['place', 'way', 'school', 'company']
['life', 'party', 'place', 'way']
['life', 'company', 'case', 'school']
['course', 'world', 'company', 'part']
['government', 'company', 'case', 'group']
['government', 'way', 'group', 'man']
['case', 'way', 'world', 'information']
['party', 'end', 'group', 'course']
['case', 'place', 'company', 'party']
['work', 'end', 'part', 'case']
['world', 'information', 'work', 'party']
['day', 'course', 'party', 'case']
['world', 'party', 'day', 'end']
['course', 'part', 'information', 'party']
['course', 'party', 'fact', 'information']
['company', 'day', 'information', 'government']
['year', 'world', 'case', 'information']
['year', 'system', 'day', 'end']
['work', 'end', 'course', 'part']
['year', 'system', 'group', 'company']
['work', 'company', 'part', 'life']
['system', 'place', 'man', 'government']
['party', 'system', 'course', 'company']
['part', 'life', 'world', 'government']
['year', 'information', 'place', 'man']
['part', 'place', 'fact', 'way']
['system', 'day', 'end', 'life']
['day', 'fact', 'end', 'group']
['fact', 'system', 'part', 'man']
