['course', 'information', 'day', 'school']
['group', 'course', 'life', 'world']
['information', 'end', 'company', 'party']
['government', 'party', 'way', 'man']
['fact', 'house', 'part', 'system']
['house', 'case', 'day', 'world']
['end', 'work', 'man', 'course']
['information', 'man', 'place', 'day']
['work', 'information', 'world', 'company']
['group', 'company', 'school', 'house']
['course', 'house', 'system', 'end']
['group', 'work', 'case', 'company']
['world', 'year', 'group', 'man']
['way', 'day', 'man', 'party']
['government', 'information', 'course', 'part']
['world', 'party', 'end', 'work']
['company', 'place', 'work', 'party']
['course', 'end', 'part', 'party']
['part', 'way', 'year', 'information']
['case', 'end', 'house', 'course']
['way', 'system', 'case', 'place']
['system', 'part', 'information', 'course']
['course', 'government', 'world', 'fact']
['part', 'house', 'year', 'world']
['school', 'system', 'place', 'life']
['party', 'information', 'day', 'end']
['day', 'course', 'world', 'party']
['way', 'course', 'house', 'work']
['company', 'world', 'party', 'life']
['information', 'company', 'case', 'house']
['house', 'work', 'end', 'life']
['year', 'part', 'course', 'way']
['party', 'course', 'fact', 'information']
['day', 'case', 'world', 'government']
['group', 'course', 'man', 'way']
['fact', 'company', 'party', 'course']
['fact', 'way', 'information', 'course']
['life', 'group', 'party', 'information']
['government', 'world', 'case', 'system']
['course', 'party', 'part', 'group']
['end', 'world', 'system', 'day']
['life', 'party', 'place', 'part']
['man', 'way', 'group', 'place']
['school', 'course', 'man', 'information']
['world', 'fact', 'company', 'way']
['man', 'house', 'year', 'party']
['course', 'party', 'world', 'fact']
['man', 'way', 'part', 'party']
['way', 'case', 'place', 'course']
['system', 'fact', 'house', 'government']
['part', 'work', 'government', 'company']
['house', 'company', 'case', 'system']
['fact', 'man', 'company', 'work']
['man', 'place', 'part', 'world']
['life', 'group', 'government', 'world']
['world', 'fact', 'information', 'day']
['man', 'house', 'life', 'world']
['fact', 'year', 'place', 'way']
['world', 'way', 'information', 'case']
['course', 'way', 'fact', 'group']
['school', 'course', 'day', 'man']
['information', 'work', 'course', 'world']
['day', 'case', 'system', 'end']
['day', 'part', 'party', 'fact']
['end', 'part', 'place', 'house']
['work', 'end', 'fact', 'system']
['government', 'year', 'life', 'group']
['man', 'company', 'case', 'part']
['part', 'life', 'course', 'information']
['year', 'world', 'company', 'information']
['year', 'group', 'fact', 'work']
['world', 'year', 'case', 'man']
['world', 'house', 'way', 'work']
['system', 'fact', 'group', 'government']
['information', 'school', 'group', 'end']
['school', 'course', 'day', 'group']
['way', 'information', 'company', 'case']
['life', 'end', 'party', 'school']
['system', 'part', 'information', 'day']
['fact', 'system', 'part', 'government']
['house', 'life', 'work', 'place']
['year', 'information', 'course', 'house']
['world', 'house', 'government', 'way']
['world', 'information', 'place', 'year']
['course', 'place', 'information', 'government']
['house', 'world', 'group', 'fact']
['government', 'man', 'information', 'course']
['man', 'government', 'work', 'school']
['house', 'way', 'work', 'information']
['school', 'house', 'man', 'company']
['way', 'government', 'place', 'group']
['work', 'system', 'year', 'case']
['place', 'end', 'day', 'way']
['government', 'fact', 'man', 'work']
['information', 'work', 'man', 'house']
['case', 'party', 'day', 'course']
['case', 'school', 'party', 'day']
['course', 'life', 'school', 'day']
['group', 'part', 'company', 'house']
['work', 'party', 'part', 'place']
