['group', 'year', 'end', 'school']
['house', 'school', 'information', 'government']
['group', 'place', 'course', 'house']
['work', 'case', 'world', 'man']
['house', 'end', 'fact', 'work']
['school', 'party', 'year', 'case']
['house', 'group', 'fact', 'day']
['way', 'case', 'life', 'work']
['man', 'government', 'place', 'part']
['world', 'group', 'man', 'fact']
['life', 'year', 'course', 'house']
['case', 'company', 'course', 'way']
['information', 'year', 'group', 'day']
['party', 'fact', 'life', 'house']
['house', 'year', 'company', 'system']
['system', 'school', 'day', 'man']
['party', 'work', 'fact', 'place']
['company', 'case', 'part', 'group']
['place', 'information', 'government', 'world']
['work', 'man', 'group', 'school']
['school', 'place', 'house', 'life']
['fact', 'way', 'company', 'place']
['group', 'information', 'end', 'government']
['group', 'man', 'case', 'way']
['information', 'company', 'school', 'party']
['house', 'part', 'school', 'world']
['case', 'school', 'fact', 'world']
['group', 'school', 'system', 'case']
['group', 'life', 'end', 'house']
['group', 'party', 'place', 'day']
['information', 'end', 'case', 'part']
['man', 'fact', 'year', 'company']
['party', 'part', 'system', 'case']
['life', 'man', 'company', 'way']
['day', 'fact', 'part', 'school']
['case', 'government', 'way', 'company']
['end', 'world', 'fact', 'house']
['end', 'work', 'party', 'course']
['way', 'life', 'year', 'house']
['party', 'fact', 'information', 'school']
['course', 'fact', 'day', 'company']
['school', 'life', 'fact', 'party']
['day', 'world', 'work', 'part']
['information', 'fact', 'company', 'work']
['fact', 'school', 'day', 'world']
['system', 'course', 'group', 'world']
['year', 'man', 'course', 'house']
['company', 'man', 'group', 'world']
['government', 'way', 'end', 'party']
['life', 'year', 'world', 'end']
['life', 'party', 'information', 'end']
['man', 'information', 'course', 'school']
['place', 'party', 'day', 'world']
['government', 'party', 'fact', 'system']
['life', 'case', 'party', 'fact']
['group', 'end', 'house', 'life']
['day', 'group', 'company', 'year']
['place', 'part', 'fact', 'party']
['school', 'year', 'house', 'fact']
['life', 'government', 'case', 'part']
['year', 'system', 'fact', 'end']
['system', 'party', 'end', 'fact']
['way', 'case', 'life', 'group']
['information', 'work', 'day', 'course']
['group', 'work', 'case', 'way']
['party', 'way', 'house', 'work']
['government', 'party', 'fact', 'way']
['part', 'house', 'work', 'school']
['case', 'end', 'government', 'group']
['day', 'party', 'school', 'system']
['party', 'year', 'man', 'work']
['year', 'system', 'fact', 'work']
['party', 'life', 'government', 'fact']
['case', 'life', 'way', 'house']
['way', 'house', 'school', 'case']
['world', 'course', 'information', 'way']
['house', 'year', 'group', 'end']
['day', 'end', 'system', 'case']
['year', 'work', 'world', 'system']
['end', 'course', 'company', 'way']
['group', 'system', 'house', 'course']
['day', 'year', 'system', 'life']
['life', 'day', 'school', 'way']
['work', 'case', 'government', 'information']
['group', 'day', 'work', 'part']
['house', 'school', 'case', 'life']
['end', 'system', 'case', 'group']
['year', 'system', 'life', 'party']
['life', 'house', 'man', 'fact']
['party', 'group', 'work', 'world']
['place', 'house', 'system', 'year']
['work', 'fact', 'government', 'part']
['life', 'work', 'world', 'party']
['life', 'case', 'year', 'government']
['day', 'man', 'system', 'group']
['day', 'course', 'year', 'way']
['case', 'group', 'end', 'company']
['information', 'world', 'day', 'end']
['way', 'year', 'school', 'man']
['place', 'system', 'part', 'course']
