['government', 'party', 'life', 'place']
['government', 'course', 'world', 'day']
['system', 'work', 'year', 'day']
['year', 'school', 'system', 'fact']
['case', 'place', 'house', 'information']
['information', 'case', 'end', 'company']
['day', 'government', 'work', 'life']
['year', 'life', 'man', 'day']
['work', 'course', 'end', 'information']
['group', 'end', 'school', 'party']
['place', 'man', 'group', 'part']
['party', 'house', 'end', 'case']
['day', 'case', 'way', 'world']
['world', 'system', 'place', 'end']
['place', 'company', 'house', 'day']
['house', 'life', 'system', 'place']
['world', 'life', 'school', 'way']
['information', 'company', 'man', 'group']
['party', 'place', 'course', 'house']
['system', 'case', 'group', 'place']
['way', 'part', 'house', 'party']
['house', 'end', 'system', 'day']
['life', 'year', 'way', 'day']
['place', 'way', 'party', 'case']
['day', 'group', 'work', 'system']
['house', 'case', 'school', 'course']
['world', 'government', 'way', 'case']
['system', 'work', 'course', 'end']
['case', 'year', 'party', 'school']
['work', 'government', 'world', 'end']
['part', 'place', 'man', 'house']
['world', 'company', 'government', 'information']
['world', 'part', 'man', 'case']
['part', 'house', 'place', 'man']
['part', 'place', 'system', 'course']
['part', 'school', 'world', 'man']
['company', 'end', 'house', 'year']
['work', 'system', 'group', 'life']
['course', 'case', 'party', 'group']
['life', 'party', 'case', 'work']
['system', 'day', 'party', 'company']
['party', 'way', 'company', 'part']
['course', 'fact', 'house', 'information']
['case', 'system', 'course', 'world']
['group', 'year', 'case', 'man']
['government', 'company', 'man', 'case']
['day', 'world', 'fact', 'course']
['course', 'world', 'system', 'fact']
['day', 'house', 'way', 'fact']
['house', 'life', 'school', 'fact']
['work', 'house', 'part', 'world']
['part', 'party', 'information', 'case']
['course', 'part', 'school', 'work']
['life', 'system', 'man', 'way']
['company', 'course', 'year', 'part']
['information', 'place', 'school', 'group']
['work', 'man', 'place', 'house']
['school', 'case', 'house', 'party']
['school', 'work', 'day', 'information']
['information', 'company', 'work', 'day']
['course', 'party', 'place', 'information']
['information', 'course', 'system', 'place']
['case', 'company', 'day', 'government']
['party', 'year', 'group', 'end']
['world', 'information', 'man', 'group']
['fact', 'man', 'way', 'school']
['life', 'way', 'work', 'case']
['government', 'year', 'group', 'world']
['house', 'part', 'work', 'government']
['information', 'day', 'government', 'school']
['system', 'man', 'end', 'world']
['way', 'party', 'part', 'group']
['world', 'party', 'case', 'fact']
['party', 'government', 'year', 'school']
['school', 'place', 'party', 'house']
['system', 'life', 'house', 'course']
['information', 'man', 'case', 'way']
['end', 'school', 'house', 'system']
['world', 'way', 'place', 'life']
['group', 'fact', 'place', 'party']
['fact', 'life', 'house', 'group']
['course', 'man', 'government', 'year']
['place', 'school', 'year', 'man']
['house', 'year', 'world', 'day']
['course', 'house', 'information', 'part']
['system', 'house', 'work', 'end']
['year', 'group', 'fact', 'place']
['year', 'man', 'information', 'life']
['case', 'party', 'way', 'place']
['school', 'company', 'man', 'fact']
['place', 'system', 'world', 'day']
['way', 'day', 'house', 'group']
['man', 'end', 'system', 'day']
['place', 'house', 'fact', 'party']
['year', 'way', 'school', 'group']
['man', 'place', 'year', 'information']
['place', 'company', 'house', 'case']
['end', 'day', 'case', 'information']
['world', 'company', 'system', 'government']
['case', 'party', 'place', 'school']
