['case', 'fact', 'system', 'part']
['life', 'fact', 'year', 'group']
['company', 'case', 'group', 'way']
['school', 'place', 'group', 'party']
['course', 'world', 'life', 'case']
['end', 'school', 'system', 'house']
['course', 'house', 'fact', 'end']
['company', 'end', 'course', 'house']
['information', 'house', 'school', 'fact']
['fact', 'way', 'end', 'information']
['day', 'way', 'work', 'case']
['year', 'school', 'life', 'group']
['life', 'end', 'place', 'work']
['fact', 'information', 'government', 'part']
['case', 'man', 'house', 'world']
['world', 'way', 'group', 'system']
['life', 'world', 'system', 'group']
['way', 'party', 'day', 'case']
['house', 'work', 'way', 'company']
['day', 'work', 'system', 'place']
['information', 'fact', 'way', 'company']
['case', 'information', 'system', 'group']
['information', 'house', 'man', 'place']
['group', 'system', 'life', 'fact']
['life', 'company', 'house', 'group']
['group', 'party', 'system', 'information']
['day', 'place', 'government', 'group']
['party', 'year', 'life', 'school']
['fact', 'system', 'year', 'end']
['man', 'place', 'way', 'part']
['house', 'party', 'case', 'group']
['government', 'system', 'course', 'place']
['part', 'group', 'work', 'course']
['course', 'house', 'government', 'system']
['end', 'school', 'place', 'system']
['case', 'place', 'way', 'part']
['day', 'government', 'course', 'way']
['year', 'work', 'world', 'government']
['school', 'man', 'information', 'end']
['party', 'government', 'day', 'group']
['course', 'house', 'part', 'party']
['life', 'world', 'fact', 'school']
['fact', 'world', 'part', 'year']
['group', 'work', 'world', 'way']
['party', 'company', 'government', 'system']
['house', 'place', 'government', 'year']
['system', 'end', 'party', 'work']
['day', 'place', 'end', 'house']
['place', 'course', 'group', 'house']
['life', 'way', 'house', 'course']
['house', 'work', 'fact', 'day']
['year', 'man', 'group', 'company']
['part', 'world', 'house', 'school']
['school', 'end', 'house', 'government']
['life', 'party', 'information', 'end']
['government', 'place', 'life', 'fact']
['world', 'fact', 'way', 'course']
['course', 'fact', 'way', 'place']
['house', 'system', 'fact', 'part']
['end', 'information', 'company', 'case']
['case', 'school', 'fact', 'day']
['party', 'place', 'fact', 'way']
['information', 'end', 'world', 'government']
['work', 'system', 'house', 'day']
['house', 'school', 'world', 'group']
['information', 'man', 'system', 'party']
['system', 'school', 'course', 'end']
['end', 'house', 'case', 'year']
['man', 'house', 'information', 'place']
['case', 'company', 'government', 'party']
['case', 'life', 'place', 'party']
['government', 'end', 'information', 'man']
['group', 'house', 'day', 'world']
['day', 'fact', 'part', 'way']
['place', 'life', 'man', 'government']
['end', 'system', 'fact', 'man']
['information', 'government', 'life', 'house']
['year', 'group', 'system', 'end']
['party', 'case', 'part', 'school']
['world', 'part', 'course', 'work']
['company', 'system', 'government', 'man']
['way', 'year', 'school', 'world']
['man', 'day', 'year', 'work']
['party', 'company', 'year', 'case']
['world', 'system', 'fact', 'school']
['government', 'fact', 'life', 'case']
['party', 'work', 'company', 'group']
['fact', 'life', 'house', 'world']
['group', 'course', 'part', 'case']
['government', 'fact', 'group', 'part']
['house', 'work', 'government', 'part']
['part', 'end', 'party', 'fact']
['company', 'man', 'part', 'course']
['school', 'company', 'house', 'work']
['part', 'day', 'fact', 'house']
['group', 'man', 'house', 'party']
['work', 'house', 'man', 'way']
['place', 'group', 'way', 'part']
['fact', 'house', 'part', 'work']
['work', 'part', 'course', 'life']
