['system', 'information', 'man']
['end', 'case', 'school']
['group', 'life', 'information']
['school', 'case', 'way']
['year', 'place', 'life']
['government', 'world', 'way']
['work', 'life', 'place']
['place', 'end', 'school']
['end', 'government', 'life']
['place', 'life', 'part']
['company', 'house', 'fact']
['work', 'place', 'information']
['work', 'way', 'party']
['end', 'government', 'school']
['party', 'world', 'house']
['day', 'work', 'house']
['group', 'place', 'life']
['house', 'year', 'information']
['government', 'group', 'year']
['place', 'fact', 'company']
['company', 'school', 'man']
['house', 'information', 'man']
['system', 'man', 'fact']
['house', 'school', 'information']
['case', 'school', 'life']
['party', 'fact', 'government']
['part', 'work', 'house']
['life', 'work', 'day']
['man', 'year', 'course']
['end', 'life', 'case']
['end', 'man', 'life']
['information', 'company', 'place']
['place', 'system', 'party']
['house', 'day', 'group']
['world', 'work', 'day']
['course', 'school', 'group']
['place', 'company', 'case']
['course', 'system', 'information']
['party', 'work', 'year']
['part', 'place', 'life']
['government', 'school', 'end']
['work', 'part', 'company']
['work', 'party', 'day']
['man', 'place', 'way']
['end', 'life', 'course']
['house', 'course', 'group']
['work', 'end', 'place']
['part', 'fact', 'company']
['case', 'part', 'information']
['information', 'way', 'party']
['school', 'government', 'year']
['part', 'end', 'system']
['life', 'group', 'place']
['information', 'world', 'group']
['place', 'fact', 'life']
['part', 'world', 'year']
['man', 'system', 'house']
['party', 'man', 'way']
['day', 'course', 'house']
['day', 'party', 'end']
['man', 'end', 'course']
['school', 'case', 'fact']
['life', 'year', 'man']
['system', 'group', 'life']
['government', 'place', 'party']
['group', 'world', 'course']
['fact', 'day', 'world']
['life', 'work', 'information']
['day', 'place', 'part']
['place', 'world', 'work']
['government', 'system', 'course']
['way', 'school', 'end']
['part', 'way', 'year']
['world', 'way', 'work']
['house', 'life', 'world']
['work', 'fact', 'information']
['life', 'end', 'part']
['case', 'government', 'place']
['course', 'house', 'government']
['course', 'case', 'world']
['man', 'party', 'school']
['place', 'party', 'case']
['life', 'government', 'fact']
['world', 'fact', 'house']
['year', 'group', 'day']
['company', 'day', 'year']
['man', 'government', 'day']
['government', 'work', 'fact']
['end', 'man', 'place']
['life', 'place', 'government']
['day', 'house', 'case']
['group', 'system', 'party']
['company', 'house', 'world']
['place', 'part', 'man']
['place', 'government', 'party']
['system', 'school', 'party']
['system', 'world', 'case']
['day', 'work', 'course']
['government', 'course', 'way']
['system', 'place', 'life']
