['course', 'school', 'party']
['work', 'end', 'man']
['part', 'man', 'fact']
['case', 'information', 'way']
['group', 'life', 'world']
['school', 'place', 'fact']
['system', 'way', 'group']
['house', 'fact', 'school']
['work', 'house', 'man']
['house', 'course', 'end']
['part', 'government', 'way']
['fact', 'man', 'information']
['work', 'place', 'company']
['year', 'day', 'house']
['world', 'group', 'part']
['end', 'party', 'work']
['end', 'work', 'place']
['system', 'year', 'case']
['company', 'part', 'day']
['school', 'government', 'case']
['course', 'school', 'government']
['course', 'part', 'year']
['house', 'work', 'place']
['end', 'work', 'system']
['house', 'case', 'end']
['information', 'world', 'course']
['day', 'place', 'school']
['place', 'course', 'information']
['house', 'course', 'information']
['day', 'part', 'government']
['government', 'system', 'man']
['fact', 'year', 'life']
['school', 'day', 'life']
['life', 'way', 'part']
['case', 'life', 'fact']
['man', 'way', 'case']
['way', 'system', 'party']
['government', 'part', 'course']
['man', 'year', 'part']
['course', 'school', 'house']
['part', 'year', 'way']
['end', 'case', 'group']
['information', 'world', 'system']
['school', 'world', 'life']
['world', 'government', 'life']
['company', 'group', 'life']
['house', 'school', 'place']
['work', 'place', 'year']
['place', 'work', 'information']
['group', 'work', 'world']
['year', 'company', 'day']
['company', 'government', 'school']
['way', 'work', 'party']
['part', 'house', 'information']
['information', 'way', 'part']
['part', 'work', 'government']
['case', 'school', 'part']
['year', 'group', 'system']
['world', 'government', 'fact']
['life', 'fact', 'year']
['case', 'company', 'system']
['course', 'year', 'fact']
['day', 'school', 'house']
['way', 'fact', 'day']
['company', 'work', 'fact']
['work', 'information', 'company']
['end', 'way', 'year']
['place', 'life', 'world']
['way', 'company', 'fact']
['case', 'school', 'group']
['year', 'case', 'part']
['part', 'case', 'party']
['year', 'life', 'end']
['school', 'place', 'world']
['group', 'year', 'way']
['year', 'end', 'fact']
['life', 'company', 'party']
['system', 'school', 'information']
['end', 'part', 'man']
['company', 'house', 'course']
['information', 'work', 'part']
['world', 'course', 'part']
['day', 'life', 'company']
['group', 'life', 'house']
['day', 'government', 'group']
['world', 'system', 'government']
['group', 'government', 'world']
['fact', 'work', 'information']
['government', 'year', 'party']
['place', 'system', 'work']
['fact', 'place', 'government']
['year', 'man', 'information']
['end', 'world', 'man']
['course', 'life', 'school']
['case', 'life', 'world']
['place', 'life', 'world']
['year', 'part', 'party']
['way', 'work', 'company']
['fact', 'way', 'school']
['work', 'day', 'world']
