['system', 'information', 'man', 'world', 'house']
['world', 'year', 'group', 'system', 'end']
['fact', 'system', 'part', 'school', 'man']
['place', 'day', 'school', 'house', 'group']
['company', 'government', 'place', 'information', 'house']
['world', 'government', 'party', 'end', 'house']
['group', 'part', 'system', 'case', 'world']
['world', 'day', 'company', 'system', 'year']
['system', 'end', 'house', 'school', 'company']
['place', 'man', 'year', 'case', 'party']
['house', 'world', 'part', 'case', 'school']
['group', 'year', 'government', 'way', 'case']
['course', 'year', 'school', 'way', 'part']
['group', 'fact', 'house', 'life', 'way']
['house', 'course', 'life', 'school', 'group']
['life', 'information', 'group', 'year', 'place']
['system', 'party', 'information', 'part', 'school']
['fact', 'information', 'case', 'year', 'course']
['party', 'place', 'information', 'work', 'government']
['year', 'government', 'life', 'system', 'company']
['year', 'fact', 'system', 'life', 'case']
['way', 'life', 'case', 'system', 'man']
['group', 'information', 'system', 'course', 'government']
['party', 'fact', 'case', 'year', 'system']
['life', 'fact', 'year', 'way', 'world']
['fact', 'way', 'school', 'house', 'party']
['party', 'way', 'house', 'man', 'part']
['way', 'end', 'man', 'case', 'day']
['way', 'world', 'company', 'man', 'group']
['world', 'work', 'part', 'place', 'end']
['year', 'way', 'party', 'place', 'case']
['house', 'man', 'course', 'party', 'company']
['work', 'place', 'information', 'end', 'year']
['work', 'information', 'house', 'life', 'part']
['fact', 'year', 'life', 'work', 'part']
['information', 'place', 'end', 'work', 'group']
['work', 'end', 'life', 'party', 'way']
['government', 'day', 'work', 'man', 'group']
['information', 'fact', 'end', 'company', 'place']
['company', 'system', 'life', 'year', 'man']
['system', 'place', 'part', 'case', 'end']
['system', 'group', 'life', 'company', 'case']
['course', 'work', 'company', 'man', 'day']
['year', 'world', 'house', 'part', 'company']
['case', 'day', 'end', 'group', 'party']
['system', 'day', 'government', 'way', 'party']
['party', 'government', 'group', 'year', 'way']
['party', 'end', 'man', 'course', 'group']
['world', 'way', 'party', 'system', 'company']
['year', 'group', 'work', 'school', 'party']
['life', 'case', 'house', 'world', 'day']
['end', 'party', 'case', 'house', 'place']
['party', 'work', 'man', 'course', 'end']
['way', 'course', 'group', 'party', 'end']
['place', 'world', 'house', 'government', 'way']
['world', 'day', 'course', 'end', 'fact']
['man', 'company', 'case', 'house', 'world']
['place', 'day', 'year', 'way', 'part']
['end', 'system', 'group', 'work', 'company']
['part', 'house', 'government', 'course', 'way']
['company', 'course', 'year', 'day', 'system']
['government', 'information', 'group', 'company', 'life']
['part', 'system', 'house', 'year', 'work']
['world', 'way', 'house', 'place', 'part']
['school', 'man', 'case', 'world', 'house']
['company', 'life', 'case', 'group', 'day']
['information', 'school', 'year', 'government', 'day']
['year', 'world', 'information', 'day', 'party']
['information', 'life', 'government', 'work', 'part']
['house', 'life', 'party', 'year', 'group']
['government', 'case', 'school', 'place', 'world']
['part', 'information', 'work', 'day', 'place']
['case', 'day', 'world', 'fact', 'work']
['world', 'day', 'life', 'house', 'company']
['man', 'year', 'group', 'course', 'part']
['case', 'work', 'fact', 'house', 'party']
['life', 'way', 'year', 'course', 'case']
['information', 'party', 'year', 'place', 'company']
['day', 'company', 'government', 'case', 'group']
['house', 'government', 'world', 'life', 'party']
['house', 'school', 'part', 'life', 'end']
['house', 'way', 'place', 'group', 'school']
['group', 'work', 'life', 'man', 'party']
['school', 'year', 'information', 'day', 'group']
['part', 'way', 'place', 'fact', 'group']
['year', 'place', 'system', 'end', 'day']
['information', 'system', 'world', 'party', 'place']
['work', 'life', 'group', 'party', 'company']
['case', 'way', 'school', 'fact', 'year']
['life', 'system', 'year', 'case', 'company']
['day', 'part', 'place', 'course', 'school']
['course', 'way', 'work', 'group', 'party']
['work', 'day', 'life', 'system', 'end']
['work', 'end', 'fact', 'information', 'part']
['part', 'system', 'group', 'man', 'year']
['end', 'party', 'place', 'way', 'group']
['information', 'fact', 'government', 'company', 'place']
['end', 'party', 'man', 'information', 'day']
['life', 'course', 'group', 'house', 'place']
['world', 'way', 'group', 'house', 'school']
