['company', 'place', 'way', 'day', 'school']
['course', 'work', 'group', 'part', 'fact']
['life', 'year', 'government', 'man', 'day']
['school', 'house', 'company', 'information', 'place']
['house', 'way', 'place', 'information', 'system']
['party', 'year', 'company', 'information', 'end']
['party', 'house', 'place', 'group', 'year']
['house', 'case', 'day', 'place', 'information']
['fact', 'man', 'group', 'government', 'year']
['place', 'way', 'life', 'end', 'work']
['way', 'case', 'group', 'information', 'party']
['end', 'man', 'place', 'case', 'fact']
['day', 'year', 'part', 'school', 'company']
['party', 'company', 'year', 'end', 'group']
['course', 'part', 'party', 'school', 'group']
['day', 'school', 'world', 'course', 'year']
['part', 'government', 'course', 'information', 'work']
['part', 'government', 'case', 'world', 'work']
['day', 'company', 'end', 'course', 'man']
['life', 'information', 'case', 'man', 'work']
['school', 'way', 'system', 'party', 'house']
['year', 'part', 'man', 'day', 'end']
['world', 'party', 'group', 'way', 'end']
['information', 'system', 'end', 'part', 'school']
['company', 'course', 'government', 'party', 'work']
['year', 'day', 'school', 'company', 'end']
['life', 'way', 'world', 'man', 'house']
['case', 'fact', 'end', 'information', 'man']
['work', 'information', 'man', 'group', 'party']
['party', 'work', 'world', 'life', 'end']
['system', 'life', 'day', 'place', 'work']
['company', 'party', 'school', 'case', 'fact']
['day', 'fact', 'way', 'company', 'part']
['school', 'government', 'way', 'world', 'part']
['day', 'company', 'fact', 'party', 'part']
['company', 'school', 'fact', 'government', 'world']
['part', 'house', 'information', 'day', 'school']
['year', 'place', 'information', 'way', 'company']
['part', 'day', 'case', 'company', 'work']
['company', 'party', 'way', 'part', 'end']
['place', 'group', 'day', 'party', 'year']
['day', 'end', 'government', 'information', 'course']
['life', 'government', 'place', 'fact', 'information']
['house', 'school', 'way', 'place', 'year']
['way', 'fact', 'information', 'year', 'house']
['man', 'day', 'place', 'company', 'life']
['school', 'life', 'government', 'day', 'system']
['case', 'life', 'company', 'school', 'course']
['world', 'system', 'life', 'government', 'house']
['case', 'world', 'work', 'school', 'house']
['school', 'party', 'system', 'end', 'year']
['fact', 'year', 'day', 'system', 'school']
['place', 'fact', 'government', 'school', 'course']
['course', 'company', 'fact', 'group', 'house']
['school', 'party', 'case', 'system', 'information']
['end', 'world', 'work', 'system', 'man']
['year', 'party', 'man', 'fact', 'place']
['part', 'fact', 'place', 'course', 'school']
['group', 'case', 'part', 'end', 'company']
['government', 'case', 'part', 'course', 'day']
['place', 'end', 'man', 'course', 'world']
['work', 'fact', 'course', 'system', 'year']
['end', 'information', 'system', 'work', 'man']
['group', 'information', 'government', 'party', 'school']
['party', 'way', 'part', 'system', 'course']
['government', 'end', 'day', 'fact', 'life']
['fact', 'day', 'information', 'party', 'group']
['life', 'government', 'system', 'company', 'group']
['house', 'life', 'place', 'year', 'man']
['course', 'party', 'man', 'house', 'school']
['company', 'man', 'school', 'way', 'year']
['government', 'day', 'part', 'information', 'year']
['part', 'life', 'school', 'year', 'work']
['place', 'man', 'way', 'life', 'government']
['life', 'year', 'information', 'work', 'company']
['party', 'place', 'world', 'day', 'work']
['part', 'world', 'year', 'end', 'government']
['year', 'fact', 'life', 'group', 'man']
['end', 'group', 'system', 'work', 'life']
['way', 'information', 'year', 'world', 'company']
['group', 'house', 'end', 'life', 'company']
['case', 'work', 'government', 'year', 'company']
['place', 'government', 'house', 'man', 'school']
['way', 'government', 'house', 'day', 'end']
['life', 'fact', 'place', 'world', 'course']
['course', 'information', 'year', 'place', 'case']
['day', 'party', 'year', 'place', 'fact']
['way', 'information', 'system', 'school', 'company']
['year', 'company', 'day', 'world', 'way']
['way', 'part', 'world', 'work', 'school']
['world', 'day', 'course', 'place', 'group']
['fact', 'company', 'place', 'year', 'way']
['company', 'year', 'system', 'group', 'course']
['day', 'case', 'world', 'group', 'way']
['company', 'way', 'year', 'case', 'day']
['school', 'system', 'place', 'life', 'day']
['life', 'party', 'company', 'end', 'part']
['government', 'work', 'world', 'case', 'end']
['system', 'case', 'way', 'place', 'information']
['course', 'way', 'end', 'world', 'information']
