['world', 'government', 'school', 'place', 'day']
['work', 'government', 'life', 'information', 'group']
['place', 'end', 'company', 'life', 'world']
['man', 'part', 'way', 'party', 'system']
['place', 'company', 'day', 'government', 'end']
['year', 'company', 'government', 'place', 'day']
['case', 'company', 'year', 'course', 'part']
['government', 'life', 'house', 'group', 'case']
['man', 'case', 'fact', 'day', 'work']
['part', 'course', 'company', 'man', 'way']
['system', 'information', 'fact', 'case', 'party']
['day', 'life', 'system', 'place', 'information']
['way', 'system', 'group', 'life', 'place']
['information', 'group', 'year', 'government', 'end']
['government', 'fact', 'information', 'year', 'man']
['information', 'school', 'year', 'day', 'company']
['work', 'system', 'end', 'course', 'company']
['way', 'information', 'life', 'fact', 'day']
['party', 'year', 'part', 'information', 'way']
['life', 'group', 'course', 'place', 'day']
['life', 'world', 'place', 'government', 'man']
['group', 'course', 'case', 'life', 'day']
['information', 'world', 'life', 'government', 'fact']
['course', 'year', 'day', 'world', 'life']
['house', 'school', 'life', 'work', 'group']
['fact', 'man', 'world', 'way', 'day']
['part', 'end', 'system', 'year', 'company']
['government', 'school', 'work', 'world', 'system']
['work', 'course', 'man', 'fact', 'day']
['world', 'way', 'school', 'life', 'place']
['company', 'school', 'life', 'way', 'end']
['system', 'day', 'school', 'group', 'part']
['year', 'fact', 'group', 'course', 'school']
['way', 'school', 'fact', 'company', 'end']
['man', 'way', 'school', 'work', 'house']
['work', 'fact', 'end', 'life', 'information']
['case', 'day', 'place', 'part', 'group']
['system', 'company', 'life', 'information', 'government']
['information', 'party', 'group', 'government', 'course']
['life', 'place', 'way', 'party', 'case']
['life', 'fact', 'course', 'government', 'party']
['party', 'information', 'system', 'place', 'house']
['school', 'end', 'life', 'place', 'day']
['year', 'party', 'company', 'end', 'school']
['information', 'work', 'place', 'system', 'government']
['end', 'fact', 'group', 'part', 'way']
['part', 'course', 'case', 'school', 'work']
['government', 'system', 'end', 'house', 'case']
['life', 'end', 'part', 'case', 'work']
['system', 'work', 'part', 'party', 'case']
['company', 'group', 'government', 'world', 'course']
['government', 'party', 'system', 'house', 'world']
['system', 'fact', 'part', 'world', 'course']
['course', 'party', 'fact', 'school', 'day']
['fact', 'company', 'man', 'course', 'case']
['government', 'year', 'course', 'school', 'information']
['system', 'end', 'world', 'case', 'life']
['company', 'group', 'work', 'day', 'part']
['government', 'man', 'part', 'company', 'place']
['way', 'company', 'place', 'end', 'information']
['year', 'way', 'school', 'man', 'party']
['year', 'group', 'way', 'company', 'life']
['fact', 'government', 'way', 'information', 'place']
['school', 'place', 'fact', 'day', 'house']
['system', 'group', 'world', 'place', 'course']
['information', 'company', 'case', 'group', 'world']
['information', 'party', 'way', 'fact', 'system']
['information', 'world', 'company', 'school', 'place']
['company', 'case', 'government', 'place', 'man']
['world', 'house', 'case', 'course', 'part']
['part', 'house', 'work', 'group', 'information']
['case', 'system', 'company', 'part', 'year']
['year', 'company', 'fact', 'case', 'government']
['system', 'house', 'life', 'group', 'party']
['course', 'work', 'system', 'company', 'case']
['party', 'world', 'place', 'information', 'part']
['party', 'company', 'system', 'end', 'house']
['party', 'way', 'fact', 'school', 'place']
['school', 'day', 'information', 'end', 'fact']
['course', 'part', 'government', 'year', 'case']
['place', 'end', 'man', 'school', 'life']
['party', 'fact', 'life', 'company', 'system']
['company', 'house', 'end', 'school', 'work']
['company', 'world', 'fact', 'government', 'group']
['government', 'group', 'place', 'way', 'course']
['work', 'way', 'house', 'information', 'world']
['house', 'place', 'part', 'day', 'case']
['day', 'course', 'company', 'end', 'information']
['end', 'day', 'school', 'man', 'fact']
['man', 'world', 'information', 'place', 'government']
['government', 'system', 'company', 'day', 'school']
['school', 'way', 'government', 'company', 'man']
['government', 'course', 'way', 'party', 'part']
['fact', 'way', 'place', 'information', 'system']
['part', 'work', 'day', 'place', 'end']
['group', 'end', 'case', 'house', 'life']
['system', 'way', 'part', 'work', 'place']
['course', 'man', 'government', 'company', 'day']
['school', 'work', 'way', 'world', 'course']
['case', 'place', 'system', 'year', 'party']
