['party', 'company', 'work', 'course', 'information']
['place', 'school', 'end', 'part', 'way']
['life', 'course', 'party', 'system', 'group']
['day', 'information', 'world', 'fact', 'government']
['government', 'group', 'world', 'company', 'place']
['group', 'course', 'part', 'work', 'man']
['end', 'world', 'school', 'information', 'company']
['case', 'government', 'man', 'way', 'world']
['year', 'house', 'end', 'course', 'day']
['group', 'part', 'world', 'course', 'end']
['way', 'man', 'house', 'company', 'life']
['company', 'way', 'life', 'group', 'place']
['life', 'man', 'company', 'group', 'place']
['system', 'place', 'world', 'information', 'man']
['case', 'part', 'school', 'group', 'world']
['government', 'man', 'life', 'course', 'way']
['house', 'party', 'way', 'work', 'part']
['part', 'information', 'fact', 'system', 'place']
['day', 'school', 'house', 'information', 'life']
['end', 'part', 'world', 'party', 'man']
['man', 'way', 'world', 'case', 'information']
['place', 'company', 'world', 'case', 'system']
['system', 'government', 'company', 'fact', 'party']
['end', 'part', 'system', 'world', 'house']
['case', 'school', 'man', 'group', 'world']
['course', 'world', 'information', 'house', 'way']
['part', 'work', 'man', 'information', 'house']
['party', 'end', 'life', 'house', 'year']
['course', 'part', 'group', 'life', 'way']
['system', 'place', 'way', 'group', 'part']
['system', 'day', 'group', 'company', 'case']
['school', 'day', 'life', 'place', 'way']
['fact', 'government', 'place', 'party', 'course']
['part', 'year', 'man', 'information', 'fact']
['house', 'year', 'end', 'system', 'day']
['information', 'way', 'end', 'group', 'school']
['government', 'life', 'group', 'fact', 'way']
['day', 'life', 'case', 'course', 'house']
['information', 'end', 'man', 'case', 'system']
['company', 'school', 'government', 'party', 'fact']
['government', 'case', 'party', 'year', 'day']
['fact', 'year', 'information', 'place', 'case']
['day', 'company', 'life', 'year', 'fact']
['course', 'part', 'way', 'case', 'system']
['year', 'school', 'work', 'fact', 'life']
['information', 'end', 'course', 'place', 'year']
['place', 'way', 'government', 'system', 'work']
['part', 'day', 'way', 'government', 'place']
['life', 'part', 'government', 'party', 'school']
['party', 'part', 'work', 'way', 'house']
['government', 'world', 'system', 'information', 'end']
['place', 'world', 'company', 'year', 'life']
['end', 'way', 'information', 'life', 'system']
['end', 'course', 'system', 'information', 'life']
['part', 'year', 'government', 'life', 'work']
['group', 'way', 'man', 'course', 'information']
['party', 'group', 'company', 'place', 'world']
['party', 'case', 'world', 'life', 'system']
['life', 'house', 'way', 'part', 'day']
['fact', 'part', 'company', 'year', 'government']
['information', 'government', 'case', 'company', 'life']
['year', 'group', 'fact', 'man', 'life']
['course', 'information', 'place', 'house', 'part']
['course', 'life', 'company', 'way', 'day']
['year', 'information', 'school', 'place', 'life']
['end', 'system', 'fact', 'information', 'school']
['school', 'man', 'fact', 'way', 'work']
['fact', 'year', 'end', 'part', 'group']
['part', 'system', 'world', 'information', 'work']
['group', 'life', 'case', 'company', 'day']
['school', 'end', 'life', 'party', 'place']
['world', 'fact', 'system', 'end', 'day']
['world', 'way', 'school', 'course', 'man']
['part', 'place', 'system', 'way', 'course']
['company', 'year', 'man', 'case', 'work']
['course', 'place', 'case', 'fact', 'party']
['school', 'world', 'man', 'information', 'day']
['party', 'end', 'house', 'company', 'part']
['school', 'party', 'course', 'system', 'company']
['world', 'government', 'place', 'company', 'information']
['work', 'day', 'way', 'man', 'party']
['place', 'part', 'company', 'world', 'way']
['fact', 'school', 'case', 'work', 'system']
['group', 'day', 'place', 'case', 'world']
['world', 'party', 'fact', 'part', 'case']
['life', 'party', 'case', 'system', 'fact']
['place', 'company', 'government', 'man', 'year']
['system', 'end', 'world', 'life', 'day']
['information', 'course', 'place', 'way', 'end']
['work', 'life', 'part', 'group', 'course']
['world', 'government', 'group', 'house', 'end']
['work', 'way', 'system', 'house', 'world']
['group', 'work', 'man', 'school', 'year']
['group', 'end', 'case', 'party', 'system']
['life', 'way', 'government', 'man', 'day']
['place', 'school', 'man', 'way', 'end']
['house', 'system', 'year', 'place', 'course']
['life', 'work', 'course', 'part', 'end']
['party', 'group', 'system', 'day', 'course']
['work', 'system', 'course', 'house', 'day']
