['year', 'case', 'way', 'part', 'house']
['house', 'end', 'information', 'course', 'case']
['school', 'house', 'case', 'place', 'day']
['year', 'course', 'government', 'fact', 'house']
['way', 'information', 'end', 'course', 'fact']
['course', 'world', 'party', 'house', 'fact']
['day', 'school', 'part', 'system', 'end']
['group', 'year', 'way', 'life', 'party']
['system', 'world', 'case', 'work', 'school']
['part', 'man', 'system', 'course', 'work']
['government', 'life', 'work', 'system', 'fact']
['end', 'case', 'work', 'day', 'system']
['work', 'end', 'day', 'school', 'information']
['house', 'government', 'world', 'party', 'part']
['year', 'day', 'world', 'way', 'party']
['company', 'end', 'life', 'course', 'party']
['year', 'house', 'party', 'group', 'fact']
['government', 'world', 'way', 'information', 'life']
['school', 'year', 'company', 'way', 'government']
['house', 'company', 'man', 'party', 'information']
['part', 'life', 'world', 'fact', 'end']
['day', 'information', 'work', 'system', 'way']
['party', 'place', 'course', 'man', 'world']
['party', 'course', 'place', 'information', 'group']
['party', 'case', 'way', 'day', 'life']
['place', 'part', 'school', 'way', 'year']
['case', 'day', 'school', 'end', 'work']
['company', 'life', 'system', 'man', 'part']
['case', 'fact', 'part', 'year', 'government']
['place', 'government', 'group', 'end', 'case']
['fact', 'way', 'course', 'information', 'year']
['life', 'end', 'place', 'house', 'government']
['man', 'school', 'house', 'life', 'party']
['information', 'world', 'year', 'fact', 'house']
['end', 'place', 'year', 'way', 'school']
['life', 'group', 'case', 'year', 'party']
['man', 'government', 'end', 'part', 'way']
['government', 'course', 'world', 'place', 'year']
['work', 'company', 'man', 'year', 'information']
['fact', 'life', 'government', 'case', 'world']
['house', 'world', 'system', 'government', 'place']
['life', 'way', 'school', 'end', 'company']
['information', 'place', 'system', 'way', 'end']
['information', 'house', 'place', 'year', 'company']
['man', 'day', 'way', 'work', 'company']
['life', 'world', 'company', 'part', 'man']
['fact', 'way', 'group', 'part', 'house']
['house', 'end', 'government', 'party', 'fact']
['place', 'part', 'day', 'case', 'year']
['government', 'company', 'year', 'way', 'place']
['government', 'world', 'way', 'year', 'company']
['system', 'party', 'information', 'work', 'government']
['house', 'work', 'part', 'school', 'world']
['life', 'party', 'group', 'company', 'work']
['system', 'school', 'company', 'government', 'house']
['school', 'work', 'company', 'government', 'day']
['place', 'party', 'case', 'fact', 'year']
['case', 'group', 'information', 'end', 'man']
['part', 'group', 'house', 'end', 'day']
['group', 'year', 'place', 'information', 'company']
['case', 'information', 'man', 'system', 'party']
['group', 'man', 'fact', 'system', 'place']
['life', 'group', 'school', 'system', 'way']
['fact', 'work', 'information', 'house', 'course']
['way', 'party', 'end', 'information', 'school']
['day', 'year', 'place', 'information', 'course']
['house', 'system', 'company', 'day', 'course']
['fact', 'place', 'day', 'case', 'part']
['company', 'part', 'government', 'year', 'course']
['life', 'case', 'work', 'house', 'government']
['year', 'part', 'course', 'system', 'company']
['company', 'life', 'information', 'way', 'case']
['way', 'fact', 'group', 'life', 'party']
['house', 'man', 'year', 'government', 'world']
['life', 'end', 'course', 'world', 'system']
['way', 'man', 'life', 'year', 'party']
['end', 'company', 'life', 'school', 'world']
['work', 'man', 'fact', 'case', 'information']
['group', 'information', 'work', 'man', 'part']
['school', 'part', 'life', 'course', 'company']
['life', 'work', 'world', 'way', 'government']
['information', 'fact', 'end', 'government', 'part']
['day', 'world', 'part', 'fact', 'work']
['way', 'place', 'house', 'party', 'school']
['work', 'information', 'school', 'world', 'day']
['day', 'group', 'world', 'information', 'part']
['man', 'group', 'place', 'school', 'work']
['part', 'information', 'world', 'house', 'government']
['life', 'information', 'work', 'world', 'man']
['company', 'part', 'work', 'life', 'man']
['man', 'company', 'house', 'day', 'part']
['man', 'place', 'part', 'course', 'world']
['place', 'life', 'part', 'group', 'year']
['end', 'system', 'school', 'group', 'fact']
['party', 'group', 'system', 'case', 'government']
['end', 'place', 'fact', 'system', 'school']
['world', 'man', 'case', 'work', 'party']
['system', 'world', 'place', 'school', 'company']
['year', 'group', 'end', 'house', 'case']
['fact', 'world', 'man', 'place', 'way']
