['year', 'way', 'party', 'course', 'world']
['end', 'work', 'place', 'house', 'company']
['house', 'part', 'case', 'work', 'school']
['work', 'part', 'end', 'world', 'house']
['case', 'course', 'information', 'year', 'school']
['man', 'work', 'fact', 'company', 'part']
['part', 'party', 'fact', 'way', 'case']
['house', 'year', 'fact', 'part', 'company']
['life', 'work', 'information', 'fact', 'way']
['government', 'work', 'day', 'company', 'way']
['way', 'course', 'end', 'company', 'part']
['system', 'school', 'part', 'world', 'day']
['school', 'end', 'life', 'place', 'case']
['work', 'government', 'company', 'system', 'year']
['work', 'house', 'place', 'man', 'party']
['government', 'life', 'course', 'system', 'company']
['house', 'case', 'life', 'school', 'part']
['course', 'year', 'government', 'school', 'company']
['party', 'fact', 'end', 'place', 'group']
['house', 'party', 'year', 'day', 'fact']
['end', 'way', 'day', 'man', 'fact']
['work', 'company', 'fact', 'part', 'end']
['case', 'year', 'house', 'school', 'company']
['party', 'work', 'day', 'way', 'information']
['year', 'work', 'way', 'party', 'course']
['day', 'school', 'work', 'way', 'year']
['house', 'group', 'school', 'year', 'world']
['group', 'system', 'day', 'man', 'part']
['house', 'end', 'group', 'information', 'place']
['course', 'end', 'day', 'group', 'information']
['group', 'house', 'company', 'government', 'life']
['system', 'way', 'life', 'end', 'work']
['end', 'year', 'place', 'company', 'man']
['party', 'company', 'part', 'government', 'day']
['information', 'work', 'day', 'life', 'party']
['course', 'information', 'world', 'day', 'house']
['man', 'company', 'information', 'course', 'government']
['world', 'part', 'place', 'government', 'information']
['way', 'case', 'place', 'work', 'school']
['world', 'work', 'system', 'company', 'group']
['government', 'part', 'system', 'day', 'school']
['party', 'way', 'company', 'world', 'information']
['man', 'part', 'place', 'group', 'system']
['world', 'case', 'fact', 'school', 'house']
['part', 'party', 'system', 'company', 'place']
['end', 'year', 'information', 'work', 'group']
['group', 'system', 'way', 'course', 'information']
['man', 'government', 'end', 'group', 'information']
['course', 'information', 'party', 'day', 'group']
['house', 'case', 'way', 'course', 'year']
['world', 'course', 'information', 'work', 'school']
['work', 'day', 'government', 'course', 'world']
['place', 'system', 'information', 'group', 'life']
['system', 'world', 'school', 'company', 'man']
['school', 'part', 'case', 'party', 'man']
['end', 'course', 'company', 'work', 'man']
['life', 'company', 'house', 'work', 'government']
['fact', 'school', 'company', 'end', 'case']
['government', 'group', 'part', 'year', 'course']
['group', 'course', 'information', 'system', 'company']
['school', 'year', 'course', 'man', 'world']
['government', 'way', 'system', 'house', 'course']
['day', 'part', 'man', 'system', 'work']
['course', 'information', 'year', 'work', 'world']
['life', 'party', 'year', 'part', 'system']
['day', 'information', 'year', 'school', 'way']
['fact', 'life', 'system', 'group', 'government']
['information', 'case', 'day', 'fact', 'work']
['house', 'end', 'life', 'information', 'place']
['course', 'work', 'government', 'school', 'year']
['information', 'house', 'course', 'school', 'case']
['company', 'fact', 'school', 'year', 'information']
['case', 'house', 'part', 'way', 'world']
['house', 'course', 'system', 'group', 'case']
['man', 'life', 'group', 'company', 'government']
['fact', 'information', 'place', 'life', 'work']
['day', 'part', 'end', 'case', 'government']
['place', 'party', 'system', 'company', 'life']
['way', 'information', 'fact', 'group', 'government']
['party', 'world', 'company', 'place', 'house']
['part', 'government', 'world', 'way', 'end']
['world', 'course', 'case', 'system', 'government']
['party', 'system', 'man', 'company', 'fact']
['place', 'party', 'way', 'course', 'system']
['year', 'way', 'life', 'day', 'government']
['group', 'party', 'course', 'work', 'school']
['house', 'fact', 'school', 'way', 'man']
['life', 'end', 'way', 'group', 'place']
['world', 'fact', 'system', 'house', 'place']
['year', 'house', 'government', 'party', 'school']
['way', 'day', 'man', 'work', 'world']
['company', 'government', 'life', 'group', 'part']
['school', 'house', 'end', 'system', 'day']
['information', 'fact', 'place', 'life', 'party']
['information', 'year', 'place', 'end', 'day']
['information', 'place', 'government', 'man', 'house']
['party', 'fact', 'world', 'course', 'company']
['company', 'life', 'fact', 'case', 'way']
['school', 'group', 'place', 'course', 'end']
['school', 'end', 'government', 'life', 'house']
