['life', 'group', 'year', 'case', 'work', 'man', 'school', 'day']
['year', 'company', 'way', 'work', 'system', 'house', 'information', 'government']
['work', 'life', 'day', 'man', 'world', 'course', 'place', 'party']
['information', 'way', 'world', 'place', 'part', 'course', 'end', 'company']
['life', 'world', 'course', 'case', 'way', 'group', 'company', 'work']
['school', 'end', 'case', 'information', 'party', 'government', 'house', 'course']
['work', 'fact', 'system', 'group', 'end', 'year', 'part', 'school']
['system', 'group', 'information', 'way', 'course', 'work', 'world', 'fact']
['system', 'world', 'year', 'work', 'case', 'way', 'group', 'place']
['information', 'world', 'fact', 'way', 'government', 'end', 'part', 'system']
['day', 'man', 'end', 'world', 'work', 'group', 'year', 'school']
['group', 'information', 'school', 'work', 'life', 'fact', 'case', 'man']
['case', 'party', 'system', 'course', 'way', 'fact', 'life', 'world']
['life', 'house', 'end', 'part', 'party', 'company', 'world', 'fact']
['course', 'information', 'government', 'work', 'year', 'group', 'system', 'case']
['man', 'government', 'part', 'course', 'company', 'house', 'life', 'day']
['work', 'system', 'case', 'course', 'year', 'way', 'information', 'day']
['course', 'way', 'world', 'year', 'day', 'information', 'school', 'part']
['group', 'system', 'day', 'man', 'information', 'year', 'party', 'government']
['system', 'day', 'fact', 'way', 'work', 'world', 'school', 'information']
['work', 'government', 'company', 'world', 'party', 'system', 'course', 'part']
['way', 'company', 'part', 'party', 'man', 'house', 'fact', 'system']
['house', 'party', 'work', 'company', 'group', 'part', 'course', 'world']
['world', 'group', 'information', 'house', 'government', 'life', 'work', 'company']
['place', 'government', 'house', 'course', 'part', 'information', 'fact', 'group']
['way', 'part', 'day', 'place', 'school', 'course', 'company', 'work']
['company', 'fact', 'end', 'life', 'group', 'world', 'way', 'school']
['work', 'school', 'way', 'house', 'case', 'man', 'life', 'fact']
['case', 'group', 'house', 'man', 'world', 'place', 'year', 'system']
['place', 'life', 'man', 'year', 'group', 'part', 'system', 'house']
['fact', 'life', 'party', 'case', 'group', 'year', 'part', 'course']
['day', 'school', 'year', 'case', 'group', 'system', 'man', 'information']
['information', 'fact', 'group', 'end', 'life', 'way', 'course', 'part']
['year', 'life', 'party', 'system', 'company', 'part', 'government', 'house']
['year', 'company', 'group', 'fact', 'day', 'place', 'information', 'work']
['house', 'school', 'world', 'course', 'group', 'year', 'life', 'case']
['course', 'part', 'group', 'way', 'case', 'work', 'school', 'end']
['work', 'world', 'part', 'party', 'place', 'day', 'case', 'year']
['place', 'work', 'day', 'party', 'company', 'group', 'information', 'house']
['world', 'life', 'way', 'work', 'party', 'school', 'system', 'man']
['man', 'year', 'life', 'party', 'house', 'case', 'end', 'place']
['school', 'course', 'place', 'part', 'man', 'party', 'end', 'world']
['place', 'course', 'case', 'way', 'school', 'part', 'man', 'end']
['end', 'world', 'work', 'life', 'place', 'year', 'party', 'government']
['part', 'world', 'way', 'fact', 'government', 'company', 'case', 'day']
['information', 'group', 'fact', 'man', 'place', 'house', 'way', 'government']
['end', 'day', 'fact', 'house', 'year', 'work', 'course', 'company']
['life', 'place', 'company', 'information', 'course', 'world', 'house', 'way']
['part', 'world', 'government', 'work', 'end', 'course', 'group', 'case']
['information', 'school', 'year', 'group', 'end', 'party', 'part', 'company']
['part', 'life', 'company', 'information', 'school', 'way', 'case', 'house']
