['way', 'place', 'part', 'fact', 'information', 'man', 'end', 'school']
['case', 'course', 'part', 'life', 'end', 'company', 'party', 'place']
['party', 'year', 'house', 'way', 'world', 'place', 'man', 'end']
['case', 'school', 'way', 'group', 'life', 'house', 'work', 'part']
['place', 'course', 'fact', 'man', 'information', 'end', 'year', 'school']
['course', 'work', 'company', 'group', 'day', 'government', 'man', 'party']
['work', 'house', 'place', 'group', 'information', 'system', 'government', 'part']
['way', 'house', 'school', 'world', 'end', 'course', 'system', 'day']
['company', 'year', 'information', 'school', 'group', 'end', 'work', 'course']
['world', 'party', 'system', 'part', 'man', 'course', 'company', 'end']
['course', 'case', 'end', 'work', 'life', 'company', 'group', 'part']
['case', 'work', 'party', 'way', 'place', 'information', 'life', 'course']
['part', 'party', 'system', 'life', 'world', 'place', 'work', 'day']
['day', 'fact', 'way', 'work', 'system', 'party', 'place', 'life']
['work', 'man', 'company', 'end', 'information', 'course', 'day', 'life']
['information', 'end', 'government', 'part', 'life', 'world', 'work', 'year']
['part', 'way', 'world', 'fact', 'life', 'government', 'information', 'company']
['group', 'school', 'life', 'year', 'party', 'information', 'government', 'company']
['group', 'life', 'fact', 'man', 'work', 'school', 'year', 'company']
['day', 'school', 'system', 'government', 'group', 'way', 'year', 'world']
['company', 'end', 'man', 'system', 'place', 'government', 'work', 'year']
['information', 'day', 'man', 'part', 'work', 'school', 'year', 'fact']
['school', 'company', 'part', 'case', 'course', 'place', 'house', 'fact']
['man', 'party', 'government', 'course', 'company', 'school', 'place', 'system']
['course', 'end', 'world', 'year', 'life', 'house', 'group', 'information']
['information', 'government', 'course', 'day', 'school', 'party', 'way', 'group']
['work', 'part', 'course', 'year', 'world', 'way', 'group', 'school']
['year', 'man', 'house', 'work', 'company', 'place', 'way', 'fact']
['course', 'man', 'end', 'government', 'place', 'house', 'company', 'way']
['way', 'system', 'group', 'end', 'year', 'work', 'fact', 'place']
['system', 'company', 'life', 'work', 'case', 'course', 'government', 'part']
['party', 'day', 'man', 'government', 'information', 'way', 'company', 'fact']
['work', 'year', 'system', 'company', 'house', 'life', 'way', 'end']
['party', 'place', 'work', 'government', 'case', 'fact', 'house', 'course']
['course', 'end', 'school', 'fact', 'part', 'year', 'party', 'work']
['part', 'day', 'end', 'fact', 'party', 'course', 'group', 'life']
['case', 'way', 'course', 'company', 'system', 'day', 'place', 'man']
['information', 'way', 'party', 'place', 'company', 'case', 'group', 'year']
['company', 'day', 'case', 'world', 'way', 'life', 'end', 'school']
['end', 'fact', 'place', 'company', 'year', 'day', 'world', 'case']
['part', 'year', 'fact', 'house', 'company', 'place', 'man', 'course']
['system', 'life', 'group', 'government', 'way', 'case', 'course', 'world']
['place', 'system', 'man', 'fact', 'case', 'party', 'day', 'school']
['man', 'information', 'company', 'place', 'course', 'year', 'house', 'system']
['world', 'part', 'man', 'course', 'place', 'way', 'end', 'school']
['system', 'year', 'party', 'place', 'company', 'school', 'man', 'work']
['place', 'day', 'way', 'man', 'end', 'course', 'world', 'life']
['party', 'place', 'course', 'part', 'house', 'case', 'group', 'life']
['school', 'work', 'house', 'company', 'day', 'way', 'information', 'place']
['system', 'man', 'company', 'year', 'world', 'party', 'work', 'group']
['information', 'way', 'work', 'part', 'school', 'world', 'man', 'party']
['school', 'course', 'day', 'work', 'information', 'system', 'group', 'man']
['information', 'part', 'fact', 'day', 'party', 'end', 'school', 'life']
['world', 'course', 'work', 'day', 'company', 'school', 'government', 'way']
['group', 'man', 'course', 'system', 'day', 'place', 'information', 'life']
['work', 'year', 'place', 'way', 'end', 'man', 'house', 'fact']
['case', 'fact', 'system', 'day', 'work', 'group', 'end', 'government']
['company', 'man', 'school', 'information', 'system', 'case', 'part', 'fact']
['world', 'life', 'work', 'system', 'way', 'school', 'place', 'government']
['information', 'system', 'man', 'year', 'part', 'end', 'place', 'course']
['day', 'information', 'man', 'party', 'part', 'group', 'work', 'way']
['case', 'place', 'system', 'information', 'year', 'government', 'way', 'house']
['party', 'school', 'fact', 'company', 'system', 'world', 'way', 'house']
['fact', 'case', 'information', 'part', 'work', 'year', 'life', 'place']
['party', 'government', 'school', 'system', 'case', 'man', 'house', 'day']
['part', 'party', 'year', 'man', 'life', 'company', 'place', 'information']
['way', 'information', 'day', 'fact', 'man', 'house', 'part', 'work']
['information', 'part', 'case', 'world', 'house', 'place', 'work', 'man']
['information', 'school', 'day', 'way', 'group', 'company', 'life', 'case']
['case', 'company', 'house', 'course', 'party', 'life', 'government', 'part']
['end', 'part', 'year', 'place', 'day', 'world', 'way', 'course']
['case', 'end', 'world', 'information', 'school', 'year', 'course', 'house']
['group', 'place', 'government', 'day', 'system', 'party', 'way', 'life']
['school', 'part', 'end', 'fact', 'place', 'information', 'man', 'group']
['company', 'end', 'work', 'life', 'course', 'place', 'fact', 'party']
['part', 'government', 'work', 'place', 'group', 'information', 'man', 'house']
['part', 'government', 'house', 'work', 'party', 'world', 'system', 'school']
['house', 'world', 'system', 'information', 'life', 'year', 'part', 'end']
['year', 'man', 'end', 'place', 'way', 'work', 'school', 'house']
['company', 'system', 'work', 'day', 'world', 'information', 'house', 'year']
['work', 'man', 'government', 'company', 'fact', 'house', 'information', 'part']
['fact', 'man', 'group', 'information', 'school', 'company', 'government', 'place']
['company', 'end', 'part', 'day', 'house', 'way', 'party', 'place']
['work', 'party', 'school', 'life', 'way', 'part', 'government', 'case']
['man', 'place', 'group', 'day', 'system', 'company', 'government', 'house']
['fact', 'life', 'way', 'world', 'day', 'group', 'place', 'company']
['end', 'part', 'school', 'year', 'day', 'way', 'fact', 'house']
['man', 'company', 'system', 'group', 'end', 'course', 'school', 'case']
['end', 'world', 'fact', 'year', 'company', 'party', 'course', 'man']
['year', 'party', 'part', 'man', 'group', 'work', 'course', 'end']
['day', 'company', 'life', 'work', 'fact', 'school', 'party', 'man']
['party', 'work', 'information', 'government', 'group', 'man', 'system', 'course']
['system', 'fact', 'government', 'life', 'work', 'school', 'part', 'way']
