['place', 'fact', 'year', 'government', 'course', 'school', 'party', 'information']
['world', 'man', 'case', 'course', 'group', 'party', 'company', 'information']
['course', 'school', 'company', 'house', 'case', 'world', 'group', 'way']
['life', 'part', 'place', 'world', 'party', 'government', 'course', 'group']
['year', 'information', 'day', 'work', 'end', 'man', 'company', 'place']
['group', 'life', 'course', 'system', 'case', 'end', 'part', 'school']
['course', 'world', 'house', 'part', 'place', 'case', 'day', 'man']
['way', 'year', 'case', 'work', 'world', 'house', 'party', 'government']
['way', 'work', 'part', 'case', 'place', 'end', 'party', 'fact']
['government', 'way', 'party', 'place', 'system', 'information', 'world', 'life']
['life', 'way', 'school', 'case', 'place', 'work', 'day', 'fact']
['party', 'place', 'course', 'man', 'year', 'end', 'company', 'fact']
['part', 'work', 'information', 'party', 'company', 'world', 'government', 'school']
['man', 'way', 'information', 'day', 'year', 'party', 'course', 'group']
['group', 'part', 'case', 'work', 'school', 'party', 'fact', 'information']
['place', 'information', 'course', 'government', 'year', 'case', 'fact', 'life']
['man', 'place', 'company', 'case', 'system', 'world', 'house', 'year']
['government', 'place', 'company', 'end', 'year', 'way', 'day', 'system']
['company', 'work', 'case', 'information', 'life', 'year', 'world', 'way']
['day', 'world', 'work', 'way', 'year', 'part', 'system', 'company']
['information', 'way', 'system', 'case', 'course', 'school', 'year', 'day']
['day', 'life', 'information', 'place', 'work', 'school', 'group', 'way']
['government', 'place', 'house', 'way', 'life', 'information', 'school', 'year']
['company', 'world', 'day', 'course', 'place', 'house', 'fact', 'work']
['company', 'course', 'world', 'information', 'group', 'year', 'part', 'school']
['man', 'information', 'year', 'party', 'government', 'end', 'fact', 'course']
['school', 'course', 'world', 'year', 'party', 'house', 'group', 'life']
['way', 'end', 'government', 'house', 'place', 'work', 'part', 'man']
['case', 'party', 'life', 'course', 'system', 'end', 'information', 'government']
['way', 'information', 'end', 'man', 'fact', 'group', 'work', 'year']
['case', 'year', 'information', 'world', 'house', 'party', 'end', 'day']
['world', 'group', 'course', 'part', 'house', 'way', 'system', 'year']
['school', 'house', 'life', 'system', 'party', 'case', 'day', 'man']
['world', 'man', 'fact', 'year', 'party', 'house', 'government', 'work']
['man', 'school', 'life', 'group', 'fact', 'part', 'party', 'place']
['world', 'party', 'work', 'day', 'case', 'house', 'course', 'school']
['way', 'work', 'group', 'part', 'world', 'course', 'government', 'place']
['life', 'work', 'group', 'case', 'part', 'government', 'company', 'day']
['day', 'man', 'part', 'case', 'course', 'company', 'year', 'place']
['system', 'end', 'house', 'information', 'place', 'fact', 'part', 'way']
['part', 'system', 'world', 'group', 'government', 'school', 'year', 'fact']
['school', 'place', 'fact', 'part', 'life', 'year', 'day', 'government']
['way', 'group', 'life', 'party', 'system', 'work', 'case', 'end']
['course', 'man', 'life', 'end', 'school', 'company', 'information', 'way']
['group', 'school', 'company', 'place', 'house', 'life', 'year', 'day']
['man', 'government', 'end', 'company', 'day', 'group', 'work', 'part']
['life', 'part', 'government', 'world', 'man', 'day', 'course', 'information']
['day', 'information', 'company', 'party', 'world', 'year', 'house', 'school']
['house', 'party', 'group', 'world', 'end', 'company', 'part', 'year']
['course', 'system', 'house', 'school', 'company', 'work', 'year', 'information']
['school', 'end', 'place', 'life', 'work', 'party', 'information', 'company']
['information', 'work', 'man', 'group', 'fact', 'way', 'end', 'life']
['system', 'case', 'group', 'man', 'way', 'world', 'part', 'course']
['place', 'life', 'man', 'day', 'fact', 'end', 'government', 'company']
['house', 'government', 'company', 'work', 'school', 'course', 'information', 'year']
['case', 'group', 'way', 'man', 'course', 'work', 'life', 'place']
['fact', 'way', 'part', 'information', 'government', 'year', 'end', 'system']
['way', 'fact', 'work', 'house', 'school', 'company', 'man', 'group']
['part', 'work', 'end', 'life', 'government', 'day', 'way', 'house']
['place', 'part', 'case', 'work', 'course', 'year', 'system', 'end']
