['man', 'house', 'world']
['government', 'world', 'house']
['school', 'life', 'system']
['way', 'day', 'place']
['way', 'information', 'year']
['house', 'year', 'government']
['fact', 'case', 'man']
['company', 'year', 'course']
['information', 'group', 'course']
['fact', 'group', 'party']
['group', 'company', 'place']
['course', 'day', 'part']
['year', 'information', 'way']
['information', 'life', 'way']
['house', 'information', 'year']
['man', 'information', 'group']
['life', 'world', 'part']
['work', 'part', 'life']
['day', 'fact', 'man']
['end', 'information', 'life']
['case', 'part', 'system']
['part', 'house', 'end']
['work', 'school', 'government']
['part', 'system', 'world']
['part', 'place', 'school']
['world', 'life', 'information']
['end', 'part', 'system']
['house', 'course', 'life']
['life', 'house', 'case']
['year', 'party', 'day']
['system', 'end', 'party']
['day', 'year', 'company']
['system', 'part', 'group']
['group', 'government', 'way']
['course', 'year', 'part']
['party', 'end', 'course']
['party', 'world', 'way']
['work', 'fact', 'day']
['day', 'way', 'group']
['government', 'end', 'place']
['case', 'way', 'house']
['way', 'system', 'end']
['man', 'government', 'part']
['man', 'course', 'end']
['life', 'end', 'day']
['life', 'world', 'government']
['company', 'work', 'school']
['end', 'way', 'course']
['man', 'house', 'information']
['party', 'day', 'school']
['fact', 'course', 'party']
['course', 'year', 'group']
['course', 'end', 'way']
['system', 'world', 'house']
['world', 'life', 'school']
['year', 'work', 'fact']
['work', 'group', 'case']
['government', 'way', 'school']
['house', 'way', 'information']
['day', 'school', 'group']
['year', 'government', 'house']
['way', 'year', 'party']
['place', 'year', 'life']
['day', 'way', 'school']
['place', 'house', 'government']
['world', 'information', 'course']
['case', 'system', 'school']
['group', 'life', 'government']
['way', 'day', 'end']
['government', 'fact', 'place']
['information', 'system', 'work']
['day', 'system', 'information']
['house', 'case', 'information']
['house', 'system', 'man']
['man', 'place', 'way']
['group', 'information', 'part']
['life', 'man', 'house']
['fact', 'life', 'government']
['part', 'information', 'system']
['case', 'course', 'world']
['system', 'information', 'house']
['day', 'year', 'fact']
['party', 'course', 'fact']
['information', 'house', 'system']
['year', 'house', 'day']
['work', 'party', 'man']
['information', 'world', 'work']
['government', 'house', 'end']
['work', 'man', 'year']
['part', 'day', 'group']
['life', 'way', 'course']
['group', 'case', 'world']
['end', 'house', 'fact']
['place', 'man', 'end']
['house', 'work', 'company']
['work', 'school', 'year']
['place', 'life', 'man']
['fact', 'way', 'world']
['world', 'end', 'day']
['place', 'government', 'end']
