['government', 'fact', 'information']
['world', 'house', 'day']
['house', 'place', 'case']
['end', 'man', 'world']
['course', 'day', 'place']
['end', 'information', 'day']
['information', 'group', 'work']
['school', 'world', 'day']
['group', 'way', 'government']
['group', 'life', 'end']
['work', 'school', 'course']
['information', 'group', 'fact']
['case', 'day', 'course']
['company', 'house', 'part']
['case', 'place', 'group']
['school', 'work', 'government']
['man', 'party', 'information']
['group', 'world', 'school']
['group', 'work', 'case']
['information', 'place', 'work']
['world', 'end', 'system']
['work', 'group', 'way']
['group', 'information', 'house']
['way', 'school', 'house']
['work', 'man', 'school']
['fact', 'course', 'place']
['end', 'information', 'fact']
['school', 'company', 'man']
['place', 'way', 'school']
['end', 'work', 'party']
['place', 'school', 'end']
['party', 'case', 'year']
['fact', 'house', 'work']
['end', 'life', 'year']
['world', 'government', 'group']
['work', 'day', 'way']
['house', 'work', 'school']
['work', 'life', 'fact']
['part', 'party', 'work']
['school', 'man', 'place']
['year', 'information', 'school']
['way', 'life', 'information']
['world', 'system', 'house']
['day', 'house', 'group']
['year', 'course', 'place']
['day', 'party', 'course']
['end', 'system', 'day']
['government', 'company', 'way']
['world', 'year', 'course']
['end', 'part', 'information']
['case', 'house', 'end']
['house', 'information', 'man']
['group', 'school', 'case']
['man', 'life', 'course']
['school', 'government', 'system']
['house', 'information', 'group']
['company', 'house', 'government']
['man', 'way', 'system']
['house', 'way', 'course']
['life', 'company', 'work']
['government', 'year', 'part']
['man', 'course', 'day']
['government', 'day', 'case']
['part', 'man', 'day']
['life', 'man', 'school']
['company', 'party', 'school']
['information', 'party', 'place']
['system', 'day', 'fact']
['year', 'company', 'man']
['life', 'school', 'group']
['man', 'school', 'day']
['work', 'case', 'way']
['man', 'school', 'year']
['work', 'end', 'case']
['system', 'man', 'party']
['life', 'place', 'house']
['part', 'work', 'place']
['end', 'year', 'company']
['group', 'system', 'place']
['end', 'course', 'company']
['party', 'government', 'part']
['man', 'life', 'fact']
['year', 'house', 'end']
['fact', 'place', 'government']
['case', 'day', 'government']
['place', 'course', 'school']
['man', 'course', 'group']
['case', 'information', 'course']
['school', 'place', 'work']
['house', 'part', 'case']
['way', 'life', 'part']
['fact', 'information', 'government']
['end', 'case', 'year']
['end', 'group', 'school']
['group', 'party', 'fact']
['fact', 'part', 'day']
['party', 'world', 'place']
['world', 'end', 'part']
['government', 'case', 'information']
['end', 'house', 'information']
