['year', 'end', 'school']
['work', 'part', 'group']
['part', 'government', 'company']
['end', 'party', 'place']
['fact', 'company', 'man']
['work', 'system', 'party']
['man', 'work', 'party']
['group', 'information', 'system']
['way', 'system', 'man']
['day', 'company', 'part']
['part', 'end', 'school']
['school', 'end', 'system']
['school', 'part', 'life']
['day', 'information', 'house']
['party', 'fact', 'way']
['case', 'work', 'course']
['end', 'party', 'group']
['case', 'place', 'party']
['group', 'house', 'day']
['year', 'fact', 'life']
['information', 'house', 'case']
['place', 'day', 'case']
['part', 'world', 'house']
['company', 'system', 'school']
['company', 'part', 'house']
['course', 'group', 'way']
['company', 'fact', 'case']
['course', 'house', 'world']
['case', 'place', 'group']
['part', 'work', 'government']
['year', 'day', 'party']
['government', 'group', 'course']
['life', 'day', 'course']
['world', 'case', 'group']
['case', 'life', 'house']
['case', 'information', 'school']
['government', 'world', 'case']
['course', 'group', 'work']
['party', 'school', 'work']
['fact', 'end', 'company']
['information', 'day', 'school']
['party', 'group', 'place']
['man', 'work', 'world']
['party', 'course', 'system']
['day', 'system', 'life']
['way', 'part', 'world']
['world', 'year', 'system']
['work', 'fact', 'system']
['part', 'end', 'year']
['man', 'life', 'fact']
['school', 'day', 'course']
['company', 'place', 'case']
['way', 'year', 'end']
['man', 'fact', 'year']
['school', 'part', 'year']
['end', 'case', 'man']
['man', 'life', 'party']
['world', 'year', 'work']
['work', 'man', 'way']
['information', 'place', 'life']
['part', 'course', 'way']
['work', 'company', 'case']
['course', 'end', 'school']
['way', 'party', 'group']
['work', 'year', 'house']
['life', 'company', 'part']
['place', 'system', 'way']
['party', 'course', 'fact']
['day', 'world', 'company']
['house', 'group', 'year']
['company', 'man', 'work']
['company', 'life', 'house']
['case', 'information', 'company']
['man', 'house', 'party']
['company', 'school', 'case']
['group', 'man', 'information']
['place', 'group', 'way']
['year', 'day', 'life']
['day', 'government', 'system']
['place', 'year', 'work']
['house', 'school', 'year']
['year', 'government', 'man']
['company', 'system', 'day']
['case', 'part', 'system']
['information', 'world', 'end']
['company', 'world', 'group']
['year', 'house', 'way']
['way', 'day', 'fact']
['case', 'company', 'year']
['man', 'course', 'work']
['world', 'life', 'part']
['day', 'company', 'government']
['information', 'work', 'day']
['group', 'course', 'part']
['work', 'group', 'case']
['group', 'fact', 'end']
['system', 'course', 'information']
['government', 'day', 'company']
['world', 'course', 'information']
['part', 'way', 'company']
