['place', 'school', 'work']
['house', 'year', 'course']
['course', 'system', 'day']
['world', 'case', 'man']
['world', 'end', 'part']
['course', 'company', 'school']
['company', 'part', 'man']
['company', 'life', 'part']
['way', 'world', 'fact']
['company', 'year', 'group']
['work', 'group', 'fact']
['course', 'school', 'man']
['house', 'way', 'company']
['life', 'party', 'government']
['party', 'company', 'school']
['fact', 'school', 'information']
['company', 'information', 'system']
['information', 'government', 'day']
['way', 'case', 'company']
['system', 'life', 'course']
['course', 'house', 'case']
['information', 'day', 'work']
['part', 'world', 'government']
['way', 'day', 'house']
['year', 'company', 'government']
['government', 'work', 'party']
['end', 'case', 'day']
['end', 'year', 'fact']
['work', 'year', 'house']
['day', 'company', 'system']
['fact', 'case', 'company']
['course', 'world', 'group']
['house', 'life', 'group']
['party', 'system', 'place']
['case', 'man', 'end']
['house', 'place', 'party']
['part', 'year', 'case']
['day', 'man', 'government']
['end', 'way', 'work']
['place', 'course', 'system']
['world', 'place', 'year']
['way', 'house', 'part']
['man', 'world', 'way']
['end', 'fact', 'case']
['government', 'work', 'fact']
['way', 'house', 'fact']
['group', 'party', 'system']
['party', 'man', 'place']
['course', 'fact', 'year']
['system', 'group', 'school']
['information', 'system', 'company']
['world', 'course', 'case']
['world', 'part', 'information']
['company', 'way', 'system']
['case', 'way', 'part']
['school', 'way', 'system']
['day', 'system', 'school']
['end', 'fact', 'group']
['case', 'place', 'house']
['way', 'group', 'house']
['life', 'system', 'part']
['government', 'way', 'course']
['company', 'government', 'case']
['party', 'man', 'course']
['system', 'group', 'government']
['way', 'place', 'year']
['year', 'course', 'man']
['system', 'work', 'house']
['end', 'party', 'company']
['life', 'system', 'school']
['man', 'fact', 'place']
['case', 'information', 'work']
['group', 'world', 'year']
['year', 'work', 'house']
['school', 'world', 'life']
['system', 'year', 'information']
['school', 'information', 'case']
['place', 'man', 'year']
['end', 'year', 'school']
['way', 'case', 'end']
['case', 'course', 'school']
['part', 'party', 'information']
['party', 'case', 'day']
['day', 'system', 'house']
['government', 'course', 'end']
['information', 'day', 'work']
['school', 'work', 'company']
['group', 'fact', 'part']
['company', 'work', 'way']
['work', 'end', 'house']
['system', 'company', 'case']
['course', 'information', 'way']
['group', 'company', 'place']
['government', 'world', 'company']
['part', 'group', 'government']
['company', 'group', 'world']
['part', 'course', 'way']
['group', 'case', 'world']
['place', 'fact', 'group']
['place', 'man', 'house']
