['party', 'year', 'company']
['life', 'information', 'world']
['way', 'information', 'house']
['part', 'case', 'fact']
['end', 'place', 'case']
['fact', 'party', 'part']
['group', 'system', 'company']
['company', 'system', 'part']
['course', 'group', 'work']
['man', 'place', 'year']
['life', 'company', 'day']
['man', 'world', 'day']
['system', 'house', 'world']
['party', 'life', 'house']
['house', 'end', 'life']
['way', 'world', 'year']
['government', 'company', 'life']
['house', 'case', 'company']
['system', 'government', 'fact']
['party', 'government', 'day']
['way', 'information', 'work']
['world', 'day', 'system']
['system', 'part', 'life']
['life', 'year', 'part']
['company', 'world', 'man']
['year', 'house', 'day']
['end', 'life', 'year']
['company', 'part', 'house']
['school', 'part', 'world']
['government', 'day', 'part']
['house', 'party', 'course']
['party', 'case', 'man']
['end', 'case', 'course']
['fact', 'way', 'system']
['course', 'house', 'end']
['information', 'part', 'life']
['party', 'day', 'house']
['school', 'part', 'work']
['end', 'party', 'part']
['work', 'case', 'course']
['day', 'year', 'course']
['course', 'party', 'information']
['school', 'case', 'party']
['case', 'party', 'place']
['government', 'house', 'day']
['man', 'house', 'work']
['place', 'world', 'party']
['course', 'part', 'world']
['house', 'information', 'case']
['party', 'end', 'case']
['place', 'house', 'group']
['house', 'system', 'day']
['school', 'government', 'year']
['part', 'year', 'government']
['information', 'place', 'course']
['system', 'place', 'party']
['school', 'life', 'place']
['part', 'party', 'end']
['end', 'house', 'school']
['life', 'system', 'case']
['school', 'group', 'system']
['fact', 'course', 'group']
['man', 'way', 'information']
['house', 'man', 'place']
['place', 'case', 'school']
['system', 'world', 'party']
['year', 'case', 'group']
['part', 'end', 'system']
['day', 'case', 'course']
['course', 'part', 'group']
['world', 'place', 'party']
['part', 'school', 'work']
['group', 'day', 'part']
['group', 'man', 'end']
['day', 'school', 'course']
['year', 'work', 'course']
['day', 'man', 'fact']
['fact', 'way', 'day']
['end', 'government', 'way']
['man', 'part', 'information']
['government', 'day', 'place']
['information', 'school', 'day']
['day', 'fact', 'school']
['day', 'place', 'part']
['man', 'way', 'system']
['day', 'year', 'company']
['house', 'life', 'end']
['company', 'government', 'part']
['world', 'work', 'group']
['work', 'information', 'world']
['company', 'house', 'part']
['place', 'world', 'day']
['man', 'school', 'party']
['course', 'information', 'house']
['government', 'part', 'day']
['end', 'work', 'school']
['fact', 'system', 'case']
['course', 'party', 'way']
['man', 'school', 'end']
['life', 'house', 'day']
