['year', 'company', 'government', 'information', 'group']
['case', 'place', 'man', 'work', 'day']
['place', 'part', 'information', 'school', 'day']
['school', 'system', 'information', 'course', 'end']
['part', 'government', 'year', 'group', 'work']
['day', 'end', 'company', 'school', 'government']
['fact', 'company', 'life', 'day', 'part']
['life', 'case', 'part', 'place', 'group']
['life', 'case', 'work', 'place', 'world']
['course', 'school', 'man', 'case', 'year']
['government', 'house', 'group', 'system', 'year']
['information', 'end', 'part', 'work', 'way']
['day', 'information', 'end', 'school', 'man']
['life', 'way', 'year', 'place', 'government']
['work', 'system', 'part', 'way', 'man']
['house', 'year', 'fact', 'man', 'day']
['company', 'government', 'information', 'world', 'course']
['world', 'group', 'company', 'government', 'case']
['part', 'year', 'case', 'man', 'end']
['case', 'part', 'information', 'group', 'place']
['government', 'end', 'man', 'school', 'party']
['end', 'case', 'way', 'group', 'place']
['life', 'group', 'work', 'company', 'part']
['day', 'school', 'case', 'government', 'course']
['case', 'party', 'school', 'life', 'man']
['day', 'system', 'man', 'part', 'company']
['group', 'course', 'end', 'man', 'government']
['fact', 'world', 'system', 'place', 'house']
['way', 'company', 'house', 'group', 'government']
['place', 'day', 'way', 'party', 'case']
['school', 'information', 'work', 'case', 'party']
['information', 'system', 'work', 'man', 'party']
['case', 'party', 'company', 'place', 'house']
['system', 'day', 'house', 'fact', 'school']
['case', 'part', 'year', 'company', 'system']
['system', 'life', 'day', 'fact', 'information']
['government', 'information', 'way', 'man', 'system']
['information', 'system', 'group', 'world', 'company']
['end', 'part', 'government', 'course', 'life']
['end', 'work', 'fact', 'place', 'man']
['day', 'company', 'way', 'course', 'world']
['place', 'party', 'group', 'way', 'system']
['work', 'man', 'year', 'party', 'place']
['place', 'world', 'man', 'house', 'fact']
['system', 'world', 'part', 'case', 'way']
['part', 'case', 'company', 'man', 'government']
['life', 'system', 'information', 'fact', 'place']
['place', 'work', 'house', 'world', 'government']
['work', 'man', 'school', 'system', 'life']
['work', 'system', 'party', 'day', 'government']
['company', 'end', 'case', 'system', 'year']
['system', 'case', 'day', 'fact', 'school']
['part', 'house', 'course', 'system', 'place']
['course', 'way', 'end', 'fact', 'life']
['life', 'day', 'part', 'government', 'system']
['year', 'group', 'day', 'end', 'school']
['group', 'year', 'course', 'company', 'work']
['end', 'part', 'life', 'world', 'place']
['company', 'house', 'day', 'system', 'part']
['work', 'man', 'life', 'government', 'fact']
['work', 'system', 'house', 'government', 'case']
['day', 'course', 'way', 'information', 'company']
['party', 'course', 'way', 'place', 'school']
['course', 'man', 'government', 'place', 'party']
['day', 'information', 'course', 'life', 'end']
['place', 'work', 'house', 'case', 'fact']
['case', 'year', 'group', 'information', 'house']
['place', 'group', 'information', 'world', 'party']
['company', 'fact', 'world', 'house', 'place']
['school', 'day', 'end', 'place', 'information']
['group', 'day', 'system', 'case', 'life']
['way', 'man', 'year', 'life', 'school']
['system', 'part', 'fact', 'work', 'end']
['course', 'information', 'fact', 'case', 'group']
['year', 'case', 'information', 'man', 'place']
['part', 'information', 'house', 'group', 'company']
['information', 'school', 'part', 'year', 'house']
['government', 'course', 'case', 'information', 'house']
['case', 'place', 'world', 'government', 'party']
['part', 'group', 'government', 'system', 'life']
['life', 'year', 'part', 'company', 'man']
['place', 'group', 'government', 'course', 'school']
['school', 'information', 'life', 'system', 'government']
['year', 'fact', 'part', 'case', 'place']
['course', 'man', 'year', 'way', 'end']
['life', 'group', 'information', 'fact', 'part']
['house', 'case', 'company', 'life', 'school']
['world', 'man', 'school', 'work', 'system']
['world', 'year', 'government', 'way', 'work']
['day', 'year', 'life', 'part', 'way']
['way', 'place', 'information', 'world', 'group']
['case', 'way', 'information', 'school', 'group']
['part', 'group', 'life', 'year', 'way']
['case', 'course', 'house', 'year', 'school']
['world', 'way', 'part', 'course', 'group']
['school', 'case', 'system', 'group', 'party']
['man', 'company', 'group', 'part', 'day']
['year', 'end', 'house', 'system', 'world']
