['part', 'government', 'school', 'party', 'information']
['school', 'year', 'life', 'information', 'man']
['system', 'party', 'day', 'company', 'place']
['company', 'end', 'information', 'part', 'party']
['life', 'man', 'party', 'company', 'house']
['group', 'case', 'day', 'government', 'fact']
['fact', 'life', 'end', 'group', 'part']
['course', 'school', 'group', 'fact', 'year']
['way', 'course', 'day', 'work', 'information']
['way', 'day', 'system', 'information', 'school']
['system', 'house', 'man', 'way', 'case']
['work', 'system', 'house', 'place', 'company']
['end', 'information', 'year', 'day', 'school']
['information', 'course', 'end', 'year', 'part']
['course', 'place', 'information', 'end', 'group']
['fact', 'work', 'system', 'party', 'end']
['man', 'company', 'information', 'part', 'day']
['end', 'party', 'way', 'place', 'government']
['place', 'part', 'group', 'man', 'course']
['fact', 'group', 'house', 'course', 'case']
['group', 'year', 'house', 'system', 'way']
['life', 'school', 'year', 'fact', 'world']
['case', 'school', 'company', 'way', 'information']
['group', 'way', 'man', 'fact', 'information']
['man', 'year', 'information', 'fact', 'life']
['company', 'government', 'fact', 'information', 'group']
['house', 'way', 'party', 'end', 'school']
['part', 'world', 'case', 'life', 'government']
['life', 'party', 'year', 'part', 'day']
['system', 'life', 'group', 'information', 'world']
['world', 'man', 'place', 'information', 'school']
['day', 'end', 'part', 'school', 'place']
['information', 'case', 'place', 'course', 'group']
['man', 'company', 'end', 'government', 'system']
['house', 'work', 'way', 'party', 'school']
['part', 'government', 'way', 'school', 'company']
['company', 'man', 'way', 'year', 'system']
['year', 'world', 'end', 'company', 'school']
['world', 'place', 'government', 'course', 'year']
['company', 'system', 'work', 'school', 'day']
['information', 'part', 'place', 'system', 'world']
['end', 'government', 'company', 'world', 'man']
['party', 'life', 'world', 'information', 'place']
['group', 'year', 'way', 'information', 'party']
['life', 'way', 'fact', 'place', 'end']
['fact', 'end', 'course', 'school', 'life']
['company', 'house', 'way', 'man', 'school']
['work', 'course', 'government', 'place', 'school']
['day', 'information', 'party', 'way', 'end']
['man', 'day', 'fact', 'year', 'system']
['world', 'school', 'house', 'company', 'party']
['part', 'company', 'fact', 'life', 'place']
['day', 'work', 'government', 'way', 'school']
['man', 'group', 'house', 'day', 'case']
['company', 'part', 'party', 'year', 'house']
['end', 'day', 'information', 'case', 'group']
['end', 'group', 'part', 'course', 'work']
['end', 'world', 'system', 'course', 'government']
['government', 'course', 'year', 'fact', 'place']
['place', 'school', 'day', 'man', 'house']
['end', 'fact', 'information', 'government', 'case']
['life', 'place', 'year', 'case', 'work']
['fact', 'government', 'year', 'part', 'world']
['work', 'information', 'company', 'day', 'house']
['government', 'life', 'man', 'fact', 'year']
['work', 'part', 'year', 'information', 'house']
['house', 'world', 'work', 'life', 'day']
['world', 'end', 'way', 'year', 'house']
['course', 'school', 'part', 'year', 'work']
['course', 'day', 'life', 'fact', 'world']
['system', 'year', 'part', 'life', 'school']
['system', 'house', 'course', 'company', 'case']
['work', 'part', 'system', 'information', 'group']
['world', 'party', 'work', 'year', 'house']
['school', 'group', 'life', 'case', 'man']
['world', 'course', 'day', 'year', 'government']
['information', 'course', 'life', 'government', 'company']
['case', 'world', 'system', 'life', 'day']
['world', 'system', 'information', 'company', 'year']
['fact', 'world', 'course', 'place', 'year']
['company', 'work', 'way', 'system', 'group']
['information', 'life', 'government', 'end', 'way']
['world', 'company', 'information', 'day', 'fact']
['world', 'part', 'year', 'company', 'group']
['house', 'fact', 'work', 'life', 'government']
['school', 'case', 'information', 'part', 'way']
['part', 'company', 'life', 'group', 'fact']
['world', 'man', 'life', 'course', 'company']
['end', 'course', 'house', 'world', 'company']
['man', 'course', 'fact', 'day', 'information']
['place', 'way', 'end', 'party', 'part']
['system', 'world', 'company', 'information', 'day']
['party', 'part', 'case', 'school', 'year']
['way', 'year', 'place', 'fact', 'part']
['party', 'company', 'world', 'government', 'house']
['fact', 'government', 'course', 'day', 'work']
['part', 'company', 'life', 'way', 'man']
['life', 'system', 'day', 'way', 'year']
['place', 'school', 'year', 'information', 'end']
['information', 'end', 'world', 'party', 'way']
