['school', 'life', 'place', 'government', 'work']
['place', 'fact', 'part', 'man', 'work']
['government', 'place', 'end', 'work', 'life']
['place', 'part', 'information', 'life', 'case']
['government', 'fact', 'man', 'system', 'place']
['group', 'world', 'life', 'fact', 'government']
['life', 'way', 'world', 'company', 'man']
['fact', 'man', 'information', 'system', 'school']
['house', 'case', 'fact', 'year', 'group']
['way', 'system', 'year', 'man', 'house']
['life', 'group', 'fact', 'case', 'year']
['case', 'school', 'life', 'fact', 'day']
['world', 'part', 'year', 'information', 'party']
['party', 'part', 'course', 'fact', 'world']
['life', 'government', 'way', 'school', 'system']
['information', 'year', 'school', 'fact', 'day']
['course', 'world', 'information', 'party', 'group']
['case', 'man', 'end', 'year', 'house']
['place', 'course', 'way', 'house', 'year']
['government', 'end', 'group', 'year', 'world']
['man', 'part', 'end', 'place', 'company']
['group', 'part', 'man', 'party', 'place']
['system', 'company', 'place', 'way', 'work']
['day', 'course', 'information', 'life', 'system']
['course', 'end', 'school', 'government', 'year']
['world', 'house', 'government', 'part', 'group']
['work', 'house', 'group', 'case', 'way']
['government', 'year', 'company', 'world', 'house']
['case', 'year', 'life', 'part', 'fact']
['way', 'school', 'life', 'course', 'day']
['man', 'way', 'life', 'system', 'information']
['place', 'year', 'school', 'case', 'work']
['system', 'house', 'part', 'way', 'work']
['company', 'group', 'year', 'house', 'party']
['fact', 'information', 'day', 'work', 'party']
['house', 'system', 'group', 'information', 'world']
['world', 'life', 'fact', 'information', 'case']
['group', 'course', 'year', 'part', 'system']
['party', 'school', 'place', 'company', 'work']
['year', 'fact', 'company', 'man', 'part']
['way', 'system', 'fact', 'company', 'case']
['case', 'system', 'school', 'part', 'way']
['year', 'fact', 'life', 'system', 'way']
['fact', 'company', 'course', 'school', 'information']
['case', 'place', 'work', 'life', 'company']
['year', 'party', 'company', 'fact', 'case']
['school', 'course', 'day', 'fact', 'life']
['house', 'party', 'group', 'system', 'end']
['end', 'party', 'year', 'company', 'school']
['world', 'case', 'way', 'day', 'group']
['work', 'life', 'system', 'course', 'end']
['year', 'fact', 'case', 'man', 'end']
['part', 'system', 'life', 'house', 'fact']
['life', 'course', 'group', 'school', 'government']
['end', 'life', 'man', 'school', 'work']
['government', 'house', 'day', 'life', 'course']
['government', 'case', 'course', 'work', 'company']
['year', 'house', 'course', 'group', 'life']
['work', 'course', 'group', 'life', 'world']
['house', 'year', 'place', 'system', 'work']
['information', 'group', 'place', 'house', 'part']
['information', 'man', 'government', 'end', 'school']
['party', 'course', 'end', 'work', 'company']
['government', 'part', 'work', 'man', 'place']
['fact', 'group', 'work', 'information', 'world']
['party', 'work', 'system', 'year', 'day']
['fact', 'world', 'company', 'part', 'case']
['house', 'end', 'party', 'day', 'world']
['course', 'case', 'company', 'world', 'part']
['year', 'group', 'work', 'government', 'fact']
['end', 'year', 'life', 'school', 'party']
['man', 'government', 'case', 'part', 'day']
['way', 'end', 'place', 'man', 'fact']
['case', 'company', 'year', 'system', 'information']
['fact', 'information', 'school', 'year', 'man']
['school', 'end', 'group', 'way', 'case']
['case', 'year', 'company', 'day', 'school']
['fact', 'life', 'system', 'year', 'house']
['house', 'way', 'system', 'information', 'work']
['company', 'way', 'year', 'school', 'information']
['day', 'world', 'way', 'government', 'information']
['man', 'world', 'day', 'part', 'government']
['information', 'world', 'day', 'course', 'group']
['world', 'company', 'system', 'work', 'school']
['group', 'life', 'house', 'man', 'fact']
['man', 'school', 'part', 'group', 'end']
['fact', 'school', 'house', 'day', 'group']
['year', 'place', 'government', 'group', 'part']
['company', 'day', 'school', 'system', 'party']
['man', 'life', 'party', 'place', 'year']
['party', 'house', 'information', 'world', 'government']
['system', 'information', 'year', 'end', 'day']
['information', 'company', 'end', 'day', 'way']
['government', 'way', 'fact', 'world', 'work']
['case', 'information', 'world', 'course', 'government']
['man', 'government', 'company', 'fact', 'world']
['school', 'part', 'government', 'case', 'way']
['day', 'work', 'world', 'place', 'party']
['place', 'day', 'party', 'company', 'world']
['end', 'information', 'place', 'case', 'man']
