['man', 'end', 'government', 'house', 'way']
['company', 'life', 'system', 'part', 'world']
['fact', 'house', 'day', 'work', 'part']
['end', 'world', 'group', 'system', 'part']
['way', 'school', 'place', 'end', 'life']
['day', 'man', 'information', 'system', 'end']
['case', 'world', 'fact', 'school', 'life']
['system', 'party', 'end', 'house', 'life']
['course', 'place', 'work', 'company', 'year']
['life', 'case', 'party', 'end', 'work']
['case', 'work', 'life', 'party', 'way']
['school', 'case', 'group', 'house', 'end']
['system', 'party', 'school', 'man', 'company']
['work', 'party', 'fact', 'case', 'world']
['fact', 'work', 'system', 'company', 'information']
['world', 'life', 'work', 'government', 'way']
['year', 'company', 'case', 'party', 'school']
['man', 'year', 'place', 'day', 'work']
['life', 'government', 'group', 'man', 'way']
['fact', 'year', 'end', 'world', 'case']
['house', 'day', 'system', 'part', 'government']
['world', 'group', 'course', 'system', 'year']
['way', 'year', 'company', 'end', 'case']
['end', 'life', 'group', 'year', 'world']
['world', 'company', 'man', 'system', 'way']
['course', 'world', 'fact', 'way', 'information']
['man', 'place', 'information', 'government', 'group']
['year', 'world', 'company', 'part', 'government']
['way', 'course', 'end', 'world', 'day']
['man', 'course', 'work', 'world', 'place']
['part', 'course', 'place', 'life', 'information']
['way', 'case', 'house', 'party', 'world']
['course', 'year', 'end', 'company', 'government']
['company', 'day', 'place', 'year', 'part']
['information', 'house', 'end', 'group', 'man']
['life', 'place', 'group', 'school', 'company']
['course', 'world', 'party', 'place', 'group']
['case', 'information', 'year', 'fact', 'end']
['man', 'day', 'information', 'life', 'world']
['house', 'year', 'group', 'place', 'information']
['course', 'house', 'place', 'case', 'work']
['life', 'information', 'year', 'way', 'system']
['government', 'course', 'world', 'way', 'company']
['life', 'government', 'part', 'house', 'fact']
['government', 'school', 'group', 'place', 'way']
['case', 'work', 'party', 'day', 'company']
['fact', 'way', 'work', 'company', 'end']
['work', 'company', 'system', 'man', 'day']
['man', 'group', 'government', 'information', 'party']
['government', 'part', 'work', 'way', 'system']
['part', 'school', 'man', 'world', 'system']
['system', 'party', 'man', 'fact', 'world']
['day', 'government', 'company', 'house', 'course']
['fact', 'part', 'place', 'end', 'man']
['year', 'man', 'school', 'system', 'way']
['case', 'place', 'fact', 'part', 'company']
['group', 'system', 'government', 'school', 'part']
['place', 'world', 'life', 'part', 'day']
['work', 'way', 'house', 'life', 'system']
['life', 'party', 'case', 'part', 'system']
['government', 'life', 'man', 'case', 'school']
['end', 'year', 'man', 'way', 'course']
['course', 'system', 'company', 'way', 'life']
['course', 'life', 'fact', 'man', 'government']
['life', 'group', 'government', 'information', 'party']
['school', 'end', 'life', 'system', 'case']
['company', 'end', 'house', 'year', 'work']
['work', 'company', 'day', 'case', 'party']
['house', 'man', 'system', 'place', 'fact']
['school', 'man', 'case', 'government', 'information']
['house', 'party', 'work', 'case', 'year']
['man', 'information', 'place', 'company', 'school']
['company', 'place', 'school', 'party', 'way']
['place', 'case', 'school', 'day', 'company']
['work', 'way', 'course', 'part', 'company']
['party', 'case', 'place', 'group', 'government']
['group', 'way', 'case', 'fact', 'man']
['information', 'world', 'year', 'party', 'case']
['end', 'group', 'course', 'day', 'work']
['way', 'case', 'party', 'place', 'man']
['work', 'party', 'government', 'part', 'case']
['party', 'house', 'company', 'work', 'world']
['party', 'system', 'fact', 'course', 'day']
['system', 'day', 'world', 'party', 'man']
['year', 'part', 'party', 'course', 'life']
['group', 'case', 'course', 'party', 'fact']
['day', 'government', 'fact', 'system', 'information']
['course', 'year', 'information', 'group', 'world']
['government', 'end', 'year', 'group', 'day']
['party', 'course', 'work', 'end', 'company']
['year', 'fact', 'course', 'group', 'system']
['company', 'fact', 'life', 'part', 'system']
['man', 'information', 'life', 'government', 'place']
['course', 'system', 'information', 'place', 'company']
['part', 'party', 'life', 'day', 'government']
['fact', 'system', 'year', 'information', 'place']
['place', 'life', 'world', 'part', 'way']
['end', 'system', 'course', 'life', 'year']
['group', 'end', 'information', 'day', 'system']
['man', 'case', 'system', 'part', 'information']
