['government', 'place', 'part', 'life', 'end', 'house', 'course', 'world']
['government', 'year', 'end', 'course', 'man', 'work', 'school', 'information']
['information', 'year', 'system', 'company', 'school', 'course', 'part', 'man']
['system', 'world', 'life', 'fact', 'man', 'course', 'end', 'part']
['information', 'man', 'house', 'group', 'life', 'course', 'government', 'company']
['system', 'fact', 'group', 'end', 'government', 'case', 'work', 'course']
['company', 'man', 'way', 'course', 'place', 'life', 'house', 'end']
['fact', 'case', 'year', 'part', 'company', 'house', 'end', 'government']
['system', 'party', 'man', 'work', 'end', 'place', 'house', 'world']
['world', 'life', 'system', 'day', 'government', 'group', 'house', 'work']
['part', 'system', 'group', 'place', 'government', 'life', 'case', 'fact']
['way', 'party', 'part', 'course', 'end', 'group', 'life', 'fact']
['case', 'life', 'party', 'man', 'group', 'fact', 'year', 'house']
['system', 'fact', 'information', 'school', 'place', 'group', 'government', 'party']
['course', 'year', 'case', 'group', 'information', 'work', 'system', 'man']
['day', 'course', 'way', 'world', 'group', 'life', 'school', 'company']
['information', 'way', 'course', 'house', 'day', 'case', 'system', 'school']
['man', 'company', 'party', 'system', 'course', 'house', 'work', 'year']
['group', 'day', 'work', 'information', 'case', 'course', 'end', 'fact']
['year', 'house', 'system', 'government', 'world', 'day', 'life', 'case']
['day', 'house', 'information', 'party', 'system', 'year', 'place', 'man']
['house', 'course', 'end', 'case', 'school', 'company', 'work', 'world']
['information', 'course', 'year', 'man', 'party', 'house', 'way', 'company']
['government', 'company', 'course', 'place', 'man', 'party', 'school', 'way']
['information', 'year', 'way', 'party', 'school', 'work', 'day', 'place']
['company', 'house', 'work', 'life', 'system', 'group', 'world', 'case']
['work', 'part', 'party', 'life', 'school', 'group', 'year', 'system']
['course', 'way', 'part', 'place', 'work', 'life', 'government', 'end']
['school', 'course', 'year', 'party', 'house', 'information', 'part', 'day']
['group', 'case', 'party', 'fact', 'part', 'school', 'information', 'place']
['work', 'government', 'party', 'information', 'end', 'company', 'day', 'part']
['world', 'house', 'system', 'end', 'way', 'company', 'school', 'course']
['house', 'party', 'life', 'work', 'man', 'part', 'course', 'end']
['fact', 'course', 'house', 'school', 'man', 'work', 'company', 'system']
['day', 'fact', 'school', 'company', 'system', 'house', 'life', 'work']
['case', 'world', 'government', 'work', 'house', 'man', 'life', 'end']
['school', 'course', 'end', 'group', 'information', 'case', 'man', 'house']
['part', 'company', 'day', 'case', 'life', 'government', 'fact', 'information']
['school', 'information', 'world', 'place', 'way', 'system', 'case', 'house']
['group', 'work', 'company', 'man', 'end', 'year', 'school', 'case']
['fact', 'way', 'life', 'system', 'end', 'company', 'group', 'school']
['information', 'group', 'case', 'way', 'government', 'system', 'day', 'place']
['information', 'system', 'fact', 'man', 'life', 'work', 'house', 'course']
['case', 'school', 'place', 'information', 'life', 'day', 'end', 'part']
['system', 'company', 'day', 'place', 'school', 'fact', 'life', 'part']
['course', 'way', 'case', 'house', 'fact', 'place', 'man', 'end']
['year', 'company', 'information', 'day', 'end', 'life', 'way', 'part']
['group', 'year', 'system', 'way', 'school', 'man', 'party', 'place']
['fact', 'end', 'life', 'case', 'information', 'system', 'government', 'house']
['life', 'fact', 'work', 'company', 'day', 'information', 'house', 'year']
['information', 'system', 'course', 'world', 'way', 'life', 'work', 'place']
['system', 'way', 'government', 'year', 'school', 'man', 'end', 'work']
['school', 'case', 'company', 'place', 'government', 'way', 'group', 'man']
['world', 'man', 'day', 'school', 'government', 'fact', 'course', 'year']
['place', 'government', 'day', 'world', 'information', 'man', 'fact', 'system']
['case', 'work', 'government', 'company', 'school', 'part', 'day', 'house']
['course', 'place', 'government', 'year', 'man', 'work', 'group', 'house']
['place', 'school', 'group', 'part', 'course', 'system', 'man', 'government']
['government', 'school', 'fact', 'part', 'man', 'company', 'system', 'party']
['house', 'information', 'world', 'part', 'government', 'case', 'year', 'place']
['course', 'company', 'group', 'house', 'way', 'year', 'information', 'government']
['way', 'year', 'house', 'information', 'end', 'school', 'day', 'life']
['information', 'end', 'case', 'world', 'system', 'party', 'company', 'fact']
['house', 'course', 'party', 'place', 'system', 'year', 'case', 'company']
['school', 'case', 'part', 'day', 'work', 'end', 'system', 'year']
['government', 'case', 'company', 'part', 'course', 'man', 'party', 'world']
['information', 'company', 'world', 'day', 'fact', 'place', 'end', 'case']
['group', 'end', 'year', 'work', 'school', 'way', 'life', 'day']
['work', 'part', 'case', 'course', 'system', 'end', 'fact', 'company']
['school', 'party', 'course', 'place', 'group', 'information', 'company', 'end']
['place', 'world', 'day', 'fact', 'man', 'case', 'work', 'part']
['course', 'fact', 'day', 'information', 'case', 'house', 'government', 'system']
['house', 'case', 'fact', 'day', 'school', 'world', 'man', 'system']
['place', 'work', 'information', 'company', 'house', 'school', 'group', 'part']
['way', 'end', 'party', 'life', 'fact', 'man', 'work', 'government']
['way', 'party', 'world', 'house', 'part', 'system', 'company', 'fact']
['place', 'fact', 'company', 'government', 'year', 'work', 'man', 'case']
['man', 'information', 'year', 'system', 'company', 'way', 'place', 'school']
['fact', 'course', 'house', 'work', 'school', 'year', 'company', 'way']
['part', 'government', 'work', 'group', 'way', 'end', 'world', 'place']
['part', 'year', 'man', 'end', 'party', 'government', 'company', 'house']
['case', 'day', 'party', 'man', 'end', 'school', 'information', 'group']
['information', 'work', 'company', 'group', 'man', 'year', 'life', 'case']
['case', 'system', 'end', 'work', 'course', 'place', 'school', 'house']
['end', 'school', 'work', 'year', 'life', 'house', 'course', 'day']
['man', 'life', 'day', 'information', 'year', 'party', 'house', 'case']
['case', 'life', 'place', 'fact', 'end', 'group', 'course', 'way']
['world', 'day', 'course', 'part', 'party', 'group', 'school', 'work']
['house', 'case', 'year', 'school', 'group', 'company', 'life', 'work']
['house', 'way', 'year', 'course', 'place', 'system', 'work', 'day']
['government', 'house', 'world', 'school', 'company', 'work', 'way', 'man']
['part', 'work', 'group', 'day', 'house', 'man', 'course', 'system']
['day', 'party', 'work', 'information', 'government', 'system', 'course', 'man']
['place', 'company', 'government', 'day', 'fact', 'life', 'way', 'information']
['man', 'group', 'information', 'world', 'year', 'course', 'day', 'way']
['end', 'place', 'house', 'life', 'fact', 'world', 'year', 'day']
['course', 'school', 'life', 'work', 'fact', 'group', 'place', 'government']
