['company', 'man', 'world', 'group', 'place', 'fact', 'life', 'house']
['end', 'party', 'work', 'company', 'group', 'life', 'year', 'way']
['case', 'information', 'end', 'party', 'group', 'government', 'fact', 'work']
['information', 'government', 'party', 'work', 'case', 'house', 'end', 'group']
['life', 'company', 'man', 'fact', 'place', 'end', 'government', 'house']
['school', 'place', 'year', 'group', 'fact', 'house', 'part', 'system']
['group', 'school', 'case', 'day', 'work', 'course', 'year', 'information']
['work', 'day', 'course', 'school', 'way', 'case', 'part', 'year']
['government', 'house', 'world', 'way', 'system', 'work', 'group', 'man']
['way', 'case', 'end', 'party', 'system', 'life', 'world', 'house']
['life', 'group', 'company', 'fact', 'year', 'place', 'man', 'school']
['place', 'year', 'government', 'work', 'house', 'fact', 'party', 'world']
['way', 'party', 'case', 'group', 'system', 'place', 'end', 'house']
['part', 'fact', 'system', 'group', 'case', 'school', 'day', 'man']
['end', 'work', 'group', 'place', 'way', 'information', 'day', 'year']
['fact', 'house', 'end', 'company', 'life', 'place', 'system', 'government']
['work', 'group', 'fact', 'place', 'life', 'day', 'way', 'school']
['place', 'life', 'day', 'world', 'government', 'year', 'information', 'way']
['work', 'government', 'party', 'company', 'fact', 'year', 'house', 'day']
['company', 'case', 'life', 'end', 'world', 'year', 'group', 'house']
['company', 'year', 'house', 'end', 'information', 'day', 'part', 'system']
['party', 'man', 'company', 'way', 'year', 'government', 'system', 'work']
['course', 'company', 'way', 'house', 'end', 'government', 'work', 'party']
['work', 'system', 'part', 'year', 'information', 'course', 'end', 'life']
['part', 'school', 'way', 'government', 'life', 'system', 'work', 'course']
['company', 'school', 'group', 'part', 'day', 'world', 'year', 'life']
['government', 'world', 'life', 'course', 'place', 'case', 'party', 'man']
['year', 'government', 'fact', 'case', 'day', 'part', 'school', 'information']
['world', 'fact', 'party', 'part', 'life', 'case', 'company', 'man']
['course', 'party', 'work', 'system', 'way', 'fact', 'part', 'life']
['way', 'part', 'party', 'course', 'place', 'world', 'company', 'group']
['company', 'system', 'information', 'school', 'end', 'fact', 'government', 'party']
['man', 'year', 'work', 'school', 'group', 'part', 'world', 'place']
['case', 'year', 'day', 'school', 'place', 'way', 'life', 'house']
['fact', 'world', 'end', 'day', 'part', 'place', 'course', 'party']
['work', 'life', 'government', 'house', 'year', 'company', 'system', 'party']
['work', 'man', 'end', 'year', 'company', 'case', 'life', 'government']
['place', 'way', 'work', 'day', 'government', 'world', 'school', 'life']
['course', 'life', 'way', 'year', 'case', 'party', 'work', 'group']
['place', 'life', 'way', 'case', 'company', 'party', 'end', 'government']
['part', 'work', 'system', 'company', 'end', 'life', 'way', 'place']
['fact', 'life', 'man', 'way', 'party', 'information', 'world', 'place']
['place', 'party', 'life', 'system', 'year', 'course', 'way', 'day']
['part', 'company', 'work', 'school', 'group', 'way', 'system', 'man']
['place', 'system', 'school', 'part', 'information', 'way', 'course', 'fact']
['case', 'life', 'part', 'school', 'man', 'end', 'course', 'way']
['end', 'part', 'party', 'house', 'case', 'world', 'information', 'course']
['year', 'system', 'government', 'way', 'day', 'course', 'case', 'house']
['end', 'day', 'government', 'system', 'course', 'case', 'way', 'school']
['part', 'information', 'life', 'work', 'year', 'man', 'fact', 'place']
['group', 'house', 'life', 'part', 'school', 'way', 'end', 'day']
['way', 'party', 'man', 'world', 'group', 'house', 'system', 'place']
['government', 'work', 'case', 'group', 'end', 'way', 'year', 'system']
['information', 'system', 'company', 'part', 'party', 'government', 'life', 'fact']
['day', 'case', 'house', 'school', 'part', 'end', 'fact', 'information']
['company', 'way', 'house', 'group', 'government', 'school', 'year', 'party']
['year', 'system', 'end', 'man', 'place', 'case', 'part', 'course']
['day', 'school', 'company', 'work', 'place', 'house', 'man', 'year']
['course', 'end', 'way', 'group', 'place', 'information', 'day', 'man']
['group', 'year', 'school', 'company', 'system', 'government', 'information', 'fact']
['government', 'case', 'life', 'world', 'course', 'day', 'way', 'company']
['fact', 'day', 'work', 'life', 'part', 'course', 'information', 'company']
['man', 'system', 'information', 'world', 'company', 'work', 'course', 'year']
['government', 'case', 'party', 'man', 'system', 'part', 'school', 'year']
['party', 'school', 'house', 'life', 'way', 'year', 'company', 'group']
['case', 'work', 'way', 'information', 'school', 'course', 'house', 'end']
['life', 'way', 'world', 'end', 'party', 'course', 'information', 'government']
['part', 'end', 'course', 'day', 'fact', 'way', 'work', 'information']
['fact', 'work', 'company', 'day', 'information', 'man', 'government', 'year']
['fact', 'house', 'company', 'government', 'life', 'party', 'man', 'group']
['man', 'school', 'end', 'house', 'system', 'information', 'day', 'year']
['fact', 'government', 'place', 'life', 'system', 'house', 'part', 'year']
['company', 'fact', 'party', 'day', 'world', 'place', 'part', 'group']
['information', 'fact', 'party', 'man', 'way', 'life', 'world', 'course']
['school', 'way', 'day', 'man', 'government', 'world', 'life', 'place']
['part', 'world', 'year', 'system', 'place', 'house', 'way', 'information']
['government', 'case', 'house', 'life', 'information', 'day', 'end', 'way']
['work', 'course', 'school', 'way', 'place', 'man', 'group', 'system']
['part', 'day', 'fact', 'world', 'way', 'course', 'house', 'end']
['work', 'year', 'life', 'house', 'place', 'part', 'day', 'case']
['part', 'system', 'world', 'information', 'year', 'life', 'end', 'company']
['world', 'year', 'course', 'part', 'place', 'fact', 'house', 'man']
['work', 'information', 'government', 'man', 'end', 'system', 'company', 'case']
['group', 'day', 'work', 'part', 'party', 'house', 'life', 'place']
['year', 'government', 'company', 'house', 'school', 'day', 'system', 'way']
['house', 'party', 'work', 'government', 'school', 'end', 'information', 'part']
['course', 'place', 'government', 'life', 'information', 'fact', 'end', 'world']
['year', 'part', 'work', 'case', 'house', 'school', 'way', 'life']
['year', 'company', 'work', 'system', 'part', 'information', 'case', 'world']
['way', 'life', 'part', 'day', 'fact', 'year', 'group', 'information']
['group', 'life', 'fact', 'house', 'party', 'place', 'work', 'day']
['man', 'information', 'world', 'system', 'day', 'work', 'life', 'group']
['house', 'way', 'party', 'school', 'information', 'group', 'world', 'course']
['company', 'world', 'fact', 'group', 'party', 'place', 'information', 'part']
['system', 'place', 'life', 'house', 'day', 'part', 'end', 'information']
['world', 'house', 'place', 'fact', 'company', 'case', 'information', 'way']
['work', 'way', 'party', 'part', 'group', 'house', 'company', 'school']
['group', 'work', 'place', 'course', 'government', 'way', 'system', 'part']
['party', 'end', 'system', 'part', 'way', 'year', 'work', 'day']
['school', 'information', 'government', 'life', 'party', 'year', 'end', 'place']
