['way', 'life', 'year', 'company', 'course', 'day', 'place', 'case']
['course', 'information', 'place', 'day', 'year', 'house', 'part', 'school']
['world', 'end', 'way', 'house', 'fact', 'system', 'course', 'life']
['company', 'party', 'government', 'world', 'school', 'work', 'information', 'course']
['year', 'part', 'house', 'group', 'case', 'school', 'man', 'end']
['world', 'school', 'man', 'life', 'part', 'case', 'end', 'company']
['school', 'house', 'work', 'case', 'part', 'way', 'course', 'government']
['way', 'company', 'part', 'place', 'work', 'world', 'man', 'fact']
['part', 'information', 'place', 'life', 'house', 'course', 'man', 'case']
['party', 'world', 'year', 'house', 'day', 'case', 'part', 'end']
['school', 'information', 'fact', 'man', 'part', 'world', 'company', 'end']
['day', 'life', 'world', 'information', 'case', 'house', 'work', 'party']
['way', 'house', 'information', 'end', 'school', 'government', 'company', 'place']
['fact', 'year', 'end', 'way', 'course', 'information', 'life', 'work']
['course', 'year', 'man', 'end', 'work', 'school', 'world', 'company']
['year', 'work', 'government', 'course', 'party', 'day', 'group', 'company']
['end', 'year', 'case', 'part', 'course', 'day', 'group', 'man']
['case', 'government', 'way', 'place', 'group', 'course', 'party', 'company']
['system', 'year', 'life', 'course', 'company', 'fact', 'way', 'government']
['place', 'man', 'end', 'way', 'course', 'information', 'part', 'group']
['company', 'fact', 'government', 'life', 'system', 'day', 'party', 'way']
['place', 'man', 'house', 'party', 'fact', 'end', 'way', 'case']
['man', 'government', 'work', 'fact', 'house', 'system', 'party', 'year']
['party', 'work', 'system', 'place', 'house', 'way', 'life', 'information']
['life', 'house', 'part', 'man', 'case', 'school', 'party', 'work']
['information', 'life', 'world', 'year', 'work', 'school', 'day', 'man']
['day', 'life', 'system', 'group', 'information', 'man', 'way', 'end']
['course', 'case', 'company', 'fact', 'year', 'place', 'man', 'school']
['way', 'end', 'fact', 'day', 'information', 'world', 'party', 'house']
['group', 'day', 'government', 'house', 'course', 'place', 'part', 'school']
['school', 'world', 'course', 'end', 'party', 'part', 'place', 'company']
['fact', 'school', 'way', 'party', 'work', 'group', 'house', 'life']
['end', 'case', 'year', 'group', 'way', 'man', 'information', 'house']
['end', 'system', 'year', 'school', 'party', 'case', 'day', 'life']
['day', 'world', 'course', 'part', 'group', 'life', 'school', 'man']
['year', 'way', 'place', 'house', 'party', 'end', 'course', 'school']
['part', 'fact', 'school', 'company', 'group', 'course', 'world', 'year']
['world', 'work', 'system', 'day', 'party', 'information', 'house', 'end']
['part', 'year', 'world', 'man', 'place', 'course', 'government', 'company']
['part', 'life', 'government', 'place', 'information', 'group', 'system', 'party']
['work', 'house', 'world', 'system', 'place', 'government', 'life', 'year']
['day', 'man', 'party', 'company', 'fact', 'system', 'work', 'life']
['system', 'company', 'day', 'party', 'school', 'end', 'case', 'year']
['information', 'house', 'part', 'man', 'life', 'world', 'year', 'place']
['man', 'year', 'way', 'house', 'company', 'end', 'party', 'place']
['case', 'course', 'fact', 'work', 'information', 'place', 'house', 'year']
['part', 'course', 'work', 'party', 'group', 'case', 'government', 'place']
['company', 'course', 'house', 'system', 'year', 'way', 'life', 'world']
['man', 'company', 'place', 'life', 'day', 'way', 'school', 'work']
['government', 'life', 'system', 'information', 'case', 'world', 'party', 'day']
['life', 'year', 'world', 'work', 'party', 'part', 'man', 'system']
['party', 'course', 'fact', 'school', 'work', 'life', 'part', 'way']
['day', 'part', 'party', 'fact', 'case', 'place', 'work', 'world']
['course', 'man', 'day', 'life', 'system', 'way', 'end', 'place']
['school', 'part', 'party', 'company', 'way', 'system', 'information', 'end']
['government', 'case', 'end', 'group', 'information', 'school', 'house', 'company']
['house', 'party', 'information', 'life', 'end', 'man', 'company', 'day']
['part', 'school', 'end', 'company', 'case', 'information', 'system', 'group']
['group', 'system', 'house', 'work', 'fact', 'man', 'party', 'end']
['life', 'end', 'house', 'system', 'information', 'fact', 'way', 'place']
['world', 'house', 'company', 'part', 'work', 'information', 'school', 'party']
['end', 'system', 'world', 'company', 'year', 'group', 'course', 'house']
['house', 'world', 'system', 'course', 'man', 'government', 'school', 'way']
['fact', 'year', 'company', 'government', 'group', 'school', 'life', 'part']
['house', 'way', 'year', 'fact', 'man', 'group', 'end', 'life']
['party', 'life', 'day', 'fact', 'man', 'course', 'way', 'system']
['way', 'government', 'life', 'end', 'course', 'group', 'school', 'part']
['house', 'year', 'group', 'party', 'life', 'man', 'part', 'end']
['way', 'man', 'company', 'life', 'information', 'year', 'government', 'place']
['system', 'world', 'way', 'end', 'part', 'company', 'place', 'fact']
['world', 'part', 'government', 'life', 'case', 'man', 'system', 'way']
['man', 'place', 'fact', 'government', 'world', 'day', 'part', 'house']
['party', 'end', 'work', 'information', 'case', 'group', 'year', 'government']
['man', 'course', 'part', 'world', 'system', 'day', 'group', 'school']
['case', 'group', 'party', 'work', 'place', 'man', 'life', 'end']
['system', 'course', 'world', 'end', 'fact', 'house', 'man', 'case']
['party', 'part', 'case', 'company', 'work', 'end', 'world', 'system']
['system', 'end', 'day', 'government', 'fact', 'part', 'course', 'life']
['end', 'work', 'place', 'house', 'group', 'world', 'information', 'year']
['school', 'fact', 'work', 'house', 'year', 'end', 'man', 'place']
['case', 'work', 'information', 'part', 'course', 'world', 'company', 'way']
['life', 'year', 'end', 'course', 'fact', 'man', 'information', 'place']
['part', 'end', 'life', 'information', 'system', 'course', 'house', 'fact']
['part', 'place', 'information', 'party', 'group', 'world', 'house', 'work']
['case', 'system', 'information', 'man', 'school', 'work', 'end', 'place']
['life', 'place', 'man', 'case', 'party', 'school', 'system', 'way']
['man', 'system', 'work', 'government', 'information', 'place', 'case', 'day']
['work', 'part', 'course', 'party', 'house', 'information', 'way', 'fact']
['party', 'part', 'case', 'place', 'course', 'day', 'information', 'world']
