['place', 'party', 'system', 'house', 'day', 'group', 'course', 'company']
['life', 'fact', 'case', 'way', 'house', 'company', 'world', 'system']
['work', 'day', 'end', 'government', 'group', 'information', 'case', 'man']
['government', 'party', 'end', 'life', 'part', 'work', 'case', 'group']
['system', 'day', 'group', 'world', 'course', 'part', 'way', 'company']
['fact', 'way', 'system', 'world', 'life', 'man', 'group', 'house']
['place', 'man', 'house', 'day', 'year', 'course', 'information', 'life']
['group', 'man', 'system', 'course', 'party', 'work', 'part', 'day']
['school', 'place', 'part', 'party', 'world', 'day', 'company', 'system']
['work', 'party', 'company', 'course', 'way', 'fact', 'school', 'end']
['course', 'year', 'case', 'world', 'company', 'school', 'system', 'party']
['day', 'system', 'way', 'end', 'party', 'company', 'government', 'work']
['life', 'end', 'government', 'course', 'house', 'year', 'man', 'information']
['world', 'house', 'man', 'fact', 'system', 'information', 'day', 'year']
['course', 'day', 'case', 'system', 'end', 'information', 'world', 'fact']
['group', 'life', 'man', 'school', 'end', 'place', 'world', 'system']
['man', 'house', 'case', 'government', 'fact', 'work', 'school', 'company']
['school', 'course', 'place', 'way', 'party', 'government', 'group', 'day']
['world', 'man', 'part', 'way', 'company', 'course', 'day', 'government']
['place', 'party', 'man', 'year', 'end', 'course', 'government', 'day']
['world', 'course', 'group', 'system', 'company', 'part', 'man', 'place']
['system', 'house', 'man', 'company', 'way', 'school', 'case', 'part']
['life', 'house', 'school', 'government', 'course', 'year', 'man', 'end']
['house', 'day', 'government', 'year', 'school', 'place', 'course', 'system']
['system', 'end', 'house', 'day', 'company', 'information', 'life', 'work']
['group', 'course', 'fact', 'end', 'part', 'information', 'world', 'government']
['information', 'world', 'school', 'system', 'house', 'party', 'work', 'life']
['part', 'place', 'case', 'house', 'work', 'school', 'end', 'system']
['company', 'man', 'way', 'fact', 'information', 'party', 'day', 'end']
['fact', 'way', 'end', 'place', 'company', 'party', 'group', 'house']
['school', 'year', 'course', 'house', 'day', 'work', 'government', 'man']
['course', 'government', 'year', 'house', 'school', 'work', 'party', 'fact']
['company', 'case', 'world', 'course', 'end', 'man', 'party', 'government']
['way', 'party', 'man', 'case', 'information', 'day', 'year', 'house']
['year', 'fact', 'day', 'group', 'party', 'way', 'end', 'place']
['school', 'work', 'course', 'party', 'world', 'system', 'way', 'man']
['year', 'course', 'end', 'system', 'fact', 'part', 'place', 'school']
['company', 'case', 'place', 'house', 'course', 'group', 'fact', 'party']
['company', 'life', 'world', 'fact', 'end', 'course', 'system', 'place']
['work', 'end', 'school', 'fact', 'group', 'information', 'course', 'government']
['way', 'house', 'world', 'day', 'company', 'place', 'part', 'party']
['year', 'party', 'case', 'group', 'way', 'day', 'company', 'place']
['party', 'man', 'way', 'day', 'fact', 'system', 'work', 'end']
['part', 'life', 'man', 'course', 'case', 'system', 'day', 'year']
['information', 'group', 'house', 'life', 'course', 'way', 'company', 'end']
['course', 'life', 'work', 'man', 'part', 'day', 'fact', 'party']
['company', 'system', 'way', 'work', 'course', 'case', 'year', 'fact']
['world', 'house', 'way', 'system', 'end', 'government', 'day', 'man']
['school', 'part', 'group', 'life', 'place', 'government', 'way', 'end']
['school', 'place', 'system', 'man', 'party', 'year', 'fact', 'company']
['fact', 'man', 'school', 'system', 'house', 'part', 'case', 'company']
['school', 'house', 'day', 'party', 'group', 'fact', 'system', 'government']
['information', 'government', 'house', 'place', 'company', 'fact', 'life', 'day']
['part', 'party', 'place', 'house', 'government', 'fact', 'system', 'work']
['life', 'man', 'government', 'part', 'information', 'day', 'place', 'company']
['place', 'party', 'case', 'world', 'group', 'day', 'government', 'company']
['end', 'day', 'government', 'world', 'life', 'work', 'system', 'group']
['company', 'way', 'system', 'year', 'party', 'life', 'house', 'group']
['world', 'system', 'case', 'day', 'party', 'part', 'year', 'course']
['company', 'school', 'work', 'information', 'fact', 'world', 'government', 'way']
['man', 'part', 'work', 'party', 'world', 'end', 'day', 'system']
['case', 'way', 'work', 'life', 'course', 'house', 'party', 'system']
['year', 'life', 'government', 'man', 'fact', 'case', 'day', 'work']
['life', 'end', 'company', 'part', 'information', 'fact', 'work', 'man']
['world', 'part', 'course', 'place', 'fact', 'man', 'case', 'work']
['end', 'system', 'year', 'government', 'information', 'course', 'case', 'man']
['end', 'day', 'life', 'part', 'school', 'government', 'course', 'company']
['end', 'information', 'life', 'group', 'company', 'work', 'man', 'school']
['house', 'man', 'fact', 'place', 'system', 'information', 'life', 'school']
['group', 'information', 'case', 'company', 'end', 'school', 'way', 'place']
['information', 'day', 'work', 'school', 'fact', 'house', 'company', 'part']
['group', 'life', 'world', 'place', 'case', 'work', 'fact', 'way']
['party', 'school', 'company', 'system', 'way', 'world', 'group', 'place']
['course', 'house', 'system', 'government', 'place', 'part', 'case', 'end']
['fact', 'part', 'house', 'work', 'course', 'party', 'information', 'school']
['case', 'company', 'year', 'end', 'system', 'school', 'work', 'course']
['end', 'information', 'place', 'life', 'work', 'way', 'man', 'system']
['world', 'school', 'information', 'place', 'government', 'life', 'fact', 'group']
['system', 'year', 'fact', 'information', 'life', 'group', 'house', 'end']
['part', 'party', 'man', 'way', 'case', 'system', 'end', 'world']
['company', 'house', 'day', 'life', 'year', 'information', 'man', 'world']
['house', 'information', 'school', 'world', 'system', 'place', 'part', 'company']
['world', 'company', 'end', 'house', 'life', 'case', 'day', 'year']
['system', 'party', 'information', 'man', 'part', 'year', 'work', 'course']
['case', 'government', 'group', 'system', 'end', 'way', 'part', 'place']
['information', 'world', 'fact', 'course', 'man', 'case', 'place', 'school']
['way', 'day', 'end', 'information', 'school', 'part', 'man', 'year']
['way', 'information', 'year', 'life', 'company', 'man', 'case', 'work']
['day', 'case', 'part', 'information', 'man', 'life', 'house', 'group']
['day', 'course', 'year', 'world', 'school', 'part', 'company', 'group']
['part', 'case', 'party', 'year', 'government', 'world', 'system', 'place']
['system', 'information', 'man', 'work', 'group', 'day', 'school', 'government']
['day', 'fact', 'group', 'world', 'part', 'information', 'house', 'place']
['world', 'fact', 'house', 'party', 'government', 'information', 'case', 'place']
['information', 'day', 'house', 'school', 'group', 'fact', 'end', 'government']
['house', 'group', 'place', 'life', 'course', 'information', 'system', 'day']
['place', 'year', 'information', 'work', 'system', 'house', 'school', 'day']
['world', 'group', 'part', 'school', 'way', 'life', 'case', 'information']
['place', 'fact', 'house', 'way', 'life', 'part', 'school', 'end']
['party', 'way', 'life', 'group', 'fact', 'work', 'school', 'world']
