['case', 'company', 'place', 'end', 'government', 'part', 'course', 'system']
['government', 'work', 'year', 'case', 'company', 'fact', 'life', 'school']
['school', 'end', 'group', 'year', 'fact', 'way', 'case', 'information']
['government', 'man', 'part', 'school', 'world', 'place', 'group', 'end']
['information', 'man', 'course', 'day', 'world', 'case', 'company', 'school']
['end', 'company', 'life', 'course', 'school', 'system', 'part', 'party']
['fact', 'end', 'part', 'year', 'house', 'man', 'system', 'party']
['day', 'house', 'man', 'information', 'system', 'work', 'course', 'end']
['world', 'course', 'company', 'system', 'fact', 'part', 'school', 'house']
['government', 'group', 'information', 'course', 'school', 'company', 'fact', 'way']
['place', 'year', 'work', 'way', 'school', 'day', 'company', 'life']
['fact', 'year', 'way', 'company', 'school', 'party', 'group', 'man']
['day', 'year', 'course', 'life', 'work', 'case', 'group', 'end']
['work', 'government', 'life', 'information', 'way', 'part', 'end', 'company']
['party', 'man', 'case', 'work', 'way', 'house', 'company', 'group']
['way', 'company', 'information', 'group', 'world', 'day', 'party', 'government']
['group', 'system', 'life', 'fact', 'place', 'school', 'house', 'man']
['group', 'case', 'day', 'end', 'party', 'government', 'school', 'work']
['place', 'work', 'house', 'system', 'day', 'company', 'man', 'course']
['system', 'house', 'case', 'day', 'work', 'year', 'life', 'fact']
['information', 'work', 'fact', 'system', 'part', 'party', 'case', 'way']
['group', 'man', 'system', 'company', 'end', 'work', 'day', 'case']
['end', 'system', 'year', 'man', 'house', 'course', 'place', 'school']
['company', 'place', 'way', 'life', 'fact', 'part', 'end', 'system']
['work', 'government', 'place', 'world', 'house', 'life', 'group', 'party']
['group', 'system', 'fact', 'information', 'world', 'part', 'company', 'year']
['day', 'way', 'place', 'year', 'world', 'work', 'group', 'man']
['way', 'part', 'party', 'information', 'school', 'life', 'day', 'case']
['end', 'course', 'party', 'year', 'man', 'work', 'life', 'system']
['man', 'part', 'company', 'course', 'place', 'government', 'year', 'world']
['year', 'party', 'information', 'work', 'way', 'group', 'house', 'part']
['system', 'life', 'company', 'part', 'work', 'government', 'group', 'place']
['part', 'work', 'world', 'company', 'man', 'system', 'government', 'group']
['year', 'system', 'government', 'company', 'work', 'world', 'house', 'case']
['world', 'way', 'place', 'system', 'house', 'school', 'party', 'man']
['government', 'system', 'part', 'man', 'life', 'group', 'place', 'case']
['way', 'fact', 'government', 'course', 'group', 'life', 'world', 'year']
['world', 'work', 'government', 'system', 'way', 'life', 'place', 'part']
['end', 'life', 'information', 'work', 'course', 'fact', 'school', 'day']
['group', 'man', 'day', 'world', 'information', 'way', 'party', 'end']
['work', 'party', 'man', 'course', 'case', 'system', 'part', 'life']
['school', 'fact', 'work', 'end', 'way', 'year', 'place', 'world']
['way', 'part', 'work', 'man', 'fact', 'course', 'day', 'world']
['system', 'world', 'school', 'case', 'work', 'group', 'end', 'man']
['life', 'party', 'school', 'information', 'system', 'part', 'government', 'place']
['world', 'end', 'house', 'place', 'government', 'way', 'day', 'information']
['system', 'year', 'work', 'part', 'end', 'company', 'school', 'life']
['system', 'end', 'year', 'place', 'school', 'life', 'day', 'party']
['place', 'house', 'system', 'group', 'part', 'school', 'case', 'way']
['end', 'year', 'house', 'part', 'course', 'government', 'company', 'way']
['day', 'part', 'party', 'house', 'life', 'year', 'fact', 'course']
['information', 'government', 'year', 'man', 'life', 'way', 'house', 'company']
['house', 'life', 'world', 'way', 'day', 'company', 'part', 'case']
['company', 'information', 'school', 'government', 'system', 'course', 'case', 'end']
['system', 'place', 'life', 'government', 'group', 'world', 'information', 'party']
['place', 'information', 'end', 'school', 'system', 'government', 'company', 'fact']
['company', 'way', 'party', 'information', 'fact', 'course', 'house', 'school']
['work', 'fact', 'information', 'course', 'school', 'way', 'group', 'day']
['company', 'party', 'house', 'fact', 'group', 'way', 'part', 'school']
['house', 'fact', 'place', 'case', 'information', 'part', 'end', 'world']
['part', 'company', 'way', 'party', 'case', 'school', 'fact', 'world']
['way', 'day', 'man', 'year', 'house', 'place', 'fact', 'company']
['world', 'fact', 'case', 'system', 'group', 'government', 'end', 'part']
['work', 'system', 'group', 'day', 'end', 'party', 'fact', 'world']
['school', 'part', 'place', 'information', 'house', 'fact', 'government', 'group']
['case', 'fact', 'course', 'part', 'party', 'system', 'information', 'way']
['man', 'school', 'end', 'company', 'information', 'system', 'part', 'world']
['company', 'information', 'end', 'case', 'school', 'place', 'house', 'day']
['man', 'fact', 'day', 'life', 'information', 'work', 'end', 'place']
['day', 'party', 'part', 'government', 'work', 'way', 'company', 'course']
['man', 'place', 'end', 'world', 'house', 'party', 'course', 'life']
['man', 'case', 'information', 'party', 'way', 'group', 'world', 'government']
['course', 'group', 'work', 'part', 'day', 'life', 'case', 'house']
['year', 'government', 'end', 'case', 'part', 'way', 'day', 'man']
['place', 'work', 'man', 'government', 'part', 'way', 'year', 'group']
['life', 'year', 'system', 'government', 'man', 'party', 'information', 'end']
['course', 'place', 'system', 'life', 'information', 'school', 'world', 'government']
['end', 'school', 'work', 'place', 'fact', 'year', 'system', 'man']
['group', 'life', 'case', 'world', 'school', 'fact', 'way', 'part']
['part', 'end', 'company', 'government', 'world', 'life', 'course', 'system']
['way', 'system', 'world', 'government', 'man', 'school', 'information', 'year']
['way', 'world', 'school', 'house', 'man', 'life', 'day', 'information']
['work', 'man', 'case', 'year', 'company', 'way', 'course', 'school']
['end', 'company', 'year', 'party', 'life', 'place', 'group', 'way']
['group', 'year', 'part', 'world', 'man', 'school', 'information', 'system']
['house', 'life', 'government', 'fact', 'place', 'group', 'way', 'system']
['place', 'information', 'company', 'course', 'man', 'house', 'work', 'group']
['way', 'fact', 'school', 'part', 'world', 'day', 'place', 'house']
['case', 'government', 'day', 'house', 'place', 'group', 'party', 'course']
['part', 'fact', 'end', 'house', 'group', 'work', 'man', 'day']
['system', 'information', 'work', 'house', 'year', 'government', 'case', 'place']
['fact', 'way', 'work', 'information', 'world', 'end', 'part', 'system']
['school', 'end', 'place', 'case', 'course', 'party', 'part', 'man']
['party', 'house', 'company', 'course', 'work', 'part', 'group', 'man']
['year', 'fact', 'house', 'part', 'group', 'information', 'school', 'world']
['house', 'system', 'group', 'work', 'way', 'party', 'information', 'world']
['party', 'system', 'information', 'way', 'world', 'work', 'company', 'man']
['world', 'work', 'way', 'place', 'group', 'course', 'house', 'day']
['house', 'course', 'case', 'work', 'place', 'life', 'party', 'fact']
['school', 'work', 'life', 'fact', 'part', 'house', 'place', 'end']
