['house', 'part', 'government', 'course']
['way', 'case', 'life', 'work']
['year', 'work', 'system', 'company']
['world', 'information', 'house', 'day']
['man', 'year', 'house', 'case']
['school', 'way', 'fact', 'company']
['company', 'course', 'part', 'work']
['house', 'day', 'course', 'place']
['house', 'government', 'day', 'course']
['group', 'government', 'system', 'work']
['way', 'information', 'man', 'group']
['end', 'information', 'way', 'world']
['life', 'case', 'part', 'school']
['company', 'way', 'group', 'information']
['day', 'course', 'company', 'work']
['system', 'school', 'case', 'life']
['day', 'party', 'information', 'part']
['day', 'system', 'fact', 'year']
['house', 'year', 'world', 'course']
['house', 'day', 'government', 'school']
['house', 'school', 'case', 'way']
['system', 'life', 'day', 'party']
['company', 'work', 'end', 'house']
['system', 'information', 'school', 'year']
['company', 'information', 'work', 'group']
['group', 'way', 'system', 'fact']
['information', 'way', 'work', 'school']
['year', 'course', 'world', 'day']
['fact', 'way', 'party', 'day']
['school', 'party', 'fact', 'course']
['end', 'day', 'house', 'course']
['year', 'work', 'government', 'world']
['end', 'house', 'fact', 'information']
['place', 'day', 'life', 'school']
['house', 'way', 'world', 'life']
['fact', 'school', 'work', 'day']
['world', 'part', 'year', 'government']
['school', 'way', 'group', 'life']
['way', 'company', 'party', 'place']
['group', 'case', 'life', 'day']
['fact', 'company', 'work', 'end']
['world', 'case', 'end', 'party']
['course', 'case', 'house', 'way']
['man', 'place', 'information', 'world']
['house', 'place', 'way', 'information']
['work', 'day', 'school', 'life']
['way', 'information', 'system', 'school']
['case', 'system', 'world', 'information']
['work', 'fact', 'part', 'school']
['world', 'group', 'end', 'company']
['life', 'company', 'school', 'day']
['group', 'information', 'house', 'case']
['place', 'course', 'group', 'system']
['fact', 'system', 'government', 'year']
['system', 'place', 'work', 'school']
