['case', 'day', 'information', 'end']
['part', 'day', 'place', 'life']
['information', 'part', 'way', 'fact']
['group', 'house', 'system', 'school']
['life', 'house', 'system', 'part']
['day', 'life', 'work', 'end']
['information', 'case', 'school', 'day']
['government', 'system', 'case', 'house']
['life', 'way', 'course', 'year']
['information', 'end', 'house', 'system']
['house', 'way', 'course', 'information']
['case', 'company', 'work', 'end']
['group', 'company', 'school', 'world']
['life', 'end', 'course', 'house']
['system', 'life', 'end', 'information']
['work', 'government', 'year', 'group']
['end', 'part', 'house', 'government']
['system', 'party', 'world', 'case']
['part', 'year', 'work', 'government']
['information', 'end', 'group', 'system']
['group', 'life', 'place', 'system']
['group', 'way', 'company', 'school']
['end', 'company', 'work', 'government']
['house', 'place', 'party', 'way']
['year', 'work', 'end', 'house']
['house', 'life', 'world', 'day']
['company', 'course', 'house', 'world']
['case', 'place', 'information', 'end']
['place', 'life', 'company', 'world']
['year', 'company', 'day', 'course']
['year', 'life', 'end', 'party']
['government', 'way', 'group', 'world']
['government', 'course', 'case', 'world']
['government', 'place', 'school', 'year']
['house', 'system', 'information', 'group']
['part', 'government', 'life', 'fact']
['world', 'end', 'school', 'house']
['company', 'house', 'group', 'day']
['day', 'world', 'company', 'fact']
['man', 'part', 'day', 'company']
['group', 'house', 'end', 'place']
['day', 'information', 'world', 'company']
['group', 'school', 'work', 'case']
['party', 'company', 'house', 'group']
['life', 'work', 'case', 'course']
['case', 'work', 'party', 'place']
['man', 'case', 'government', 'system']
['end', 'year', 'house', 'company']
['end', 'group', 'system', 'world']
['information', 'work', 'system', 'day']
