['work', 'fact', 'house', 'world']
['year', 'party', 'life', 'case']
['year', 'school', 'way', 'group']
['fact', 'house', 'life', 'end']
['way', 'system', 'course', 'place']
['way', 'company', 'world', 'work']
['case', 'year', 'system', 'school']
['fact', 'system', 'man', 'government']
['part', 'fact', 'party', 'life']
['company', 'system', 'fact', 'part']
['year', 'government', 'information', 'house']
['year', 'place', 'group', 'government']
['day', 'system', 'place', 'party']
['work', 'end', 'system', 'day']
['year', 'information', 'place', 'company']
['company', 'life', 'course', 'day']
['year', 'part', 'course', 'government']
['house', 'place', 'system', 'day']
['case', 'house', 'year', 'system']
['course', 'work', 'fact', 'man']
['way', 'party', 'place', 'part']
['way', 'part', 'case', 'information']
['day', 'life', 'work', 'world']
['year', 'work', 'end', 'day']
['course', 'way', 'information', 'company']
['information', 'party', 'work', 'way']
['life', 'house', 'fact', 'system']
['day', 'course', 'world', 'way']
['year', 'government', 'day', 'way']
['end', 'course', 'day', 'world']
['man', 'case', 'group', 'year']
['company', 'end', 'school', 'course']
['company', 'place', 'course', 'system']
['way', 'life', 'work', 'year']
['man', 'way', 'fact', 'year']
['year', 'world', 'system', 'work']
['part', 'world', 'house', 'day']
['party', 'place', 'way', 'case']
['company', 'party', 'course', 'information']
['group', 'government', 'year', 'fact']
['place', 'end', 'information', 'company']
['year', 'part', 'fact', 'way']
['information', 'year', 'school', 'system']
['group', 'government', 'life', 'world']
['information', 'world', 'fact', 'group']
['company', 'world', 'fact', 'government']
['world', 'place', 'fact', 'party']
['year', 'man', 'course', 'day']
['day', 'party', 'company', 'school']
['man', 'case', 'party', 'fact']
['information', 'house', 'group', 'day']
['year', 'place', 'life', 'end']
['place', 'day', 'company', 'year']
['fact', 'place', 'part', 'case']
['place', 'end', 'work', 'group']
['company', 'way', 'information', 'school']
['day', 'part', 'group', 'year']
['information', 'system', 'world', 'life']
