['place', 'fact', 'way', 'course']
['information', 'government', 'day', 'group']
['way', 'group', 'year', 'party']
['day', 'world', 'case', 'life']
['part', 'school', 'party', 'house']
['year', 'group', 'part', 'government']
['year', 'world', 'day', 'government']
['party', 'fact', 'work', 'man']
['company', 'man', 'life', 'system']
['year', 'world', 'system', 'company']
['case', 'group', 'company', 'school']
['world', 'day', 'party', 'work']
['school', 'year', 'party', 'place']
['government', 'part', 'party', 'end']
['life', 'school', 'world', 'day']
['day', 'government', 'system', 'house']
['house', 'information', 'end', 'place']
['system', 'case', 'work', 'information']
['party', 'case', 'world', 'government']
['school', 'system', 'way', 'work']
['course', 'work', 'house', 'way']
['work', 'part', 'case', 'place']
['life', 'world', 'house', 'company']
['school', 'day', 'way', 'year']
['world', 'company', 'part', 'end']
['company', 'fact', 'man', 'party']
['information', 'group', 'life', 'company']
['day', 'work', 'information', 'world']
['place', 'house', 'man', 'work']
['school', 'case', 'man', 'information']
['end', 'part', 'course', 'school']
['work', 'group', 'day', 'place']
['place', 'fact', 'case', 'work']
['place', 'man', 'party', 'day']
['end', 'house', 'government', 'world']
['company', 'man', 'school', 'group']
['life', 'day', 'part', 'house']
['government', 'house', 'end', 'school']
['day', 'end', 'course', 'group']
['house', 'day', 'information', 'fact']
['party', 'way', 'system', 'house']
['group', 'government', 'fact', 'life']
['group', 'case', 'part', 'company']
['system', 'world', 'day', 'man']
['place', 'case', 'work', 'life']
['day', 'way', 'fact', 'man']
['year', 'world', 'group', 'fact']
['government', 'party', 'group', 'man']
['end', 'fact', 'case', 'work']
['work', 'government', 'life', 'course']
['government', 'group', 'world', 'life']
['day', 'group', 'party', 'way']
['part', 'man', 'way', 'life']
['information', 'world', 'school', 'part']
['house', 'world', 'man', 'day']
['end', 'part', 'work', 'day']
['government', 'work', 'school', 'day']
['system', 'party', 'end', 'group']
['fact', 'information', 'part', 'party']
['end', 'part', 'group', 'place']
['system', 'course', 'way', 'information']
['group', 'course', 'information', 'school']
['government', 'case', 'school', 'course']
['fact', 'year', 'company', 'party']
['day', 'group', 'world', 'party']
['group', 'end', 'way', 'government']
['work', 'system', 'government', 'man']
['man', 'part', 'company', 'work']
['information', 'work', 'life', 'day']
['world', 'course', 'school', 'work']
['year', 'end', 'government', 'party']
['system', 'course', 'end', 'fact']
['information', 'year', 'party', 'government']
['part', 'fact', 'case', 'man']
['system', 'end', 'information', 'party']
['case', 'party', 'information', 'place']
['information', 'work', 'year', 'day']
['day', 'group', 'part', 'party']
['part', 'course', 'year', 'party']
['government', 'information', 'work', 'man']
['house', 'school', 'way', 'system']
['information', 'man', 'world', 'year']
['government', 'place', 'information', 'house']
['company', 'man', 'group', 'place']
['system', 'fact', 'company', 'place']
['life', 'system', 'day', 'case']
['year', 'man', 'group', 'way']
['course', 'group', 'place', 'company']
['information', 'year', 'end', 'case']
['group', 'world', 'man', 'year']
['case', 'fact', 'year', 'course']
