['information', 'life', 'company', 'place']
['house', 'group', 'system', 'school']
['school', 'way', 'system', 'place']
['end', 'day', 'system', 'life']
['end', 'way', 'case', 'information']
['school', 'government', 'day', 'house']
['world', 'year', 'house', 'end']
['case', 'way', 'day', 'man']
['system', 'fact', 'world', 'information']
['house', 'school', 'man', 'work']
['life', 'year', 'house', 'group']
['school', 'life', 'day', 'way']
['case', 'place', 'end', 'world']
['work', 'life', 'group', 'information']
['day', 'part', 'man', 'life']
['end', 'house', 'school', 'life']
['end', 'place', 'work', 'school']
['government', 'case', 'life', 'fact']
['information', 'world', 'house', 'course']
['government', 'life', 'fact', 'company']
['place', 'year', 'government', 'work']
['day', 'world', 'system', 'life']
['end', 'day', 'system', 'school']
['party', 'place', 'house', 'part']
['part', 'life', 'course', 'information']
['party', 'world', 'group', 'way']
['house', 'way', 'work', 'day']
['place', 'government', 'system', 'house']
['end', 'fact', 'place', 'group']
['case', 'course', 'man', 'party']
['life', 'government', 'system', 'world']
['way', 'day', 'group', 'man']
['course', 'place', 'party', 'year']
['fact', 'work', 'part', 'way']
['case', 'work', 'course', 'life']
['company', 'way', 'government', 'school']
['party', 'place', 'fact', 'world']
['work', 'day', 'government', 'system']
['fact', 'house', 'information', 'day']
['fact', 'company', 'school', 'group']
['case', 'course', 'fact', 'company']
['government', 'way', 'course', 'life']
['day', 'course', 'party', 'house']
['school', 'group', 'work', 'party']
['year', 'way', 'life', 'fact']
['day', 'fact', 'life', 'part']
['part', 'life', 'day', 'work']
['part', 'day', 'party', 'work']
['government', 'end', 'year', 'life']
['way', 'work', 'course', 'case']
['house', 'place', 'fact', 'case']
['case', 'world', 'party', 'information']
['work', 'group', 'school', 'day']
['course', 'school', 'case', 'work']
['end', 'life', 'year', 'government']
['system', 'life', 'part', 'end']
