['end', 'information', 'day', 'way']
['work', 'year', 'life', 'day']
['school', 'party', 'day', 'case']
['group', 'information', 'world', 'party']
['end', 'government', 'course', 'information']
['man', 'place', 'party', 'life']
['school', 'place', 'day', 'world']
['group', 'course', 'day', 'house']
['party', 'course', 'end', 'house']
['company', 'case', 'party', 'house']
['information', 'life', 'school', 'day']
['day', 'house', 'end', 'government']
['life', 'house', 'party', 'case']
['man', 'course', 'life', 'government']
['work', 'life', 'man', 'house']
['house', 'case', 'party', 'system']
['company', 'day', 'government', 'system']
['life', 'man', 'government', 'case']
['company', 'system', 'work', 'fact']
['school', 'company', 'life', 'year']
['house', 'system', 'case', 'year']
['way', 'end', 'man', 'year']
['course', 'school', 'work', 'fact']
['year', 'house', 'party', 'life']
['day', 'case', 'life', 'information']
['life', 'day', 'way', 'world']
['case', 'government', 'world', 'work']
['school', 'group', 'life', 'place']
['school', 'system', 'man', 'company']
['work', 'way', 'company', 'system']
['place', 'system', 'company', 'school']
['group', 'way', 'information', 'party']
['school', 'end', 'life', 'part']
['life', 'work', 'group', 'part']
['day', 'life', 'company', 'place']
['place', 'government', 'world', 'life']
['year', 'fact', 'party', 'course']
['life', 'system', 'case', 'party']
['work', 'part', 'party', 'information']
['life', 'case', 'work', 'year']
['government', 'fact', 'work', 'place']
['place', 'house', 'part', 'fact']
['government', 'life', 'group', 'system']
['end', 'place', 'way', 'year']
['case', 'world', 'day', 'man']
['case', 'school', 'course', 'place']
['place', 'year', 'world', 'way']
['world', 'part', 'day', 'end']
['company', 'course', 'system', 'work']
['house', 'company', 'information', 'system']
['course', 'part', 'information', 'man']
['party', 'year', 'part', 'course']
