['day', 'company', 'course', 'life']
['company', 'part', 'man', 'information']
['end', 'day', 'part', 'course']
['way', 'world', 'work', 'part']
['year', 'case', 'end', 'system']
['case', 'party', 'government', 'man']
['party', 'part', 'group', 'company']
['year', 'end', 'part', 'work']
['day', 'man', 'life', 'year']
['work', 'course', 'government', 'group']
['party', 'system', 'part', 'year']
['information', 'group', 'life', 'end']
['group', 'work', 'case', 'place']
['end', 'part', 'school', 'man']
['system', 'world', 'group', 'day']
['fact', 'life', 'information', 'case']
['end', 'day', 'school', 'year']
['place', 'work', 'day', 'fact']
['work', 'man', 'school', 'information']
['government', 'life', 'party', 'house']
['way', 'government', 'year', 'part']
['information', 'group', 'government', 'case']
['place', 'part', 'year', 'end']
['group', 'course', 'part', 'world']
['world', 'work', 'government', 'life']
['work', 'year', 'group', 'house']
['company', 'world', 'man', 'day']
['system', 'work', 'party', 'day']
['case', 'man', 'company', 'group']
['part', 'world', 'course', 'work']
['information', 'day', 'year', 'work']
['day', 'life', 'house', 'world']
['group', 'world', 'course', 'case']
['place', 'day', 'year', 'fact']
['course', 'life', 'year', 'case']
['case', 'way', 'school', 'part']
['house', 'part', 'information', 'course']
['school', 'government', 'world', 'case']
['day', 'information', 'school', 'life']
['house', 'fact', 'school', 'day']
['group', 'part', 'life', 'case']
['fact', 'party', 'end', 'work']
['system', 'company', 'work', 'place']
['school', 'course', 'house', 'party']
['house', 'year', 'school', 'information']
['fact', 'course', 'day', 'end']
['end', 'case', 'group', 'government']
['course', 'year', 'end', 'day']
['place', 'case', 'system', 'day']
['house', 'way', 'course', 'case']
['party', 'day', 'case', 'house']
['system', 'life', 'case', 'course']
['part', 'government', 'man', 'school']
['company', 'day', 'part', 'school']
['work', 'fact', 'system', 'way']
['company', 'party', 'course', 'information']
['day', 'end', 'group', 'school']
['company', 'day', 'system', 'place']
['house', 'case', 'government', 'system']
['man', 'way', 'fact', 'end']
['party', 'way', 'group', 'year']
['company', 'information', 'school', 'end']
['world', 'work', 'house', 'party']
['course', 'government', 'year', 'party']
['work', 'course', 'year', 'man']
['end', 'case', 'system', 'fact']
['government', 'house', 'day', 'fact']
['party', 'day', 'life', 'fact']
['fact', 'end', 'company', 'house']
['world', 'party', 'man', 'fact']
['case', 'life', 'year', 'day']
['life', 'way', 'group', 'school']
['life', 'course', 'house', 'way']
['way', 'company', 'day', 'year']
['part', 'place', 'party', 'information']
['house', 'man', 'part', 'place']
['course', 'house', 'case', 'school']
['party', 'government', 'year', 'way']
['company', 'work', 'way', 'man']
['party', 'work', 'way', 'group']
['way', 'course', 'place', 'man']
['year', 'life', 'course', 'part']
['system', 'year', 'house', 'life']
['fact', 'house', 'system', 'year']
['way', 'case', 'system', 'party']
['part', 'information', 'system', 'place']
['part', 'world', 'house', 'government']
['life', 'part', 'system', 'house']
['place', 'year', 'case', 'fact']
['man', 'life', 'house', 'company']
['way', 'man', 'system', 'house']
['government', 'group', 'world', 'company']
['end', 'party', 'house', 'way']
['world', 'information', 'house', 'party']
