['case', 'man', 'party', 'course']
['system', 'part', 'information', 'case']
['case', 'school', 'fact', 'way']
['way', 'course', 'case', 'system']
['world', 'way', 'government', 'day']
['party', 'part', 'man', 'world']
['group', 'course', 'case', 'school']
['work', 'school', 'house', 'part']
['school', 'system', 'work', 'way']
['end', 'place', 'day', 'way']
['case', 'course', 'system', 'house']
['man', 'end', 'information', 'world']
['life', 'company', 'group', 'case']
['end', 'man', 'part', 'year']
['life', 'school', 'man', 'group']
['day', 'way', 'life', 'party']
['man', 'system', 'case', 'way']
['place', 'work', 'man', 'end']
['course', 'way', 'party', 'life']
['work', 'case', 'way', 'part']
['life', 'group', 'work', 'way']
['end', 'work', 'house', 'company']
['information', 'part', 'system', 'government']
['school', 'day', 'place', 'group']
['school', 'year', 'work', 'group']
['company', 'world', 'place', 'case']
['world', 'party', 'year', 'way']
['information', 'company', 'school', 'fact']
['information', 'school', 'government', 'fact']
['year', 'life', 'information', 'school']
['course', 'house', 'day', 'fact']
['house', 'man', 'world', 'year']
['year', 'life', 'party', 'fact']
['company', 'life', 'system', 'government']
['school', 'year', 'course', 'fact']
['place', 'life', 'school', 'company']
['group', 'fact', 'place', 'way']
['day', 'course', 'school', 'group']
['course', 'place', 'year', 'system']
['party', 'end', 'world', 'place']
['end', 'way', 'system', 'work']
['course', 'day', 'life', 'work']
['part', 'company', 'work', 'way']
['party', 'man', 'place', 'company']
['party', 'school', 'group', 'course']
['year', 'man', 'system', 'case']
['party', 'work', 'group', 'year']
['group', 'company', 'man', 'year']
['way', 'place', 'life', 'man']
