['fact', 'way', 'life', 'place']
['case', 'work', 'system', 'way']
['way', 'world', 'day', 'school']
['way', 'group', 'world', 'system']
['man', 'part', 'company', 'party']
['way', 'part', 'fact', 'school']
['company', 'end', 'information', 'course']
['work', 'school', 'course', 'group']
['group', 'government', 'course', 'party']
['life', 'house', 'man', 'day']
['day', 'place', 'life', 'end']
['fact', 'school', 'life', 'day']
['year', 'way', 'fact', 'party']
['course', 'part', 'group', 'party']
['day', 'world', 'way', 'work']
['case', 'man', 'party', 'work']
['year', 'world', 'work', 'fact']
['day', 'information', 'fact', 'course']
['man', 'year', 'life', 'system']
['company', 'place', 'end', 'group']
['party', 'work', 'place', 'case']
['system', 'fact', 'place', 'case']
['company', 'house', 'party', 'life']
['case', 'life', 'house', 'government']
['fact', 'world', 'place', 'day']
['world', 'system', 'way', 'house']
['course', 'fact', 'life', 'school']
['party', 'work', 'man', 'part']
['end', 'school', 'information', 'course']
['house', 'world', 'school', 'end']
['year', 'way', 'man', 'part']
['day', 'company', 'school', 'part']
['work', 'company', 'school', 'world']
['end', 'company', 'information', 'group']
['day', 'case', 'work', 'school']
['system', 'party', 'world', 'fact']
['place', 'group', 'way', 'life']
['place', 'year', 'house', 'system']
['year', 'house', 'work', 'world']
['day', 'end', 'world', 'part']
['day', 'company', 'system', 'fact']
['fact', 'way', 'part', 'work']
['company', 'world', 'fact', 'house']
['way', 'system', 'party', 'government']
['school', 'life', 'end', 'information']
['life', 'house', 'place', 'year']
