['year', 'system', 'house', 'fact']
['world', 'information', 'day', 'fact']
['party', 'company', 'fact', 'place']
['way', 'world', 'man', 'school']
['life', 'school', 'house', 'party']
['course', 'place', 'government', 'system']
['life', 'fact', 'world', 'system']
['information', 'day', 'fact', 'government']
['way', 'government', 'part', 'work']
['end', 'part', 'man', 'group']
['case', 'company', 'day', 'part']
['way', 'school', 'year', 'part']
['fact', 'system', 'man', 'life']
['house', 'place', 'system', 'work']
['house', 'case', 'place', 'system']
['fact', 'house', 'life', 'day']
['life', 'party', 'end', 'house']
['life', 'end', 'work', 'world']
['world', 'work', 'part', 'system']
['group', 'part', 'year', 'end']
['government', 'school', 'party', 'course']
['life', 'group', 'day', 'man']
['case', 'way', 'party', 'part']
['place', 'life', 'information', 'house']
['group', 'part', 'world', 'school']
['group', 'place', 'company', 'year']
['work', 'part', 'information', 'group']
['course', 'life', 'group', 'man']
['group', 'life', 'school', 'work']
['day', 'fact', 'place', 'case']
['school', 'work', 'world', 'man']
['system', 'school', 'fact', 'information']
['fact', 'information', 'part', 'system']
['end', 'work', 'government', 'day']
['party', 'life', 'place', 'company']
['group', 'school', 'party', 'day']
['year', 'way', 'man', 'group']
['house', 'group', 'school', 'way']
['system', 'day', 'information', 'way']
['company', 'information', 'day', 'work']
['year', 'day', 'school', 'fact']
['information', 'group', 'place', 'man']
['year', 'way', 'end', 'world']
['party', 'information', 'place', 'school']
