['man', 'place', 'case']
['house', 'work', 'way']
['work', 'man', 'group']
['information', 'man', 'part']
['party', 'company', 'place']
['company', 'fact', 'man']
['part', 'course', 'school']
['party', 'fact', 'government']
['place', 'system', 'day']
['government', 'way', 'company']
['year', 'school', 'day']
['government', 'company', 'place']
['man', 'end', 'case']
['day', 'course', 'life']
['course', 'group', 'system']
['end', 'company', 'group']
['school', 'group', 'world']
['part', 'fact', 'way']
['world', 'party', 'school']
['information', 'group', 'system']
['course', 'case', 'house']
['fact', 'way', 'part']
['life', 'case', 'company']
['day', 'party', 'house']
['work', 'life', 'day']
['party', 'house', 'part']
['part', 'place', 'life']
['end', 'system', 'world']
['case', 'party', 'system']
['school', 'way', 'fact']
['case', 'group', 'part']
['world', 'man', 'information']
['house', 'day', 'information']
['day', 'place', 'work']
['life', 'year', 'group']
['end', 'man', 'government']
['year', 'part', 'case']
['company', 'life', 'system']
['end', 'world', 'house']
['way', 'company', 'day']
['world', 'information', 'fact']
['life', 'way', 'party']
['school', 'company', 'house']
['life', 'day', 'house']
['party', 'company', 'course']
['system', 'school', 'company']
['place', 'group', 'year']
