['way', 'place', 'company']
['end', 'school', 'course']
['house', 'case', 'party']
['course', 'case', 'man']
['world', 'group', 'case']
['group', 'day', 'school']
['company', 'way', 'place']
['way', 'life', 'part']
['group', 'work', 'man']
['year', 'information', 'group']
['man', 'place', 'work']
['man', 'part', 'information']
['way', 'school', 'year']
['year', 'part', 'world']
['man', 'course', 'day']
['world', 'place', 'group']
['world', 'way', 'company']
['fact', 'information', 'government']
['end', 'world', 'fact']
['house', 'system', 'information']
['course', 'world', 'company']
['year', 'party', 'day']
['school', 'end', 'fact']
['part', 'company', 'fact']
['life', 'party', 'house']
['house', 'end', 'man']
['world', 'group', 'place']
['case', 'information', 'year']
['party', 'company', 'work']
['school', 'place', 'year']
['place', 'work', 'party']
['group', 'fact', 'case']
['work', 'house', 'fact']
['part', 'course', 'fact']
['information', 'place', 'part']
['end', 'school', 'fact']
['way', 'work', 'man']
['day', 'company', 'government']
['part', 'life', 'work']
['place', 'way', 'party']
['group', 'world', 'year']
['case', 'world', 'government']
['fact', 'end', 'way']
['case', 'course', 'part']
['course', 'part', 'life']
['day', 'way', 'place']
['system', 'way', 'life']
['work', 'company', 'group']
['case', 'life', 'group']
['work', 'part', 'house']
['work', 'end', 'government']
['world', 'way', 'company']
['life', 'house', 'man']
['company', 'way', 'day']
['year', 'government', 'information']
['fact', 'end', 'government']
['fact', 'case', 'work']
['fact', 'man', 'house']
