['company', 'system', 'government']
['group', 'fact', 'day']
['school', 'part', 'party']
['year', 'information', 'end']
['way', 'fact', 'group']
['company', 'system', 'school']
['place', 'end', 'government']
['world', 'way', 'school']
['end', 'house', 'system']
['case', 'government', 'man']
['fact', 'life', 'party']
['way', 'year', 'part']
['company', 'case', 'information']
['way', 'government', 'work']
['case', 'part', 'work']
['case', 'house', 'fact']
['work', 'man', 'course']
['school', 'place', 'government']
['part', 'way', 'world']
['life', 'school', 'part']
['day', 'information', 'government']
['government', 'day', 'case']
['work', 'school', 'government']
['government', 'end', 'part']
['part', 'case', 'company']
['world', 'information', 'system']
['course', 'life', 'house']
['case', 'place', 'way']
['house', 'group', 'party']
['place', 'course', 'world']
['information', 'life', 'fact']
['information', 'way', 'world']
['company', 'party', 'life']
['world', 'party', 'part']
['government', 'information', 'case']
['group', 'work', 'company']
['company', 'year', 'fact']
['life', 'work', 'man']
['party', 'end', 'day']
['man', 'end', 'company']
['group', 'fact', 'man']
['way', 'place', 'party']
['group', 'school', 'day']
['world', 'way', 'work']
['part', 'life', 'work']
['party', 'place', 'life']
['house', 'end', 'work']
['end', 'way', 'party']
['world', 'work', 'government']
['part', 'work', 'school']
['place', 'school', 'world']
['school', 'fact', 'case']
['case', 'end', 'school']
['group', 'man', 'course']
['day', 'life', 'company']
['life', 'group', 'fact']
