['information', 'end', 'group']
['place', 'year', 'work']
['world', 'party', 'case']
['place', 'party', 'group']
['course', 'life', 'end']
['place', 'information', 'man']
['world', 'school', 'fact']
['place', 'group', 'day']
['work', 'course', 'party']
['course', 'party', 'company']
['school', 'year', 'day']
['day', 'school', 'end']
['year', 'party', 'life']
['course', 'group', 'government']
['company', 'work', 'life']
['case', 'day', 'system']
['place', 'day', 'government']
['man', 'case', 'day']
['company', 'party', 'work']
['life', 'year', 'information']
['house', 'year', 'way']
['way', 'life', 'year']
['life', 'fact', 'work']
['life', 'end', 'year']
['information', 'work', 'case']
['world', 'life', 'house']
['place', 'case', 'work']
['life', 'group', 'government']
['party', 'company', 'system']
['system', 'group', 'work']
['system', 'place', 'party']
['system', 'information', 'party']
['end', 'place', 'life']
['party', 'part', 'life']
['company', 'day', 'year']
['place', 'government', 'way']
['part', 'fact', 'party']
['case', 'party', 'part']
['work', 'way', 'party']
['government', 'case', 'life']
['way', 'fact', 'work']
['house', 'part', 'work']
['government', 'work', 'system']
['place', 'end', 'information']
['case', 'day', 'group']
['case', 'fact', 'place']
['place', 'year', 'government']
['place', 'world', 'day']
['day', 'company', 'system']
['company', 'fact', 'system']
['day', 'course', 'part']
['part', 'school', 'course']
