['fact', 'life', 'year']
['year', 'day', 'case']
['year', 'man', 'party']
['work', 'place', 'day']
['year', 'system', 'house']
['case', 'place', 'year']
['fact', 'school', 'day']
['information', 'year', 'fact']
['system', 'day', 'work']
['information', 'day', 'way']
['life', 'part', 'course']
['world', 'course', 'government']
['group', 'system', 'man']
['place', 'year', 'government']
['house', 'party', 'man']
['way', 'company', 'house']
['company', 'way', 'end']
['company', 'part', 'world']
['life', 'place', 'group']
['world', 'day', 'end']
['part', 'case', 'year']
['system', 'party', 'work']
['world', 'fact', 'day']
['fact', 'way', 'government']
['way', 'man', 'life']
['place', 'course', 'system']
['place', 'case', 'world']
['school', 'information', 'house']
['group', 'system', 'life']
['government', 'place', 'system']
['life', 'day', 'company']
['house', 'place', 'government']
['world', 'house', 'year']
['course', 'way', 'world']
['part', 'information', 'way']
['world', 'company', 'fact']
['man', 'company', 'fact']
['group', 'place', 'fact']
['group', 'world', 'work']
['company', 'group', 'work']
['system', 'place', 'party']
['case', 'place', 'party']
['government', 'group', 'house']
['way', 'life', 'house']
['information', 'case', 'end']
['day', 'school', 'group']
['end', 'house', 'course']
['place', 'end', 'school']
['work', 'information', 'year']
['world', 'place', 'government']
['school', 'company', 'way']
['year', 'course', 'fact']
['information', 'fact', 'group']
['government', 'day', 'place']
