['government', 'party', 'work', 'life', 'man']
['place', 'way', 'day', 'part', 'man']
['course', 'life', 'party', 'government', 'day']
['course', 'information', 'work', 'year', 'life']
['day', 'school', 'work', 'world', 'party']
['life', 'year', 'information', 'part', 'place']
['day', 'world', 'government', 'party', 'part']
['way', 'case', 'man', 'course', 'place']
['end', 'government', 'house', 'part', 'group']
['man', 'case', 'way', 'end', 'work']
['case', 'fact', 'year', 'man', 'group']
['world', 'course', 'case', 'information', 'way']
['part', 'life', 'school', 'work', 'group']
['end', 'day', 'life', 'company', 'case']
['party', 'house', 'company', 'life', 'case']
['end', 'system', 'company', 'case', 'day']
['life', 'course', 'work', 'group', 'year']
['fact', 'house', 'company', 'place', 'group']
['information', 'place', 'company', 'way', 'school']
['course', 'school', 'man', 'group', 'company']
['case', 'place', 'school', 'end', 'life']
['party', 'course', 'case', 'part', 'information']
['way', 'information', 'group', 'part', 'man']
['part', 'system', 'party', 'world', 'life']
['case', 'school', 'life', 'day', 'year']
['course', 'party', 'world', 'system', 'government']
['end', 'work', 'information', 'year', 'way']
['place', 'day', 'year', 'work', 'end']
['part', 'case', 'end', 'party', 'information']
