['information', 'year', 'world', 'place', 'work']
['fact', 'man', 'place', 'course', 'year']
['house', 'company', 'man', 'information', 'group']
['life', 'end', 'system', 'information', 'course']
['company', 'government', 'world', 'life', 'information']
['course', 'end', 'case', 'system', 'house']
['fact', 'day', 'group', 'case', 'world']
['world', 'fact', 'case', 'school', 'part']
['end', 'party', 'case', 'system', 'group']
['fact', 'information', 'world', 'day', 'part']
['work', 'government', 'world', 'end', 'way']
['house', 'day', 'year', 'group', 'part']
['world', 'company', 'way', 'man', 'year']
['house', 'fact', 'company', 'case', 'group']
['year', 'house', 'man', 'course', 'place']
['house', 'party', 'part', 'end', 'life']
['man', 'school', 'government', 'part', 'party']
['case', 'man', 'government', 'group', 'course']
['world', 'way', 'government', 'man', 'system']
['system', 'government', 'party', 'way', 'work']
['group', 'year', 'course', 'system', 'man']
['party', 'system', 'company', 'day', 'end']
['party', 'year', 'school', 'work', 'company']
['life', 'day', 'house', 'party', 'year']
['fact', 'work', 'group', 'company', 'party']
['man', 'way', 'house', 'day', 'work']
['work', 'course', 'man', 'fact', 'case']
['house', 'course', 'end', 'party', 'life']
['course', 'end', 'school', 'party', 'case']
['company', 'way', 'group', 'system', 'school']
['government', 'place', 'company', 'work', 'day']
['end', 'part', 'work', 'system', 'house']
['course', 'fact', 'group', 'information', 'place']
['year', 'work', 'system', 'house', 'school']
['part', 'school', 'information', 'government', 'way']
['life', 'case', 'work', 'man', 'end']
['part', 'man', 'system', 'course', 'end']
['course', 'man', 'year', 'fact', 'system']
['group', 'company', 'part', 'information', 'man']
['case', 'world', 'way', 'day', 'fact']
['place', 'course', 'man', 'system', 'information']
['way', 'company', 'house', 'group', 'life']
['information', 'course', 'system', 'year', 'end']
['place', 'day', 'company', 'school', 'party']
['course', 'work', 'party', 'year', 'system']
['end', 'house', 'world', 'information', 'party']
['work', 'man', 'life', 'party', 'year']
['information', 'part', 'government', 'house', 'year']
['day', 'man', 'way', 'case', 'end']
['case', 'party', 'day', 'system', 'government']
['course', 'company', 'year', 'school', 'government']
['work', 'company', 'man', 'government', 'course']
