['case', 'party', 'way', 'man', 'end']
['system', 'day', 'part', 'place', 'case']
['case', 'fact', 'system', 'way', 'party']
['government', 'system', 'way', 'man', 'case']
['life', 'government', 'group', 'day', 'way']
['part', 'man', 'party', 'year', 'place']
['fact', 'course', 'case', 'group', 'part']
['house', 'man', 'school', 'way', 'work']
['information', 'party', 'way', 'system', 'school']
['end', 'way', 'information', 'day', 'system']
['course', 'place', 'system', 'way', 'case']
['information', 'way', 'world', 'end', 'year']
['group', 'company', 'life', 'place', 'house']
['information', 'party', 'man', 'year', 'part']
['fact', 'part', 'man', 'school', 'life']
['day', 'work', 'party', 'end', 'way']
['case', 'system', 'company', 'man', 'house']
['end', 'work', 'course', 'world', 'man']
['way', 'work', 'part', 'party', 'life']
['way', 'work', 'case', 'system', 'fact']
['man', 'work', 'way', 'group', 'government']
['way', 'end', 'house', 'work', 'information']
['information', 'part', 'end', 'government', 'place']
['end', 'day', 'place', 'man', 'group']
['year', 'work', 'school', 'system', 'world']
['house', 'world', 'case', 'group', 'place']
['day', 'year', 'way', 'party', 'information']
['school', 'place', 'company', 'world', 'information']
['government', 'school', 'information', 'world', 'part']
['company', 'information', 'fact', 'life', 'year']
['day', 'party', 'school', 'house', 'course']
['house', 'man', 'day', 'year', 'work']
['fact', 'information', 'life', 'place', 'party']
['system', 'case', 'government', 'life', 'house']
['course', 'day', 'school', 'fact', 'part']
['school', 'place', 'company', 'work', 'end']
['fact', 'information', 'way', 'world', 'place']
['part', 'course', 'life', 'school', 'day']
['part', 'year', 'group', 'place', 'course']
['group', 'party', 'place', 'school', 'end']
['way', 'part', 'place', 'work', 'end']
['day', 'work', 'course', 'end', 'world']
['information', 'part', 'company', 'end', 'work']
['party', 'place', 'company', 'group', 'part']
['school', 'man', 'party', 'work', 'group']
['case', 'year', 'man', 'house', 'work']
['group', 'year', 'party', 'information', 'company']
['way', 'company', 'man', 'group', 'course']
['system', 'man', 'place', 'way', 'company']
