['party', 'world', 'year', 'house', 'course', 'life', 'system', 'company']
['system', 'school', 'party', 'world', 'day', 'house', 'man', 'information']
['world', 'place', 'house', 'way', 'school', 'fact', 'party', 'course']
['system', 'place', 'man', 'case', 'world', 'course', 'company', 'school']
['life', 'school', 'course', 'end', 'part', 'house', 'way', 'government']
['part', 'system', 'group', 'way', 'place', 'day', 'course', 'end']
['life', 'day', 'world', 'party', 'case', 'place', 'school', 'system']
['fact', 'part', 'group', 'day', 'man', 'system', 'company', 'government']
['way', 'life', 'place', 'work', 'party', 'end', 'part', 'information']
['man', 'end', 'party', 'group', 'house', 'fact', 'life', 'work']
['day', 'fact', 'information', 'party', 'case', 'course', 'part', 'group']
['government', 'school', 'year', 'day', 'group', 'course', 'place', 'part']
['government', 'group', 'fact', 'way', 'party', 'life', 'school', 'system']
['world', 'work', 'information', 'fact', 'school', 'year', 'system', 'house']
['company', 'place', 'work', 'year', 'school', 'case', 'fact', 'house']
['day', 'end', 'company', 'fact', 'system', 'year', 'life', 'way']
['part', 'company', 'information', 'case', 'end', 'life', 'house', 'work']
['system', 'man', 'year', 'life', 'world', 'day', 'school', 'work']
['fact', 'work', 'group', 'course', 'house', 'world', 'system', 'party']
['man', 'part', 'end', 'system', 'life', 'day', 'group', 'world']
['place', 'course', 'school', 'company', 'year', 'information', 'party', 'part']
['end', 'group', 'house', 'information', 'man', 'company', 'year', 'day']
['party', 'work', 'case', 'house', 'way', 'man', 'place', 'end']
['fact', 'way', 'place', 'man', 'school', 'work', 'life', 'house']
['information', 'school', 'world', 'group', 'system', 'company', 'man', 'government']
['school', 'world', 'place', 'house', 'work', 'group', 'year', 'party']
['company', 'way', 'course', 'part', 'house', 'case', 'work', 'information']
['information', 'work', 'man', 'party', 'way', 'day', 'course', 'life']
['world', 'government', 'way', 'man', 'school', 'life', 'work', 'system']
['day', 'school', 'work', 'place', 'fact', 'company', 'party', 'information']
['year', 'place', 'part', 'party', 'man', 'school', 'fact', 'work']
['company', 'group', 'school', 'system', 'way', 'information', 'life', 'world']
['part', 'year', 'system', 'fact', 'government', 'work', 'end', 'course']
['end', 'party', 'part', 'house', 'work', 'government', 'man', 'fact']
['house', 'school', 'work', 'year', 'part', 'party', 'life', 'place']
['information', 'group', 'course', 'part', 'system', 'school', 'party', 'end']
['information', 'day', 'work', 'year', 'fact', 'school', 'way', 'group']
['man', 'way', 'part', 'place', 'system', 'group', 'year', 'house']
['case', 'system', 'group', 'world', 'way', 'day', 'school', 'fact']
['information', 'day', 'house', 'company', 'fact', 'year', 'part', 'party']
['year', 'place', 'fact', 'company', 'government', 'house', 'day', 'group']
['house', 'system', 'place', 'fact', 'group', 'end', 'year', 'information']
['way', 'school', 'life', 'year', 'world', 'case', 'work', 'party']
['party', 'system', 'house', 'world', 'school', 'place', 'course', 'government']
