['house', 'man', 'end', 'case']
['work', 'end', 'way', 'world']
['group', 'end', 'case', 'man']
['part', 'man', 'work', 'group']
['case', 'party', 'part', 'place']
['fact', 'government', 'company', 'way']
['work', 'school', 'course', 'party']
['work', 'fact', 'party', 'system']
['house', 'system', 'fact', 'day']
['government', 'way', 'place', 'case']
['year', 'life', 'end', 'school']
['place', 'case', 'day', 'government']
['system', 'man', 'end', 'part']
['way', 'party', 'life', 'day']
['group', 'course', 'life', 'party']
['party', 'end', 'place', 'group']
['world', 'way', 'group', 'life']
['way', 'fact', 'man', 'work']
['school', 'part', 'world', 'course']
['case', 'group', 'fact', 'information']
['course', 'world', 'party', 'case']
['fact', 'case', 'government', 'part']
['case', 'world', 'life', 'government']
['case', 'party', 'day', 'fact']
['work', 'system', 'world', 'day']
['part', 'fact', 'house', 'man']
['life', 'part', 'government', 'information']
['end', 'world', 'course', 'part']
['case', 'man', 'course', 'party']
['way', 'part', 'fact', 'life']
['system', 'group', 'part', 'fact']
['work', 'man', 'world', 'part']
['world', 'day', 'information', 'work']
['work', 'information', 'day', 'case']
['system', 'year', 'life', 'school']
['place', 'man', 'world', 'government']
['year', 'way', 'fact', 'part']
['company', 'life', 'work', 'information']
['end', 'information', 'group', 'world']
['world', 'company', 'house', 'day']
['world', 'work', 'day', 'information']
['group', 'way', 'life', 'part']
['school', 'day', 'house', 'year']
['man', 'day', 'group', 'life']
['group', 'course', 'party', 'end']
['company', 'system', 'place', 'information']
['government', 'year', 'group', 'life']
['day', 'place', 'year', 'fact']
