['life', 'end', 'course', 'year']
['system', 'work', 'life', 'year']
['work', 'place', 'case', 'world']
['school', 'world', 'end', 'life']
['year', 'way', 'school', 'world']
['fact', 'place', 'year', 'world']
['way', 'party', 'day', 'place']
['world', 'part', 'year', 'company']
['day', 'place', 'year', 'part']
['man', 'part', 'day', 'group']
['school', 'way', 'case', 'fact']
['work', 'house', 'way', 'system']
['case', 'end', 'fact', 'work']
['man', 'company', 'information', 'year']
['group', 'end', 'system', 'part']
['case', 'year', 'school', 'information']
['world', 'course', 'day', 'information']
['life', 'part', 'system', 'man']
['fact', 'work', 'end', 'course']
['work', 'government', 'school', 'life']
['fact', 'case', 'world', 'day']
['information', 'fact', 'system', 'course']
['course', 'man', 'government', 'day']
['year', 'system', 'life', 'school']
['course', 'world', 'year', 'work']
['information', 'day', 'party', 'work']
['government', 'group', 'way', 'school']
['company', 'case', 'part', 'man']
['group', 'course', 'case', 'party']
['year', 'house', 'place', 'government']
['work', 'case', 'life', 'party']
['way', 'world', 'fact', 'place']
['world', 'place', 'system', 'way']
['case', 'system', 'fact', 'place']
['world', 'end', 'work', 'company']
['government', 'end', 'school', 'house']
['day', 'course', 'life', 'place']
['system', 'day', 'work', 'place']
['work', 'system', 'party', 'school']
['world', 'government', 'information', 'course']
['group', 'government', 'work', 'way']
['end', 'course', 'way', 'day']
['place', 'life', 'fact', 'information']
['place', 'year', 'man', 'fact']
['life', 'place', 'school', 'government']
['group', 'government', 'part', 'company']
['world', 'case', 'house', 'year']
['way', 'man', 'course', 'company']
['way', 'year', 'course', 'end']
['government', 'end', 'company', 'man']
['man', 'party', 'company', 'world']
['world', 'group', 'man', 'government']
['way', 'place', 'government', 'group']
['part', 'way', 'case', 'place']
['case', 'work', 'year', 'course']
['work', 'life', 'man', 'company']
['way', 'year', 'world', 'case']
['world', 'party', 'year', 'case']
['company', 'government', 'place', 'man']
['world', 'fact', 'end', 'information']
['way', 'party', 'world', 'system']
['school', 'house', 'place', 'fact']
['work', 'part', 'company', 'government']
['work', 'year', 'place', 'government']
['system', 'case', 'life', 'year']
['end', 'work', 'man', 'company']
['fact', 'place', 'group', 'world']
['year', 'system', 'course', 'school']
['place', 'end', 'year', 'house']
['year', 'world', 'course', 'house']
['group', 'day', 'man', 'house']
['end', 'fact', 'system', 'day']
['way', 'year', 'case', 'government']
['man', 'government', 'company', 'information']
['school', 'way', 'year', 'government']
['world', 'end', 'way', 'part']
['year', 'way', 'end', 'course']
['case', 'man', 'house', 'year']
['school', 'party', 'world', 'group']
['case', 'group', 'information', 'government']
['school', 'man', 'year', 'life']
['company', 'case', 'school', 'man']
['fact', 'year', 'day', 'work']
['year', 'group', 'life', 'world']
['fact', 'information', 'case', 'work']
['man', 'life', 'government', 'world']
['world', 'government', 'fact', 'life']
['part', 'school', 'place', 'fact']
['work', 'place', 'information', 'system']
['place', 'government', 'party', 'house']
['information', 'course', 'day', 'end']
['course', 'house', 'group', 'party']
['school', 'man', 'fact', 'group']
['year', 'day', 'end', 'company']
['party', 'course', 'house', 'group']
['year', 'information', 'man', 'case']
['case', 'group', 'government', 'life']
