['company', 'case', 'fact', 'way']
['year', 'house', 'way', 'school']
['house', 'day', 'case', 'part']
['system', 'information', 'group', 'company']
['way', 'group', 'party', 'world']
['course', 'life', 'world', 'school']
['government', 'course', 'work', 'fact']
['system', 'end', 'place', 'life']
['man', 'world', 'place', 'part']
['way', 'day', 'information', 'work']
['government', 'part', 'company', 'way']
['party', 'information', 'government', 'house']
['year', 'case', 'party', 'house']
['house', 'life', 'company', 'government']
['way', 'place', 'day', 'end']
['world', 'school', 'place', 'end']
['government', 'course', 'way', 'information']
['course', 'house', 'group', 'work']
['end', 'year', 'company', 'information']
['information', 'course', 'place', 'part']
['fact', 'man', 'end', 'life']
['work', 'course', 'life', 'year']
['work', 'company', 'life', 'year']
['world', 'day', 'end', 'way']
['fact', 'government', 'day', 'case']
['life', 'information', 'work', 'system']
['party', 'government', 'fact', 'man']
['day', 'course', 'information', 'fact']
['company', 'end', 'system', 'fact']
['party', 'case', 'system', 'company']
['day', 'party', 'school', 'house']
['government', 'company', 'house', 'fact']
['house', 'information', 'work', 'government']
['company', 'life', 'place', 'school']
['information', 'end', 'way', 'day']
['man', 'course', 'way', 'company']
['work', 'case', 'information', 'end']
['life', 'world', 'work', 'course']
['case', 'course', 'system', 'life']
['case', 'work', 'system', 'company']
['day', 'way', 'government', 'group']
['system', 'school', 'house', 'group']
['government', 'course', 'system', 'year']
['school', 'day', 'information', 'way']
['group', 'end', 'way', 'part']
['day', 'way', 'work', 'life']
['way', 'world', 'case', 'information']
['place', 'fact', 'life', 'year']
['place', 'work', 'group', 'part']
['fact', 'life', 'information', 'day']
['man', 'fact', 'information', 'way']
['school', 'man', 'course', 'end']
['work', 'information', 'man', 'day']
['part', 'day', 'government', 'case']
['information', 'house', 'work', 'course']
['day', 'work', 'year', 'fact']
['man', 'course', 'government', 'end']
['place', 'system', 'party', 'life']
['government', 'day', 'part', 'system']
['world', 'information', 'way', 'company']
['house', 'end', 'school', 'life']
['course', 'school', 'world', 'party']
['day', 'party', 'system', 'fact']
['day', 'world', 'part', 'year']
['party', 'house', 'world', 'course']
