['life', 'place', 'fact', 'year']
['day', 'man', 'year', 'case']
['man', 'party', 'year', 'school']
['man', 'place', 'work', 'day']
['house', 'year', 'system', 'place']
['year', 'case', 'place', 'course']
['case', 'school', 'fact', 'day']
['year', 'information', 'fact', 'school']
['work', 'day', 'system', 'course']
['day', 'information', 'system', 'way']
['part', 'course', 'life', 'way']
['world', 'course', 'life', 'government']
['group', 'man', 'course', 'system']
['work', 'government', 'place', 'year']
['way', 'man', 'house', 'party']
['company', 'place', 'way', 'house']
['day', 'way', 'company', 'end']
['company', 'world', 'part', 'work']
['life', 'place', 'group', 'work']
['end', 'world', 'day', 'fact']
['year', 'case', 'part', 'work']
['work', 'fact', 'party', 'system']
['fact', 'day', 'world', 'place']
['life', 'fact', 'way', 'government']
['life', 'way', 'school', 'man']
['course', 'place', 'school', 'system']
['place', 'world', 'life', 'case']
['information', 'school', 'house', 'fact']
['group', 'school', 'system', 'life']
['government', 'system', 'end', 'place']
['end', 'day', 'life', 'company']
['government', 'world', 'house', 'place']
['world', 'year', 'house', 'government']
['group', 'way', 'course', 'world']
['way', 'information', 'part', 'company']
['world', 'fact', 'case', 'company']
['fact', 'man', 'company', 'place']
['group', 'place', 'party', 'fact']
['way', 'work', 'world', 'group']
['information', 'company', 'group', 'work']
['place', 'year', 'party', 'system']
['government', 'place', 'party', 'case']
['house', 'government', 'group', 'part']
['house', 'case', 'life', 'way']
['case', 'year', 'information', 'end']
['day', 'school', 'group', 'work']
['course', 'end', 'house', 'group']
['school', 'end', 'information', 'place']
['work', 'year', 'party', 'information']
['work', 'place', 'government', 'world']
['school', 'company', 'way', 'place']
['year', 'fact', 'end', 'course']
['group', 'party', 'information', 'fact']
['day', 'school', 'place', 'government']
['school', 'group', 'fact', 'year']
