['government', 'life', 'fact', 'day']
['party', 'information', 'company', 'place']
['part', 'end', 'system', 'life']
['way', 'work', 'case', 'system']
['world', 'life', 'way', 'group']
['day', 'information', 'system', 'world']
['case', 'year', 'information', 'group']
['fact', 'information', 'case', 'world']
['work', 'government', 'part', 'end']
['day', 'work', 'year', 'case']
['information', 'group', 'party', 'system']
['place', 'house', 'company', 'school']
['man', 'course', 'company', 'place']
['group', 'case', 'place', 'school']
['man', 'government', 'school', 'work']
['house', 'way', 'fact', 'end']
['course', 'company', 'party', 'way']
['part', 'end', 'party', 'work']
['house', 'world', 'way', 'year']
['end', 'system', 'work', 'information']
['day', 'work', 'house', 'year']
['company', 'end', 'day', 'fact']
['course', 'case', 'year', 'system']
['course', 'fact', 'life', 'information']
['company', 'day', 'way', 'world']
['school', 'company', 'way', 'man']
['group', 'day', 'way', 'world']
['man', 'part', 'information', 'place']
['company', 'year', 'group', 'fact']
['year', 'work', 'life', 'day']
['group', 'part', 'end', 'school']
['work', 'system', 'day', 'world']
['case', 'government', 'year', 'fact']
['system', 'place', 'year', 'day']
['fact', 'day', 'life', 'information']
['case', 'way', 'work', 'day']
['end', 'work', 'system', 'case']
['world', 'place', 'way', 'part']
['end', 'world', 'day', 'school']
['information', 'man', 'course', 'life']
['party', 'government', 'part', 'day']
['life', 'course', 'government', 'world']
['government', 'world', 'man', 'year']
['fact', 'place', 'government', 'group']
['group', 'end', 'part', 'party']
['work', 'part', 'case', 'party']
['life', 'government', 'end', 'group']
['government', 'group', 'work', 'information']
['fact', 'work', 'company', 'place']
['part', 'world', 'place', 'case']
['man', 'case', 'party', 'school']
['course', 'man', 'end', 'party']
['information', 'party', 'company', 'group']
['part', 'day', 'work', 'school']
['work', 'world', 'system', 'place']
['house', 'party', 'life', 'case']
['school', 'work', 'group', 'case']
['party', 'government', 'work', 'part']
['case', 'government', 'end', 'fact']
